الله	اللّٰه	Allah/God
بن	بُنّ	coffeebeans
بن	بان-ِ	appear/beevident
بن	بِن	bin,Ben,son
عن	عَن	from/about/of
عن	عَنّ	cometomind/occur
قال	قال	said
حدثنا	حَدَث	happen/takeplace,incident/event
عليه	عُلِيَّة	upperroom
عليه	عَلَى	on/above
عليه	عَلِيّ	supreme/high,Ali,supreme/high
عليه	عِلِّيَّة	causality
عليه	عِلْيَة	prominent
صلي	صَلَى-ِ	roast
صلي	صَلَّى	pray/worship
صلي	صَلِي-َ	getburned
وسلم	سُلَّم	ladder/stairs
وسلم	سَلِم-َ	besafe/befaultless
وسلم	سَلَّم	beconceded/begranted,handover/surrender/greet
وسلم	سِلْم	peace
ابي	آب	August
ابي	آبِي	reluctant/unwilling,reluctant/unwilling
ابي	أَبِي	Abi
ابي	أَب	father,father+my
ابي	أَبِيّ	noble/proud/dignified
ابي	أَبَى-َ	deny/refuse
رسول	رَسُول	messenger/apostle,messenger(Muhammad)
من	مِن	from
من	مَنّ	bestow/grant,grace/favor
من	مَن	who/whom,who/whom
ان	إِنَّ	that,indeed
ان	أَنَّ	that
ان	وَنَى-ِ	becomeweak/bedespondent
ان	أَنّ-ِ	complain/moan
ان	آن	time/moment,arrive/approach
ان	أَن	to
ان	إِن	if/whether,N.
عبد	عَبَد	worship
عبد	عَبَّد	enslave
عبد	عَبْد	slave/servant,Abd
في	فِي	V.,in
في	ي	Y./10th
ابن	أَبان	explain,beexplained,explain
ابن	ٱِبْن	Ibn,son/junior(Jr.)
ابن	آب	return
ابن	أَبَّن	eulogize
ابن	بَنَى-ِ	build/erect,bebuilt/beerected
ابن	بان-ِ	appear/beevident
ابو	آبِي	reluctant/unwilling
ابو	أَب	father
ابو	أَبُو	Abu
علي	عَلَى	on/above,on/above
علي	عَلِيّ	Ali,supreme/high
علي	عَلَّى	elevate/raise
النبي	نَبِيّ	prophet,prophet
فقال	قال	said
محمد	مُحَمَّد	Muhammad/Mohamed
ثم	ثَمَّ	therefore
ثم	ثُمَّ	then/thereupon
لا	لا	no/not/non-
اخبرنا	خَبَر	try/experience
اخبرنا	خَبَّر	notify/inform
اخبرنا	أَخْبَر	notify/inform/communicate,notify/inform/communicate
اخبرنا	خَبُر	knowwell
ما	ما	what,how...!,not,what/which
هذا	هٰذا	this[masc.sg.]
الي	آلِيّ	mechanical/automatic
الي	وَلِي-ِ	follow/comeafter
الي	إِلَى	to/towards,to/towards
الي	آل	family/clan
الي	آلَى	promise/takeanoath
سعيد	سَعِيد	happy,Said/Saeed
عمر	عَمُر	thrive
عمر	عُمْر	age/life
عمر	عَمَّر	populate/renovate
عمر	عَمَر	inhabit/pervade
عمر	عَمِر-َ	belongevous
عمر	عُمَر	Omar/Umar
كان	كان	be/was/were
كان	آن	time/moment
يحيي	يَحْيَى	John,Yahya/Yahia/Yehiyeh
يحيي	حَيّا	bekeepalive/begrantedalonglife,bepraised/besaluted/behailed/belauded,keepalive/grantalonglife,praise/salute/hail/laud
يحيي	حَيّ-َ	live/experience/witness
يحيي	أَحْيَى	beenlivened/becelebrated,enliven/celebrate
الا	أَلا	neglect/desistfrom
الا	إِلّا	otherwise/orelse,however/except/other
الا	أَلّا	to+not
الا	آل	arrive/lead/return,family/clan
يا	يا	oh/you
حتي	حَتَّى	until/upto,even/including/although/eventhough,inorderto
له	لِ-	to/for+it/him(it/hehas)
حديث	حَدِيث	discussion/talk/interview,Hadith(Islamictradition),new/recent/modern
حدثني	حَدَث	happen/takeplace
بكر	كَرّ	attack/charge
بكر	بِكْر	eldest/first-born
بكر	بَكْر	youngcamel,Bakr
بكر	بَكَّر	doearly
بكر	بَكَر	riseearly
بكر	بَكْرَة	reels/pulleys/winches
يقول	قال	say
هريرة	هُرَيْرَة	kitten
هريرة	هَرِير	howling/growling/purring
الرحمن	رَحْمٰن	merciful,Rahman(i.e.,God,oneofthe99BeautifulNames),Rahman
عمرو	عَمْرو	Amr
ولا	لا	no/not/non-
او	أَو	or
او	أُو	O.
رضي	رَضّ	bruise/contusion
رضي	رِضاً	approval/pleasure,approval/pleasure
رضي	رَضَّى	satisfy/compensate
رضي	رَضِيّ	satisfied/content/accepting
رضي	رَضِي-َ	bepleased/agree/approve
انه	إِنَّ	indeed,that
انه	وَنَى-ِ	becomeweak/bedespondent
انه	نَها	forbid/restrain,beforbidden/berestrained
انه	آن	arrive/approach,time/moment
انه	أَنَّة	moan/complaint
انه	أَنَّ	that
انه	أَنّ-ِ	complain/moan
انه	أَنْهَى	becompleted/becommunicated,complete/finish/communicate
انه	نَهَى-ِ	forbid/restrain
سمعت	سَمِع-َ	hear/listen,beheard/belistenedto
سمعت	سَمَّع	makehear/havelisten
اذا	إِذا	if/whether
اذا	إِذَن	therefore/so/then
ابيه	آبِي	reluctant/unwilling,reluctant/unwilling
ابيه	أَبِيه	Abb�(in"Abb�-Deschamps")
ابيه	أَب	father
ابيه	أَبِيّ	noble/proud/dignified,noble/proud/dignified
سفيان	سُفْيان	Soufian/Sufian
ابراهيم	إِبْراهِيم	Ibrahim
مالك	مالِك	proprietor/holder,proprietor/holder,royal
مالك	مال	money/capital/funds
قالت	قال	said
عائشة	عائِش	living/alive,living/alive,living/alive,living/alive
عيسي	عِيسَى	Issa/Eissa,Jesus(inIslam)
عيسي	أَعْيَس	beige,beige
ذلك	ذُلّ	humiliation/dishonor
ذلك	ذٰلِكَ	that
وهو	هُو	Ho(in"HoChiMinh")
وهو	هُوَ	it/he
عباس	عَبّاس	Abbas
لم	لَم	didnot
لم	لِمَ	why
لم	لَمّ	collect/putinorder
وقال	قال	said
عنه	عُنَّة	impotence
عنه	عَن	from/about/of
انس	ناس	dangle
انس	نَسِي-َ	forget
انس	أَنِس-َ	becompanionable/besociable
انس	أَنَس	Anas
انس	أُنْس	sociability/friendliness
انس	آنَس	entertain/perceive,befriendly/entertain
انس	أَنَّس	domesticate/putatease
انس	أَنْسَى	makeforget,bemadetoforget
انس	إِنْس	humans/people,humans/people
اسحاق	إِسْحاق	Isaac/Yizhak
عبيد	عُبَيْد	Obeid/Obaid/Ubeid/Ubaid
عبيد	عَبْد	slaves/blacks
وحدثنا	حَدَث	happen/takeplace,incident/event
سلمة	سُلَّم	ladder/stairs
سلمة	سُلَّمَة	step(stairs)/rung
سلمة	سَلَّم	handover/surrender/greet
سلمة	سِلْم	peace
سلمة	سَلْمَة	Salma
به	بِ	with/by+it/him
شعبة	شُعْبَة	branches/subdivisions,branch/subdivision
شعبة	شِعْب	reef/path/pass/gorge
شعبة	شِعْبَة	reef
شعبة	شَعْب	people/nation
شعبة	شَعَّب	subdivide/ramify
اخبرني	خَبَر	try/experience
اخبرني	خَبَّر	notify/inform
اخبرني	أَخْبَر	notify/inform/communicate,notify/inform/communicate
اخبرني	خَبُر	knowwell
موسي	مُوسَى	Mousa/Moussa,Moses,straightrazor
الناس	ناس	people
يزيد	زاد-ِ	increase/exceed/add
يزيد	زَيَّد	augment
يزيد	أَزاد	supply/provide
رجل	رَجُل	man
رجل	رَجَّل	comb
رجل	رَجِل-َ	walk
رجل	رِجْل	leg
يوم	يَوْم	Youm,today
اهل	أَهال	bepoured/bepiledup/bestrewn,pour/pileup/strew
اهل	أَهْل	qualified,family/people,qualified
اهل	هال-ِ	pour/strew
اهل	هال	frighten/intimidate
اهل	أَهَلّ	begin/appear/offer/sacrifice,beoffered/besacrificed,begin/appear
اهل	آهِل	populated
اهل	هَلّ-ِ	begin/appear
قد	قُدّ	codfish
قد	قَدّ	size/physique
قد	قِدّ	strap/thong
قد	قَد	(has/have),may/might
اسماعيل	إِسْماعِيل	Ishmael/Ismail
حسن	حَسَن	Hassan,good
حسن	حَسَّن	improve/decorate
حسن	حَسُن	bebeautiful/begood
حسن	حُسْن	Husn,good/beauty
ابا	أَبا	Aba
ابا	آب	return
ابا	أَبّ	desire/aspire
ابا	أَب	father,father
قلت	قَلّ-ِ	beless/decrease/diminish
قلت	قَلا	fry/bake
قلت	قَلَى-ِ	fry/bake
قلت	قال	said
شيبة	أَشْيَب	gray-haired/old
شيبة	شَيْب	grayhair/oldage
شيبة	شَيْبَة	absinthe
شيبة	شِيبَة	Shibh/Shibah
شيبة	شَيَّب	makeold/makethehairturngray
هشام	هِشام	Hisham/Hicham
قالا	قال	said
زيد	زَيَّد	augment
زيد	زَيْد	Zaid/Zeid
لي	لَيّ	bending/twisting,distortion/contortion
لي	لِ-	to/for+me(Ihave),to/for+me
لي	لِي	Lee/Li
سليمان	سُلَيْمان	Sulayman/Solomon
سليمان	سَلِيم	flawless/correct/sound,safe
فيه	فِي	in
فيه	وَهَى-ِ	befrail/befragile
الزهري	زُهَرِيّ	venereal
خالد	خالِد	Khalid,immortal/glorious/eternal
فلما	لَما	(did)+not,would+nothave
فلما	فِيلْم	film/movie
فلما	لَمّ	collect/putinorder
فلما	لَمّا	when/after,(did)+not
فلما	لِما	why/for+what
احمد	حَمِد-َ	praise/extol
احمد	حَمَّد	praise
احمد	أَحْمَد	more/mostpraiseworthy,Ahmad
اني	إِنَّ	indeed,that
اني	وَنَى-ِ	becomeweak/bedespondent
اني	آن	time/moment
اني	آنِيّ	actual/present/simultaneous
اني	أَنَّ	that
اني	أَنَّى	where?/how?/however
اني	أَنَى-ِ	mature/approach
اني	أَنَى	time/period,time/period
ح	ح	H./8th
سعد	سَعْد	goodluck/felicity,Saad
سعد	سَعِد-َ	behappy/havethegoodfortuneto
هو	هُو	Ho(in"HoChiMinh")
هو	هُوَ	it/he
جابر	جابِر	Jabir,bonesetter
جابر	جابَر	treatkindly
الحديث	حَدِيث	discussion/talk/interview,new/recent/modern,Hadith(Islamictradition)
قتيبة	NOTFOUND	
يعني	عَنَّى	afflict,beafflicted
يعني	عَنا	betakenbyforce
يعني	أَعان	assist/support
يعني	عَنَى-ِ	mean/signify/concern,bemeant/besignified
يعني	وَعَى-ِ	beawareof/payattentionto
وان	وَإِن	evenif
وان	إِنَّ	that,indeed
وان	أَنَّ	that
وان	أَنّ-ِ	complain/moan
وان	وَنَى-ِ	becomeweak/bedespondent
وان	آن	time/moment,arrive/approach
وان	أَن	to
وان	إِن	if/whether,N.
فان	إِنَّ	indeed,that
فان	وَنَى-ِ	becomeweak/bedespondent
فان	آن	time/moment,arrive/approach
فان	فان	van/truck,Van,Fan
فان	أَنّ-ِ	complain/moan
فان	فانِي	transitory/ephemeral/mortal
فان	أَنَّ	that
فان	أَن	to
فان	إِن	N.,if/whether
