القصة	قِصَّة,قَصَّة
العام	عام,عامّ
الثلث	ثُلْث
اطيب	طَيَّب,طاب-ِ,أَطاب,أَطْيَب
ولن	لَن
ولكنه	لُكْنَة,لٰكِنَّ,كُنْه,لَكْنَة,كَنّ,كُنَّة,كَنَّة
هدية	هَدْي,هَدْيَة,هَدِيَّة
سيار	سَيّار
سودة	سَوَّد,أَسْوَد
تمرة	مار,أَمار,مار-ِ,تَمْر,أَمَرّ,مَرّ
برزة	بَرَّز,رَزَّة,بَرَز,بَرُز,رُزّ
ببعض	بَعْض
ايكم	أَيّ
الدورقي	NOTFOUND
يكتب	أَكْتَب,كَتَب
وماله	مال
والاخر	آخِر,آخَر
نخل	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,أَخَلّ,خَلَّى,أَخال
موهب	NOTFOUND
مهران	مُهْر,مَهْران
منكبيه	مَنْكِب,مُنْكَبّ
كن	كِين,كَنّ-ِ,كان,كَنّ
غزا	غَزا
صيد	صَيْد
صدري	صَدْرِيّ,صَدْر
درهما	دِرْهَم,دَرّ,دُرّ
حبيش	NOTFOUND
بياض	بَياض
باسناد	إِسْناد,سَنَد
اوصي	وَصَّى,أَوْصَى
المتوكل	مُتَوَكِّل
العرش	عَرْش
السبع	سُبْع,سَبْع
الاسدي	أَسَدِيّ
يلونهم	وَلِي-ِ,لَوَّن
يغسل	غَسَل-ِ,غَسَّل
يخبر	أَخْبَر,خَبُر,خَبَر,خَبَّر
ووضع	وَضْع,وَضَع
وكيف	كَيْف,كَيْفَ
نقص	قَصا,قَصّ,قَصِي-َ,نَقَص,أَقْصَى,نَقْص,نَقَّص,ناقِص,وَقَص-ِ
معروف	مَعْرُوف
كلا	كُلّ,كِلا,كَلّا
قعد	قَعَد,قَعَّد,قَعُود
فنظرت	نَظَر
فنام	نامِي,نام-َ
فسلمت	سَلَّم,سَلِم-َ
فاحسن	حَسَّن,حَسُن,أَحْسَن
غنم	غَنِم-َ,غُنْم,غَنَّم,غَنَم
طهمان	NOTFOUND
صاحبكم	صاحَب,صاحِب
سبيله	سَبِيل
دبر	دَبَّر,دَبَر,دُبْر
حية	حَيّ-َ,حَيّ,حَيَّة
حضرت	حَضَّر,حَضَر
تخرج	خَرَج,تَخَرُّج,خَرَّج,تَخَرَّج,أَخْرَج
بعثك	عُثّ,بَعَث-َ,بَعْث
بسبع	سُبْع,سَبْع
المسك	مَسْك,لَمَس,مِسْك
المرء	مَرْء
الشعثاء	أَشْعَث
الحد	لَحَد-َ,أَلْحَد,حَدّ
الجعفي	NOTFOUND
الثياب	ثَوْب
اخبرتني	أَخْبَر
احل	أَحَلّ,حَلّ-ِ,حَلَى,حَلَّى,أَحال,حَلِي-َ,حَلُو,حال,حَلّ
ينصرف	ٱِنْصَرَف
ينادي	نادَى
يعود	عاد,عَوَّد
يساله	NOTFOUND
ومثل	مَثُل,مِثْل,مَثَل,مَثَّل
وضوء	وُضُوء,وَضُؤ,ضَوْء,وَضُوء
والعمرة	عُمْرَة
مجالد	مُجالِد
فلو	لَو,لُو,فِلْو,فَلُوّ
ففي	فِي
فالتفت	ٱِلْتَفَت,ٱِلْتَفّ
فاعرض	أَعْرَض,عَرَض-ِ,عَرَّض
فاراد	أَراد
عنكم	عَن
سمعا	سَمَّع,سَمِع-َ,سَمْع
رات	NOTFOUND
خديجة	خَدِيج,خَدِيجَة
خارجة	خارِجَ,خارِجَة,خارِج
حيي	حَيّ-َ,حَيّ,حَيِيّ
امك	أُمّ
النجاشي	نَجاشِيّ
الرسول	رَسُول
الايات	أَلاي,آيَة
اقيمت	أَقام
يومين	يَوْم
ويروي	أَرْوَى,رَوَى-ِ,رَوَّى
هذين	هٰذا,هَذَى-ِ
منهال	NOTFOUND
مسكر	مُسَكَّر,مُسْكِر
محارب	مِحْراب,مُحارِب
لعنة	لَعَن-َ,عُنَّة,لَعْنَة,لُعْنَة,لَعْن
كتابه	كُتّاب,كِتابَة,كِتاب,كاتِب
شيطان	شَيْطان
زبيد	زُبَيْد
دخلنا	دَخْل,دَخَل
حر	حُرّ,حَرّ
حديد	حَدِيد
حثمة	NOTFOUND
جذعة	جَذَع,جَذَعَة,جِذْع
بعدهم	عَدّ,بَعْدَ,بُعْد
باسا	باس
المجيد	مُجِيد,مَجِيد
الدراوردي	NOTFOUND
الحراني	NOTFOUND
يقيم	قَيَّم,أَقام
وكنا	كَنا,كَنّ-ِ,وَكْن,كان,كَنّ
وقف	قَفّ,وَقَّف,وَقَف-ِ,وَقْف
وفد	وَفْد,وَفَد-ِ,وَفَّد
وعمرة	عَمَر,عَمُر,عُمْرَة,عُمْر,عَمَّر,عُمَر
وجوههم	وَجْه
هرمز	NOTFOUND
مثلها	مِثْل,مَثَل,مَثَّل
كلام	لام,كَلام
فابوا	آب,أَب,أَبْوا,أَبّ,أَبَى-َ
طلوع	طُلُوع
ركبتيه	رُكْبَة
دينارا	دِينار
تغرب	أَغْرَب,غَرَّب,تَغَرَّب,غَرَب,تَغَرُّب
براسه	رَأْس
باسم	باسِم,ٱِسْم
الهلال	هِلال
المقرئ	مُقْرِئ
الكلام	كَلام
الفا	آلِف,أَلَّف,أَلَفّ,أَلِف-َ,آلَف,أَلْفا,إِلْف,أَلِف,أَلْف
التوراة	تَوْراة
الازدي	NOTFOUND
استغفر	ٱِسْتَغْفَر
اسال	أَسال
يقطع	قَطَع-َ,قَطَّع,أَقْطَع
ولولا	لَوْلا,وَلْوَل
وانتم	ٱِنْتَمَى,أَنْتُم
والمراة	NOTFOUND
معناه	ماع-ِ,مَعْنَى
قمت	قام,قَمّ
قدير	قَدِير
فانهم	نَهِم-َ,إِنَّ,وَنَى-ِ,آن,أَنَّ,أَنّ-ِ
سائر	وَأَر,سائِر
حد	حَدّ-ِ,حَدّ
تغتسل	ٱِغْتَسَل
تسمع	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تزوجت	تَزَوَّج
تجد	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد,جَدّ-ِ
تاب	تاب,أَبَى-َ
المساجد	مَسْجِد
الفطرة	فِطْرَة,فُطْر
الغداة	غَداة
العقدي	عَقَدِيّ
الاعمال	عَمَل
الازرق	أَزْرَق
اكان	كان
اتيته	آتَى,آتِي,أَتَى-ِ
ابنته	ٱِبْن,أَبان,أَبَّن
ونهي	وَهَى-ِ,نَهْي,نُهَى,نَهَى-ِ
وسفيان	سُفْيان
والمغرب	مَغْرِب,مُغَرَّب
