اخرها	آخِر,خار,خار-ِ,آخَر
يولد	وَلَد-ِ,وَلَّد
يتعوذ	تَعَوَّذ
يبق	بَقّ,أَبْقَى,بَقِي-َ,وَبَق
وعليكم	عَلَى,عَلِيّ
وسط	وَسْطَ,وَسَّط,وَسْط
والانصار	أَنْصار
واكل	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,واكَل,أَكْل,وَكَل-ِ
هممت	هَمّ
نادي	نادِي,نادَى
مسكينا	مِسْكِين
مسطح	مُسَطَّح
مجاهدا	مُجاهِد
لحاجته	حاجَة,حاجّ,حاجَى
لاصحابه	صاحِب
فلانة	وَهَى-ِ,فُلان,آن,أَنَّة,لِأَنَّ
فريضة	فَرِيضَة
فركب	رِكاب,رُكْبَة,رَكْب,رَكَّب,رَكِب-َ
فاعطي	أَعْطَى
غنما	غَنِم-َ,غُنْم,غَنَّم,غَنَم
عيد	عَيَّد,عِيد
علمه	عَلِم-َ,عُلْمَة,عِلْم,عَلَم,عَلَّم
علمني	عَلِم-َ,عَلَّم
صلاتكم	صَلاة,صِلَة
سيفه	فاه,سَيْف,وَفَى-ِ,سِيف
خلا	خَلّ,خَلا
خالتي	خالَة
حلقة	حَلْقَة,حَلَّق,حَلْق,حَلَق,حَلَق-ِ
حقة	حُقَّة,حَقّ
حصير	حَصِير
ثيبا	ثَيِّب
تطوع	طاع,تَطَوَّع,تَطَوُّع,طَوَّع
تطمئن	طَمْأَن,ٱِطْمَأَنّ
تحمل	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
تحرم	حَرِم-َ,تَحَرَّم,حَرُم,حَرَّم,حَرَم-ُِ
بلغه	لُغَة,بُلْغَة,بَلَغ,بَلَّغ
بقول	بَقْل,قَوْل
بعضنا	عَضّ,بَعَّض,بَعْض
بزيع	NOTFOUND
بتلك	بَتَل-ُِ,بَتَّل,ذٰلِكَ,تَلّ
انطلقت	ٱِنْطَلَق
امشي	أَمْشَى,مَشَّى,مَشَى-ِ
الذكر	ذِكْر,ذَكَر
الحجارة	حَجّار,حَجَر
الاذخر	NOTFOUND
ارد	رَدِي-َ,راد,رَدَّى,أَرَدّ,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
اثنتين	ٱِثْنَتانِ
يلبي	لَبَّى
يرمي	رَمَى-ِ
يدرك	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,أَدْرَك,دار,دَرَّك
يتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
وعمران	عُمْران
وسدر	سِدْر,سَدِر-َ
وراي	راي,رَأْي,وَرَى
والاخرة	آخِرَة,آخِر
هلم	هَلَّم,هَلُمَّ,هِلَّم
نفيل	فال-ِ
نزلوا	نَزَل-ِ,نَزَّل,نَزِل-َ
نبيذ	نَبِيذ
منكر	مُنْكَر,مُنَكَّر,مُنْكِر
منزلا	مُنَزَّل,مُنْزَل,مَنْزِل
ملكا	مَلَك-ِ,مَلِك,مِلْك,مَلَّك,مُلْك
مجلسه	مَجْلِس
كثر	كُثْر,ثَرّ,كَثُر,كَثَّر
قبة	قَبَّة,قُبَّة,قَبّ
فكلوا	أَكَل
فدعاه	داعِي,دَعّ-َ,دَعا
فاين	أَيْنَ,أَيَّن
عظم	عَظُم,عُظْم,عَظْم,عَظَّم
طويلة	طَوِيل
صلاتنا	صَلاة,صِلَة
ركعتي	رَكْعَة
رحمه	رَحَّم,رَحْمَة,رَحِم,رَحِم-َ
ربما	رُبَّما
ذراعيه	ذِراع
داء	داء
خشية	خَشِي-َ,خَشْيَة
خبز	خَبَز-ِ,خُبْز
حب	حَبّ,حَبّ-ِ,حُبّ
حاطب	حاطِب
ثمر	ثَمَر
تفعلوا	فَعَل-َ
بصدقة	صَدَقَة,صِدْق
بخمس	خُمْس,خَمْس
بجمع	جَمْع
انيسة	أَنِيس
امراتك	آمِر
اليكم	آلِيّ,إِلَى,وَلِي-ِ
المازني	NOTFOUND
المؤمنون	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
الكبر	كِبْر,كِبَر,كُبْر
الصخرة	صَخْر
السكينة	سِكِّينَة,سَكِينَة
السجدتين	سَجْدَة
الرحم	رَحِم
البصرة	بَصْرَة
اعلي	أَعْلَى,عَلَّى
اعتكف	ٱِعْتَكَف
اشرب	أَشْرَب,شَرِب-َ,شَرَّب
ارضا	أَرَّض,أَرْض
اخبرك	أَخْبَر,خَبُر,خَبَر,خَبَّر
ابتاع	ٱِبْتاع
يعلمون	أَعْلَم,عَلِم-َ,عَلَّم
يستطيع	ٱِسْتَطاع
يحمل	حَمَل-ِ,حَمَّل
ويعقوب	يَعْقُوب
ومعاذ	مَعاذ
وعقبة	عَقِبَ,عُقْب,عَقَب,عَقَّب,عَقَبَة
وسلمة	سُلَّمَة,سُلَّم,سَلَّم,سَلْمَة,سِلْم
واستنشق	ٱِسْتَنْشَق
واخر	خار-ِ,خَرّ-ُِ,آخِر,خار,آخَر
منعك	مَنْع,مَنَع
منزل	مُنَزَّل,مُنْزَل,مَنْزِل
معكم	مَعَ
مصلي	مُصَلِّي,مُصَلَّى,مَصْل,مَصْلِيّ
محذورة	مَحْذُور
ماشية	ماشِيَة,ماشِي
ليحيي	حَيّا,حَيّ-َ,يَحْيَى,أَحْيَى
لقيه	لَقِي-َ,قِياء,لُقْيا
لارجو	رَجا
قولا	قَوْل
فهلا	هَلّا,هَلّ-ِ
فرقد	رَقْد,راقِد,رَقَّد,رَقَد,فَرْقَد
عباية	عَبايَة
عائذ	NOTFOUND
صلاتك	صَلاة,صِلَة
شهداء	شَهِيد
شق	شَقّ,شِقّ
سبحانك	سُبْحان
ريحا	رَيَّح,رَيِّح,رِيح
راح	راح
ذود	ذَوْد
ذراعا	ذِراع
خمسون	خَمْسُون
خطيبا	خَطِيب
حائط	حائِط
جدته	جَدا,جِدَّة,جاد,جَدّ
ثنتي	ثُنَّة
تصدقت	تَصَدَّق
بقدر	قَدْر,قِدْرَة,قَدَر,قِدْر
بعثنا	عُثّ,بَعَث-َ,بَعْث
بحينة	حِين,حَيْن,حِينَ
بالارض	أَرْض
باطل	باطِل
اهون	هَوَّن,أَهْوَن,هان
امته	أُمَّة,أَمَة,أَمات,مات
المفصل	مَفْصِل,مُفَصَّل
العقل	عِقال,عَقْل
الشخير	شَخِير
الخامسة	خامِس
الاوليين	أَوَّل,أَوْلَى,أَوَّلِيّ
الاموي	أُمَوِيّ
افاء	أَفاء
اخبراه	أَخْبَر
احيانا	حِين,أَحْيَى
اثنان	ٱِثْنانِ
يمينا	يَمِين
يكلم	كَلَّم
يعرض	أَعْرَض,عَرَض-ِ,عَرَّض
يركب	رَكَّب,رَكِب-َ,أَرْكَب
يدك	يَد,دَكّ,وَدَى-ِ
ويذكر	ذَكَر,أَذْكَر,ذَكَّر
وهناد	NOTFOUND
وقل	قَلّ-ِ,قال,قِلّ
وشعبة	شِعْب,شِعْبَة,شَعْب,شُعْبَة,شَعَّب
وسئل	سَأَل-َ
وحفصة	NOTFOUND
وجع	وَجِع-َ,وَجَع
والرجل	رَجُل,رِجْل
واربع	رَبَّع,أَرْبَع,رَبَع-َ
لنفسه	نُفْسَة,نَفْس,فَسا,نَفَس,نَفِس-َ,نَفَّس
قليل	قَلِيل
فوجدته	وَجَد-ِ
فهذا	هٰذا
فتبسم	تَبَسَّم,بَسَم-ِ
فامرهم	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,آمَر,أَمار,آمِر,أَمَر
فاتت	فات,آتَى,أَتَى-ِ
عندكم	عِنْدَ
عدوي	عُدْوَى,عَدْوَى,عَدُوّ,عَدْو
طلاق	طَلاق
ضربة	ضَرَب,ضَرَّب,ضَرْب,ضَرْبَة
صباح	صُباح,صَباح
شديدة	شَدِيد
دور	دار,دَوَّر,دَوْر
حقها	حَقّ
حسنات	حَسَنَة
حاجب	حاجِب,ٱِحْتِجاب
جبة	جُبّ,جُبَّة,جَبَه-َ,جَبّ
ثوبي	ثَوْب
ترجع	أَرْجَع,تَرَجَّع,رَجَّع,رَجَع-ِ
بيتك	بَيْت,بَيَّت
باي	أَيّ,باي
باناء	نَأْي,إِناء,أَنَى
بالعمرة	عُمْرَة
بات	باتّ,بات-ِ,آتِي
امرهم	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,آمَر,أَمار,أَمَر,آمِر
النفر	نافِر,نَفَر
الفقر	فَقْر
الفئ	NOTFOUND
الغضب	غَضِب,غَضَب
العرايا	عُرْيان
الصوت	صَوْت
الزبيب	زَبِيب
الزاني	زانِي
الحيض	حَيْض
الحول	حَوْلَ,حَوْل
الحرب	حَرْب
البيضاء	أَبْيَض
اعينهم	أَعان,عَيَّن,عَيْن
اصل	أَصْل,أَصَلَة,صال,صَلِي-َ,صَلَّى,وَصَل-ِ,صَلَى-ِ,أَصْلَى
اجران	أَجْر,جُرْن
اثم	أَثَّم,أَثِم-َ,آثِم,أَثَم,إِثْم
يميني	يَمِينِيّ,يَمِين
يمسي	مَسَى,مَسَّى,أَمْسَى
يمس	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
ونصر	أَصَرّ,صار,نَصَر,نَصْر,صَرّ-ِ,نَصَّر
ومعمر	مُعَمَّر
وضوءا	وُضُوء,وَضُؤ,ضَوْء,وَضُوء
والممات	مَمات,مُمات
والصلاة	صَلاة
واجعل	جَعَل-َ
واثلة	أَثْلَة,أَثَّل,أَثْل,أَثَل-ِ,ثَلّ
واتي	آتَى,أَتَى-ِ,آتِي,وات,واتَى
نذرت	نَذَر,نَذِر-َ
مكرم	مَكْرَم,مُكَرَّم
مكانها	مَكان
مقرن	مُقَرَّن
مرت	مار,مار-ِ,مَرّ
لعمرو	عَمْرو
لشئ	شَيْء
لحياته	حَياة,حَيَّة
كانما	كَأَنَّما
قيامه	قِيامَة,قِيام
قطعت	قَطَع-َ,قَطَّع
فقعد	قَعَد,قَعَّد,قَعُود
فعرفت	عَرَّف,عَرَف-ِ
فانظر	نَظَر
فانصرف	ٱِنْصَرَف
فاسلم	سَلَّم,أَسْلَم,سَلِم-َ
فاخذها	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
غزوت	غَزا
غربت	غَرَّب,غَرَب
غدوة	غَدْوَة,غَدِي-َ,غُدْوَة,غَدا,غُدُوّ,غَدَّى
عدو	عَدُوّ,عَدْو
عاما	عامّ,عام
شعرا	شِعْر,شَعَر,شَعْر
سريج	NOTFOUND
رءوس	رَأْس
دما	دَمّ,دَم
خبر	خَبُر,خُبَر,خَبَر,خَبَّر
حلفت	حَلَف-ِ,حَلَّف
