ناخذ	أَخَذ
موته	مَوْت,مَوَّت
مغربها	مَغْرَب,مَغْرِب,مُغَرَّب
معديكرب	NOTFOUND
لعثمان	عُثْمان
كسفت	كَسَف-ِ
قولي	قال,قَوْل
قنت	قَنا,قَنَى-ِ,قَنَت
قعودا	قاعِد,قُعُود,قَعُود
قاموا	قام
فمضمض	مَضْمَض
فضحكت	ضَحِك-َ
فراه	فَرَّى,فَرَى-ِ,فِرْيَة,فَرّ-ِ
فراش	راش,فَرّاش,فِراش
فانطلقا	ٱِنْطَلَق
غسلا	غِسْل,غَسَّل,غُسْل,غَسَل-ِ
عصي	عَصَى-ِ,عَصِيّ,عَصّ
عرج	عَرَج,عَرِج-َ,عَرَّج
عراة	عَرا,عُرْوَة,عَرّ,عارِي,عَرَّى
عدتها	عَدا,عَدّ,عُدَّة,عَدَّى,عاد,عِدَّة,عِدَة
عابس	عابِس
صرف	صِرْف,صَرَف-ِ,صَرَّف,صَرْف
صحبت	صَحِب-َ
شهرين	شَهْر
شعائر	شَعِيرَة
خمرا	خَمْر,خَمَر,خِمار,خَمَّر
خلفي	خَلْف,خِلْف,خَلْفِيّ,خُلْف,خَلْفَ,خَلَف
حولا	حَوْلَ,حَوَّل,حَوْل
حوضي	حَوْض
حمارا	حَمّار,حِمار
حدثنيه	NOTFOUND
حبل	حَبَّل,حَبَل,حَبِل,حَبْل
حامد	حامِد
ثياب	ثَوْب
ثقيف	NOTFOUND
تقولوا	قال
تجئ	جاء
بموسي	مُوسَى
بمنزلة	مُنَزَّل,مَنْزِلَة,مَنْزِل,مُنْزَل
بصلاته	صَلاة,صِلَة,بَصَل
بردائه	بَرْدِيَّة,رِداء
بتمر	تَمْر
بالبركة	بَرَكَة,بِرْكَة
انشدك	أَنْشَد,نَشَد
النفقة	نَفَقَة
الناقة	ناقِه,ناقَة
المسافر	مُسافِر
المحاقلة	مُحاقَلَة
المائدة	مائِدَة
الكلمات	كَلِمَة
القاتل	قاتِل
العرق	عَرَق,عِرْق
الصغير	صَغِير
الصبر	صَبْر
الشعير	شَعِير
الزرع	زَرْع
الذنب	ذَنَب,ذَنْب
الخطا	NOTFOUND
الخاتم	خاتَم
الحدود	حَدّ
الجنب	جَنْبَ,جَنْب
التجيبي	NOTFOUND
البلاء	بَلاء
البسر	بُسْر
الاكبر	أَكْبَر
اقرءوا	NOTFOUND
افاق	أَفّاق,أَفاق,أُفُق
اصلها	أَصَلَة,أَصْل,صال,صَلَّى,وَصَل-ِ,صَلِي-َ,صَلَى-ِ,أَصْلَى
اصبحنا	أَصْبَح,صَبَّح
ادي	أَدَّى,إِدّ,وَدَى-ِ
ابشر	بَشَر-ِ,أَبْشَر,بَشَر,بَشِر-َ,بَشَّر
يومكم	يَوْم
يعيد	عَيَّد,أَعاد
يعد	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,وَعَد-ِ,عاد,أَعَدّ
يسوق	سَوَّق,ساق
يسمي	سَمَّى,أَسْمَى
يجهر	جَهُر,جَهَر-َ
يثبت	أَثْبَت,ثَبُت,ثَبَت,ثَبَّت
وولده	وَلَد-ِ,وَلْدَة,وَلَد,وَلَّد
ونفسه	نُفْسَة,نَفْس,فَسا,نَفِس-َ,نَفَس,نَفَّس
وبحمده	حَمْد,حَمْدَة
وايما	أَيِّم,أَيُّما
وامرهم	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,آمَر,أَمَر,آمِر
واليك	آلِيّ,إِلَى,والِي,وَلِي-ِ
والصواب	صَواب
والثلث	ثُلْث
والاعمش	أَعْمَش
واستقبل	ٱِسْتَقْبَل
هبيرة	هُبَيْرَة
نفرا	نَفَّر,نافِر,نَفَر
موت	مَوْت,مَوَّت
معلقة	مُعَلَّق,مُعَلِّق
مزاحم	مُزاحِم
ليالي	لَيْلَة
للانصار	أَنْصار
لغير	غَيَّر,غَيْر
لحق	حَقّ,لَحِق-َ,حَقّ-ُِ,لَحَق
لانفسهم	نَفْس,فَسا,نَفِس-َ,نَفَّس
كفروا	كَفَر-ِ,كَفَّر
قميص	قَمِيص
قلوب	قَلُوب,قَلْب
فكره	كَرْه,كَرِه-َ,فِكْرَة,كَرُه,كَرَّه,كَرِه,كَرّ,فَكَّر,فِكْر,كُرْه,كُرَة
فصه	فَصّ,فِصَّة
فرمي	رَمْي,رَمَى-ِ,رَمّ
فرخص	رُخْص,رَخَّص,رَخُص,رَخْص,رُخْصَة
فتقدم	تَقَدُّم,قَدِم-َ,تَقَدَّم,أَقْدَم,قَدَّم
فاتاني	فات,آتَى,أَتان,أَتَى-ِ
غفرت	غَفَر,غَفَّر
غروبها	غُرُوب
عهدا	عَهْد,عَهِد-َ
عرعرة	عَرْعَر,عَرْعَرَة
عجز	عَجْز,عَجِز-َ,عَجُز,عَجَّز
عتاب	عِتاب
عاتقه	عاتِق
ظن	ظَنّ
صدر	صَدَّر,صَدْر,صَدَر
صبيح	صَبِيح
شرط	شَرْط,شَرَط,شَرَّط
شاتين	شاة
سن	سَن,سِنّ,سَنّ
سلك	سِلْك,سَلّ,سَلَّك,سَلَك,سِلّ
سالني	سال-ِ,وَلِي-ِ,أَلان
ساعدة	عَدّ,عَدَّى,أَعْدَى,ساعِدَة,أَعاد,عَدا,ساعَد,عاد,وَعَد-ِ,ساعِد,أَعَدّ
زلت	زال-َ,زال,زَلّ-َِ
رمل	رَمْل,رَمَّل
ذؤيب	NOTFOUND
حملها	حَمْل,حَمَل,حَمَل-ِ,حِمْل,حَمَّل
ثماني	ثَمِين,ثَمانِي
تيسر	يَسَّر,يَسِر-َ,تَيَسَّر,يَسُر
تموت	مَوَّت,مات
تفرد	تَفَرُّد,تَفَرَّد,فَرَّد,أَفْرَد
تركته	تَرَك,تَرِكَة,تَرَّك
تر	وَرَى-ِ,رَأَى-َ
تبيعوا	باع-ِ,أَباع
بيوم	يَوْم
بلحم	لَحْم,لَحِم
بقوم	قَوْم
بالرجل	رَجُل,رِجْل
بالبطحاء	أَبْطَح
اوتي	آتَى,أُوتِي
انثي	أُنْثَى
الميتة	مَيِّت,مَيْتَة,مِيتَة
المروة	مُرُوَّة,مَرْوَة
المائة	مِئَة
الغيب	غَيْب,غائِب
الضالين	ضالّ
الصحيفة	صَحِيفَة
الشفاعة	شَفاعَة
الرحال	رِحال,رَحّال,رَحْل
الدخان	دُخان
الدابة	دابَّة
الخيط	خَيْط
الحضر	حَضَر
الحديثين	حَدِيث
الحاج	حاجّ
الثيب	ثَيِّب
التوبة	تَوْبَة
البكاء	بُكاء,بَكِيء,بَكّاء
البتة	أَلَب,بَتَّة,أَلَّب
الانصارية	أَنْصارِيّ
اغني	غَنِي-َ,أَغْنَى,أَغَنّ,غَنَّى
اعددت	أَعَدّ
اشعر	شَعَر,أَشْعَر
احسنت	أَحْسَن
اتشهد	NOTFOUND
يومي	يَوْم,يَوْمِيّ
ينكر	نَكَّر,نَكِر-َ,أَنْكَر
يعنون	أَعان,عَنَى-ِ,عَنْوَن,عَنَّى,عَنا,عَنّ
يعرفه	عَرَّف,عَرَف-ِ
يصب	وَصَب-ِ,صَبّ,أَصاب,يَصْب,صَبا,صَبِي-َ,صَبّ-َ,صَبَّى
يشك	وَشَى-ِ,شَكّ,شاك,أَشاك,شَكا
يشتري	ٱِشْتَرَى
يشترط	ٱِشْتَرَط
يبكيك	بَكَى-ِ,بَكَّى,أَبْكَى
ياكله	أَكَل
ونهانا	نَها,نُهَى,نَهَى-ِ
ونزلت	نَزَل-ِ,نَزَّل,نَزِل-َ
وقالا	قال
وعمار	عَمّار
وجعه	وَجِع-َ,جِعَة,وَجَع
وامرنا	أَمْر,مار,مار-ِ,أَمَّر,مَرَّن,أَمَرّ,مَرّ,أَمار,آمَر,آمِر,أَمَر
والفضل	فَضْل
واقتص	ٱِقْتَصّ
واشربوا	أَشْرَب
واسلم	سَلَّم,أَسْلَم,سَلِم-َ
هجر	هَجَر,هَجَّر,هَجْر
نهيتكم	نُهْيَة,هَيَّت,نَهَى-ِ
منادي	مُنادِي,مُنادَى
مقدم	مَقْدَم,مُقَدِّم,مُقَدَّم
مصر	مِصْر,مُصِرّ
مرارا	مِرار
محرما	مَحْرَم,مُحَرَّم
متعة	مُتْعَة,مَتَّع,مَتَع-َ
مؤذن	مُؤَذِّن
للمسلمين	مُسْلِم,مُسَلَّم
لاهله	هِلال,هَلّ-ِ,أَهْل,أَهَلّ,آهِل
كاد	كاد-َ,كاد-ِ,إِدّ
قيصر	قَيْصَر
قيراطان	قِيراط
قميصه	قَمِيص
قلائد	قِلادَة
قتلته	قَتَل,قَتَّل,قاتِل
فولدت	وَلَد-ِ,وَلَّد
فنزع	نَزَّع,نَزْع,نَزَع-ِ
فم	فَم,م
فصعد	صَعِيد,صَعِد-َ,صَعَّد
فسئل	سَأَل-َ
فرقة	فُرْقَة,فَرَق,رَقّ,رِقّ,فَرْق,فَرَّق,رِقَّة,فِرْقَة
فرجم	رُجْمَة,رَجَّم,رَجْم,رَجَم
فجاءوا	جاء
فامرت	أَمَّر,أَمَرّ,آمَر,أَمار,أَمَر
فاقبلت	أَقْبَل
عنق	عَنَّق,عُنْق
عذب	عَذَب-ِ,عَذَّب,عَذْب,عَذُب
عبسة	عَبَّس,عَبْس,عَبَس-ِ
ظبيان	ظَبْي
طرف	طَرُف,طَرَف-ِ,طَرَف
ضالة	ضالَّة,ضالّ
صلة	صِلَة
شجر	شَجِر,شَجَّر,شَجَرَة,شَجَر
سيده	سَيِّد,دَهِي-َ,دَهَّى,دَهَى-َ,سَيِّدَة,وَدَى-ِ
سماه	سَمّ,سَمَّى,سامِي
سلول	NOTFOUND
سره	سُرّ,سِرّ,سُرَّة,سَرّ
راكب	راكِب
دعاء	دُعاء
خصيف	NOTFOUND
حلالا	حَلال
حصيات	حَصاة
جاهلية	جاهِلِيّ,جاهِلِيَّة,جاهِل
جائز	جائِز
توضئوا	NOTFOUND
تلبسوا	تَلَبَّس,لَبَّس,لَبِس-َ,أَلْبَس
تقدموا	قَدِم-َ,أَقْدَم,تَقَدَّم,قَدَّم
تساله	NOTFOUND
تامرنا	NOTFOUND
بيدها	بِيد,يَد
بنصف	نَصَف,نِصْف
بكاء	بُكاء,بَكِيء,بَكّاء
بطيب	طِيب,طَيِّب
بحر	حُرّ,بَحِر-َ,بَحْر,حَرّ,بَحَّر
بحج	حَجّ
بثوبه	ثَوْب
ببكاء	بُكاء,بَكّاء,بَكِيء
بالنار	نار
ايهم	أَيّ
انقطع	ٱِنْقَطَع
اناخ	أَناخ
امسي	أَمَسّ,أَمْس,مَسَى,مَسَّى,أَمْسَى
اليمامة	يَمام
الوفاة	وَفاة
المسكين	مِسْكِين
المزابنة	NOTFOUND
القنوت	قُنُوت
الفرائض	فَرِيضَة
العاصي	عاصِي
الطير	طَيْر
الطائفي	طائِفِيّ
الضمري	NOTFOUND
الصلاتين	صَلاة
الشاهد	شاهِد
الريان	رِيان,رَيّان
الراية	رايَة
الجزية	جِزْيَة
التروية	تَرْوِيَة
البيداء	بَيْداء
البانها	أَلْبانِيّ,لَبَن
الاربع	أَرْبَع
الابهام	إِبْهام
اكله	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,آكِلَة,أَكْل,أَكْلَة,وَكَل-ِ,إِكْلِيل
اقوي	قَوَّى,قَوِي-َ,أَقْوَى
اقامة	إِقامَة,أَقام
اصابت	أَصاب
اسرع	سَرَّع,سَرُع,أَسْرَع
ازيد	أَزْيَد,زاد-ِ,زَيَّد,أَزاد
اذناي	إِذْن,آذِن,أُذُن
اخوانكم	أَخ
اخ	أَخ,وَخَى-ِ
اتقي	ٱِتَّقَى,أَتْقَى,تَقَى-ِ
اتدرون	NOTFOUND
ابنها	ٱِبْن,آب,بَنَى-ِ,أَبان,أَبَّن
ينزع	نَزَّع,نَزَع-ِ
يلتفت	ٱِلْتَفَت
يقتلون	قَتَّل,قَتَل
يعملون	عَمِل-َ,أَعْمَل
يعطه	أَعْطَى
يعدل	عَدَل-ِ,عَدَّل
يضره	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
يصليها	صَلَّى,أَصْلَى,صَلَى-ِ
يسمعه	سَمَّع,سَمِع-َ,أَسْمَع
يسقط	أَسْقَط,سَقَط
يستلم	ٱِسْتَلَم,ٱِسْتَلام
يجوز	جاز,جَوَّز
يؤخذ	أَخَذ,أَخَّذ
ومنصور	مَنْصُور
ومسلم	مُسْلِم,مُسَلَّم
وماجوج	NOTFOUND
وفلان	فَلّ,فُلان
وسالم	سالَم,سالِم,لام,لَمّ,أَلام
ودعوة	وَدَع-َ,دَعْوَة,دَعّ-َ,دَعا,وَدَّع
وبينها	يِن,بَيَّن,بَيْنَ,بَيِّن
وانهم	نَهِم-َ,إِنَّ,وَنَى-ِ,آن,أَنّ-ِ,أَنَّ
والفارة	فارِه,فارّ,فارَة
والعسل	عَسَل
والصلوات	صَلاة
هلا	هَلّا,هَلّ-ِ
هديه	هَدْي,هَدْيَة,هَدِيَّة
نهارا	نَهار
نهار	نَهار
نصب	صَبّ,وَصَب-ِ,نَصَّب,أَصاب,نُصْب,نَصْب,صَبا,صَبِي-َ,صَبّ-َ,نُصْبَ,نَصَب,صَبَّى,نَصِب-َ
مرحوم	مَرْحُوم
ليؤتم	NOTFOUND
لفلان	فَلّ,فُلان
لام	آم-ِ,لام,أُمّ
كلكم	كُلّ,لَكْم
كسب	سَبّ,كَسْب,كَسَب-ِ,كَسَّب
قطن	قُطْن,قَطَّن,قَطَن
قتيلا	قَتِيل
قتال	قَتّال,قِتال,قاتِل
قبور	قَبْر
فمكث	مَكْث,مَكَث
فقراء	فَقِير,قارِئ
فقدمنا	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
فغفر	غَفْر,غَفَّر,غَفَر
فرات	فُرات
فدعاني	دَعّ-َ,دَعا
فخر	فَخِر-َ,فَخَر-َ,خَرّ,خَرّ-ُِ,فَخْر,خُر
فتوفي	وَفَى-ِ,وَفَّى,تَوَفَّى,أَوْفَى
فاتخذ	ٱِتَّخَذ
عجل	عَجَّل,عِجْل,عَجَل,عَجِل-َ
عتيبة	NOTFOUND
عتبان	NOTFOUND
ظهير	ظَهِير
صلاتهم	صَلاة,صِلَة
صفوف	صَفّ,صُفُوف
صبر	صَبَّر,صَبَر-ِ,صَبْر
شاني	NOTFOUND
سمعوا	سَمَّع,سَمِع-َ
سجدت	سَجَد
رغبة	رَغِب-َ,رَغَب,رَغْبَة
رديف	رَدِيف
رايتموه	NOTFOUND
خليل	خَلِيل
خالته	خالّ,خالَة,خال-َ
حياته	حَياة,حَيَّة
حدثك	حَدَث
حبشي	حَبَشِيّ,حَبَش
تغيب	تَغَيَّب,غاب-ِ,غَيَّب,تَغَيُّب
تضرب	ضَرَب,أَضْرَب,ضَرَّب
بعهد	عَهْد
براسها	رَأْس
بحقه	حُقَّة,حَقّ
بالفضة	فِضَّة
بالسواك	سِواك
بالحجارة	حَجّار,حَجَر
باركت	بارَك
ايديكم	يَد
اموت	مَوَّت,مات
امسيت	أَمْسَى
اليتيمة	يَتِيم
اليتيم	يَتِيم
النبيذ	نَبِيذ
المفطر	مُفْطِر
المسح	مَسْح,مِسْح
القهقري	قَهْقَرَى
القصاص	قُصاص,قاصّ,قَصّاص,قِصاص
العجلي	عَجْلان,أَعْجَل
العثماني	عُثْمانِيّ
الضب	ضَبّ
