واتوب	تاب,تَوَّب
نهاكم	نَها,نُهَى,نَهَى-ِ
نعي	عَيِي-َ,نَعْي,نَعِيّ,نَعَى-َ,أَعْيَى,وَعَى-ِ,نَعَى-ِ
نعمة	نَعَّم,نِعْم,عَمِي-َ,نَعْمَة,نَعَم-َُ,عَمَّى,عام,أَعْمَى,نِعْمَة,عَمِه-َ
نساءه	نِساء,نَسّاء,نَساء
نريد	أَراد
نبينا	نَبِيّ,بَيَّن
ميراثها	مِيراث
مولود	مَوْلُود
منزلة	مُنَزَّل,مَنْزِلَة,مُنْزَل,مَنْزِل
ملة	مِلَّة,مُلَّة,مَلَّة,مُلْهِي,مَلّ
ملاي	مُلَّى,مَلَى,مَلّ
مكث	مَكْث,مَكَث
مسلمين	مُسْلِم,مُسَلَّم
مره	مَرّ,مُرّ,مَرَّة
مدني	مَدِينَة,مَدّ,مَدَنِيّ
ليصلي	صَلِي-َ,صَلَّى,أَصْلَى,صَلَى-ِ
ليتني	لَيْتَ
لغني	غَنِي-َ,غِنَى,غَنِيّ,غَنَّى,غَنّ
لذي	لَذَى,لَذِي-َ,لَذِيذ,ذِي
لحديث	حَدِيث
لاعرف	عَرَّف,عَرَف-ِ,أَعْرَف
قمنا	قام,قَمّ,قَمِن
قلادة	قِلادَة
قطرة	قَطَر,قُطْر,قَطْرَة,قَطْر,قِطار,قَطَّر
فيرجع	أَرْجَع,رَجَّع,رَجَع-ِ
فمنهم	مَنّ,مِن
فلقيني	قَيْن,لَقِي-َ
فلبث	لَبْث,لَبِث-َ,بَثّ
فكشف	شِفّ,كَشَف-ِ,كَشْف
فقاموا	قام
فصبر	صَبَّر,صَبَر-ِ,صَبْر
فزعم	زَعَم,زَعْم
فرضت	فَرَض-ِ,راض,رَضّ,رَضَّى
فدفع	دَفْع,دَفَع-َ
فداك	فِدَى,فَدَى-ِ
فحل	فَحْل,حِلّ,حَلّ-ِ,حَلّ
فتقول	تَقَوُّل,قال
فاقبلوا	أَقْبَل
فاشتري	ٱِشْتَرَى
فاستاذنت	NOTFOUND
فاخرجت	أَخْرَج
فاخذوا	أَخَذ,آخَذ,أَخَّذ
فاجر	آجَر,جار,فاجِر,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
غد	غَد
عصب	عَصَب,عَصَب-ِ,عَصَّب,عَصَبَة
عرينة	عَرِينَة,عَرَّى,عَرِين
عرضه	عَرَض,عُرْضَة,عَرْضَة,عَرَض-ِ,عَرْض,عِرْض,عَرَّض
عدلا	عَدَل-ِ,عَدْل,عَدَّل
عتيك	عَتِيّ,عُتِيّ
ظلما	ظُلْم,ظَلَم-َِ
طويل	طَوِيل
طهر	طُهْر,طَهَّر,طَهَر
طلقت	طَلَق,طَلَّق
ضربه	ضَرَب,ضَرَّب,ضَرْب,ضَرْبَة
صلاحه	صالِح,صَلاح
صغيرة	صَغِيرَة,صَغِير
شربة	شَرِب-َ,شُرْب,شَرَّب,شَرْبَة
سقي	سَقَى-ِ,سَقْي
سر	سُرّ,سِرّ,سَرّ
زميل	زَمِيل
زفر	زَفَّر,زَفِر,زَفَر,زَفَر-ِ
رحالكم	رِحال,رَحّال,رَحْل
رايتك	رايَة
راكعا	راكِع
ذنوبه	ذَنْب
درست	دَرَّس,دَرَس
خذها	أَخَذ
خده	خُدَّة,خَدّ
حولها	حَوْلَ,حَوْل,حَوَّل
حمص	حِمْص,حَمَّص,حُمُّص
جل	جَلّ,جَلّ-ِ,جُلّ
جدار	جِدار
جار	جار,جارِي
توضات	NOTFOUND
تكتب	أَكْتَب,كَتَب
تقل	قَلّ-ِ,قَلا,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
تفتح	فَتَح-َ,تَفَتَّح,تَفَتُّح
تعطه	أَعْطَى
تعرض	أَعْرَض,تَعَرَّض,تَعَرُّض,عَرَض-ِ,عَرَّض
تشربوا	أَشْرَب,تَشَرَّب,شَرِب-َ,شَرَّب
تابع	تابِع,تابَع
بيعهما	بَيْع
بوجه	وَجْه
بهؤلاء	هٰذا
بلدكم	أَلَدّ,لِدّ,بَلَّد,بَلَد
بكنيتي	كُنْيَة
بعنيه	NOTFOUND
بعثا	بَعَث-َ,بَعْث
بطني	بَطّ,بَطْنِيّ,طُنّ,بَطْن
بصاع	صاع
بسنة	باس,سِنّ,سُنَّة,سَنَة,سَنّ
باهل	أَهْل,باهِل,آهِل
بالكوفة	كُوفَة
بالخير	خَيِّر,خَيْر
ايمانهم	إِيمان,يَمِين
انشق	نَشِق-َ,ٱِنْشَقّ,نَشَّق,أَنْشَق
انج	نَجَّى,أَنْجَى,نَجا
انتهيت	ٱِنْتَهَى
امرؤ	اِمْرُؤ,مَرُؤ-َ,مَرِئ-َ
اليمامي	NOTFOUND
المنزل	مُنَزَّل,مُنْزَل,مَنْزِل
المنتشر	مُنْتَشِر
المعافري	NOTFOUND
اللحية	لُحَيَّة,لِحْيَة
القعيس	NOTFOUND
القدور	قِدْر
الفرج	فَرَج,فَرْج
الغزو	غَزْو
