للذين	لَذِي-َ,الَّذِي
لكي	كَي,كَيّ,لُكّ,لَكّ
لقمة	لَقِم-َ,قِمَّة,لَقَم,قَمّ,لَقَّم,لُقْمَة
لانها	أَنّ-ِ,آن,لِأَنَّ
لال	إِل,آل,ال
لاقضين	NOTFOUND
كفا	كَفّ
كسر	كَسْر,سُرّ,كَسَر-ِ,كَسَّر,سِرّ
كرب	كَرَب,كَرْب,رُبّ,كُرْبَة,رَبّ
كداء	داء
كبد	بُدّ,كَبَد,كَبِد,كَبَّد
قولك	قَوْل
قدح	قِدْح,قَدَح,قَدَح-َ,قَدْح
قتلهن	قَتَّل,قَتَل,قَتْل
قبضه	قَبْضَة,قَبْض,قُبْضَة,قَبَّض,قَبَض-ِ
قبضة	قَبْض,قَبْضَة,قُبْضَة,قَبَّض,قَبَض-ِ
فيذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
فناداه	نادَى,ناد
فمشي	مِشّ,مَشْي,مَشّ,مَشَّى,مَشَى-ِ
فليصم	صَمّ,أَصْمَى,أَصَمّ,وَصَم-ِ,صام
فلعله	لَعْل,عِلَّة,لَعَلَّ
فلتغتسل	ٱِغْتَسَل
فقتلوه	قَتَل,قَتَّل
ففرج	فَرَّج,فَرَج,فَرْج
فعلا	عَلاة,فَعَل-َ,فِعْل,عَلا
فعظم	عَظُم,عَظْم,عَظَّم,عُظْم
فصنعت	صَنَع-َ,صَنَّع
فسالها	وَلِي-ِ,سال-ِ
فرفعه	رَفْعَة,رِفْعَة,رَفَع-َ,رَفْع,رَفَّع
فرغت	فَرَّغ,فَرَغ,فَرِغ-َ,رَغَّى,راغ,رَغا
فجاءني	جاء
فالي	وَلِي-ِ,آلِيّ,إِلَى,آل,آلَى
فافعل	فَعَل-َ,أَفْعَل
فاستسقي	ٱِسْتَسْقَى
فاخبروه	أَخْبَر
فاخبروني	أَخْبَر
غلبت	غَلَب-ِ
عشت	عَشَّى,عَشا,عاش
عرضوا	عَرَض-ِ,عَرَّض
ظاهر	ظاهَر,ظاهِر
طعم	طُعْم,طُعْمَة,طَعِم-َ,طَعْم,طَعَّم
ضربا	ضَرَب,ضَرَّب,ضَرْب
صلبه	صُلْب,صَلُب,صَلَب-ِ,صَلَّب,صَلْب
صدقوا	صَدَّق,صَدَق
صداقها	صَداق
شهدا	شَهِد-َ
شن	شان-ِ,شَنّ
سهمك	سَهَم,سَهْم
سفرا	سُفْرَة,سِفْر,سَفَر,سَفَر-ِ,سَفَّر
سرا	سُرّ,سَرّ,سِرّ
زبير	زُبَيْر
رطب	رَطْب,رَطُب,رَطَّب,رُطَب,رَطِب-َ
رزمة	رِزْمَة,رَزَم
رحيم	رَحِيم
رايتن	NOTFOUND
راوه	NOTFOUND
ذبحت	ذَبَّح,ذَبَح-َ
دماءكم	دَم
دعائه	دُعاء
دخلها	دَخْل,دَخَل
خيرهم	خَيْر,خَيَّر,خَيِّر
خواتيم	خاتام
خلقت	خَلِق-َ,خَلَق,خَلَّق,خَلُق
خطيئته	خَطِيئَة
خرجا	خَرَج,خَرْج,خَرَّج
خداش	NOTFOUND
خال	خالّ,خالِي,خال-َ,خال
حيثما	حَيْثُما
حظه	حَظّ
حرق	حَرَّق,حَرْق,حَرَق-ِ,حَرَق
حراء	حِراء
حدثتكم	حَدَث
جاءهم	جاء
ثيابي	ثَوْب
تميلة	أَمال,مَيَّل,تَمَيَّل
تقع	وَقَع-َ,أَقْعَى
تقتله	قَتَّل,قَتَل
تعط	أَعْطَى
تعس	تَعْس,عَسّ,تَعَس-َِ,وَعَس-ِ,عَسا
تصلوا	أَصْلَى,صَلَى-ِ,تَصَلَّى,صَلِي-َ,وَصَل-ِ,صَلَّى
تشتري	شَتَر-ِ,ٱِشْتَرَى
ترضون	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
تحج	حَجّ,حَجا
تجاوز	تَجاوُز,تَجاوَز,جاوَز
تجارة	جارَى,تاجِر,تِجارَة
بينك	بَيَّن,يِن,بَيْنَ,بَيِّن
بنيه	نَيّ,نِيَّة,بِنْيَة,نِيّ,بُنَيّ,بِن
بكلمات	كَلِمَة
بغلس	غَلَس
بعرضه	عُرْضَة,عَرَض,عِرْض,عَرْضَة,عَرْض
بصلاتك	صَلاة,صِلَة,بَصَل
بركعة	رَكْعَة,راكِع
براس	رَأْس,راسِي
براد	بَرّاد
بتوبة	تَوْبَة
باليمين	أَلِيم,يَمِين
بالمصلي	مَصْلِيّ,مُصَلِّي,مُصَلَّى
بالبيداء	بَيْداء
باكثر	أَكْثَر
انف	نَفَى,ناف,أَناف,أَنُوف,أَنْف,نَفا,أَنِف-َ,آنِف,نَفّ-ِ
انام	أَنام,آنام,نام-َ
امامك	أَمامَ,أَمام,إِمام
اماما	أَمامَ,إِمام,أَمام
اليهن	وَلِي-ِ,آلِيّ,إِلَى
اليقظان	يَقِظ,يَقْظان
اليشكري	NOTFOUND
الوجع	وَجَع
الهجيمي	NOTFOUND
النسك	نَسْك,نُسُك
النبيين	نَبِيّ
الملوك	مَلِك
الملائي	NOTFOUND
المطرقة	مُطْرِق,مِطْرَق
اللسان	لِسان
الكسل	كَسِل,كَسَل
الكراهية	كَراهِيَّة
القيسي	قَيْسِيّ
القلب	قَلْب
القزاز	قَزّاز,قِزاز
الفلق	فَلْق
الفاجر	فاجِر
العانة	NOTFOUND
الضيف	ضَيْف
الضرر	ضَرَر
الصاع	صاع
الشفعة	شُفْعَة
السعادة	سَعادَة
السرير	سَرِير
الراعي	راعِي
الدائم	دائِم
الحيات	حَيَّة
الحسنات	حَسَنَة
الجوزاء	جَوْزاء
الجذع	جَذَع,جِذْع
الجدر	NOTFOUND
البخل	بُخْل
الامراء	أَمِير
الافريقي	أَفْرِيقِيّ
الاشراك	شَرَك,إِشْراك
الاسلمية	NOTFOUND
اكتبوا	أَكْتَب
اقيموا	NOTFOUND
اقر	وَقَر-ِ,أَقَرّ,قَرَى-ِ,قَرا,قَرّ-َِ
اعلاه	أَعْلَى
اعطيتك	أَعْطَى,عَطاء
اصواتهما	صَوْت
اشتريها	ٱِشْتَرَى
ارضين	أَرْضَى,أَرْض
اخضر	خَضِر-َ,خَضَّر,أَخْضَر,ٱِخْضَرّ
اخذنا	أَخَذ,آخِذ,آخَذ,أَخَّذ,أَخْذ
اختلاف	ٱِخْتِلاف
احدكما	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ,حَدا
احدثوا	أَحْدَث
احبه	أَحَبّ,حَبّ-ِ,حَبا,حَبِيب
اجعلها	جَعَل-َ
اجزي	أَجْزَى,جَزَى-ِ
اثواب	ثَوْب
اثرة	أَثَر-ُِ,أَثَر,أَثِر,ثار,وَثَر-ِ,ثَرِي-َ,آثَر,أَثار,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثْرَى
ابليس	إِبْلِيس
ابرد	بَرَد,بَرَّد,بَرُد,أَبْرَد
ابر	بَرّ-ِ,أَبَرّ,بَرَى-ِ,إِبْرَة,أَبار,أَبَّر,بار,أَبَر-ُِ
ابت	آب,بَتّ,بات-ِ,أَبات,أَبّ,أَبَى-َ
ائتني	NOTFOUND
يهوي	هَوَّى,هَوَى-ِ,هَوِي-َ,أَهْوَى
ينفقه	نَفَّق,أَنْفَق,نَفَق
ينظرون	نَظَر
ينحر	نَحَر
ينتفع	ٱِنْتَفَع
يكونا	وَكَى-ِ,كان,كَوَى-ِ,كَوَّن,يَكُون
يقبلها	قَبَّل,أَقْبَل,قَبِل-َ
يفتيكم	أَفْتَى
يعيش	عَيَّش,أَعاش,عاش
يعبدون	عَبَد,عَبَّد
يطف	طاف,طاف-ِ,أَطاف,طَفا
يضر	ضَرّ,ضَرَّى,أَضَرّ,ضار,ضار-ِ
يستتر	ٱِسْتَتَر
يزكيهم	يَزَكِيّ,زَكَّى,أَزْكَى
يرحمه	رَحَّم,رَحِم-َ
يذكره	ذَكَر,أَذْكَر,ذَكَّر
يدل	أَدَلّ,دَلّ,دال,أَدْلَى,دَلَّى,أَدال
يخسفان	خَسَف-ِ
يتقدم	تَقَدَّم
ويعطي	أَعْطَى
ويضع	ضاع-ِ,وَضَع,أَضاع,ضاع
ووعدك	وَعْد,وَعَد-ِ
ونبي	نَبِيّ
ومعنا	مَعَ,ماع-ِ
ومر	مَرّ,مُرّ
وليه	وَهَى-ِ,لَيّ,وَلِي-ِ,وَلِيَّة,لَيَّة,وَلِيّ
وليسوا	لَيِس-َ,لَيْسَ
ولغ	وَلْغ,وَلَغ-َ
ولرسوله	رَسُول
ولبس	لَبَّس,لَبِس-َ,لِبْس,لَبْس
وكلوا	أَكَل,وَكَّل,وَكَل-ِ
وقتلوا	قَتَّل,قَتَل
وسجوده	سُجُود,ساجِد
وحمزة	حَمْزَة,حَمْز,حَمَز-ِ
وحرم	حَرِم-َ,حُرْمَة,حَرُم,حَرَّم,حَرَم,حَرَم-ُِ
وحدث	حَدَث
وتشميت	NOTFOUND
وامن	مَنَى-ِ,مَنّ,أَمَنّ,مَنا,أَمْن,أَمِن-َ,آمَن,أَمَّن,آمِن,مَنَّى
والليلة	لَيْلَة
والديباج	دِيباج
والدباء	NOTFOUND
والثوري	ثَوْرِيّ
واقيمت	أَقام
واعلموا	أَعْلَم,عَلِم-َ
وارسل	أَرْسَل
وارحمني	رَحَّم,رَحِم-َ
واراد	أَراد
واذكر	ذَكَر,أَذْكَر,ذَكَّر
نصيبا	نَصِيب
نصيب	أَصاب,نَصِيب
نصل	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,نَصَل-َُ,صَلَى-ِ,أَصْلَى,نَصْل
نصفين	نِصْف
نصرانيا	نَصْرانِيّ
نسك	سَكّ-َ,نُسُك,نَسْك,سَكّ,نَسَك,ساك
ندا	نَدّ,نِدّ,نَدا,نَدّ-ِ
نال	نال,أَلا,نال-َ
مكي	مَكِّيّ
مكانك	مَكان
مقالته	مَقال,مُقال
معمرا	مُعَمَّر
مضمض	مَضْمَض
مضطجع	مُضْطَجَع
مسمي	مُسِمّ,مُسَمَّى
مجاشع	NOTFOUND
ليتكلم	تَكَلَّم
لونه	لَوْن,وَنّ-ِ,وَنّ,لَوَّن
لعطاء	عَطاء
لجابر	جابَر,جابِر
لتكون	تَكَوَّن,كان,كَوَّن
لبنة	بُنّ,لِبْنَة,لِبْن,لَبِنَة,لاب,لَبَن
كريبا	NOTFOUND
كربة	كَرَب,رَبَّة,رِبَّة,رُبّ,كَرْب,كُرْبَة,رَبّ
قص	قَصّ
قتلي	قَتِيل,قَتْل
قتلوه	قَتَل,قَتَّل
قبرها	قَبَر,قَبْر,قُبَّر
قاسم	قاسَم,قاسِم
فيكون	وَكَى-ِ,كان,كَوَّن,يَكُون
فيقوم	قام,قَوَّم
فيروز	فَيْرُوز,راز
فياخذ	أَخَذ
فيؤذن	أَذَّن,آذَن
فوقه	فَوْق,فَوْقَ,وُقَّة
فوداه	وَدّ-َ,فَوْد,وَدَى-ِ
فوجدنا	وَجَد-ِ
فنزلوا	نَزَل-ِ,نَزَّل,نَزِل-َ
فمثل	مَثُل,مِثْل,مَثَل,مَثَّل
فماتت	مات
فليكن	فَلّ,كَنَى-ِ,كَنا,لَيّ,كَنَّى,كَنّ-ِ,كان,أَكَنّ
فلقي	لَقِي-َ,قِياء,فَلْق,لَقَى
فشربه	شَرِب-َ,شُرْب,شَرَّب,شَرْبَة
فسوق	فُسُوق,سَوَّق,سُوق,سَوْق
فسالهم	أَلْهَم,سال-ِ,وَلِي-ِ,لَهِم-َ
فساء	ساء,فُساء
فرح	فَرِح-َ,فَرَح,فَرِح,فَرَّح
فحملت	حَمَل-ِ,حَمَّل
فحلفت	حَلَف-ِ,حَلَّف
