الجنين	جَنِين
الجشمي	NOTFOUND
الثمن	ثُمْن,ثَمَن
التمس	ٱِلْتَمَس
التقوي	تَقْوَى
التجارة	تِجارَة
التاسعة	تاسِع
التاذين	NOTFOUND
البين	بَيْنَ,بَيِّن
البياض	بَياض
البشري	بُشْرَى,بُشْرَة,بَشَرِيّ
البس	أَلْبَس,لَبَّس,لَبِس-َ
الايتين	آيَة
الاويسي	NOTFOUND
الانفال	أَنْفال,نَفَل
الاستسقاء	ٱِسْتِسْقاء
اكلوا	أَكَل,أَكَّل,آكَل,أَكَلّ
اقصر	قَصُر,قَصَر-ِ,قَصَّر,قَصَر,أَقْصَر,أُقْصُر
اقرنين	أَقْرَن
اعلمكم	أَعْلَم,عَلِم-َ,عَلَّم
اعطوه	أَعْطَى
اعجب	أَعْجَب,عَجِب-َ,عَجَّب
اظهرنا	ظَهَّر,أَظْهُر,أَظْهَر,ظَهَر-َ
اطوف	طاف,طَوَّف
اصول	أَصْل,صال
اصواتهم	صَوْت
اسعد	سَعِد-َ,أَسْعَد
استهل	ٱِسْتَهَلّ,ٱِسْتَهال
استفتح	NOTFOUND
ازواجهم	زَوْج
ازكي	زَكَّى,زَكِي-َ,أَزْكَى
ارحمه	رَحَّم,رَحِم-َ
اذني	أُذُن,أُذُنِيّ,آذِن,إِذْن
ادخلوا	أَدْخَل,دَخَل
اخوها	خَوَى-ِ,خَوِي-َ,آخَى,أَخ
اخوة	خَوَى-ِ,أُخُوَّة,خَوِي-َ,آخَى,أَخ
اخوانا	أَخ
اخفي	أَخْفَى,خَفِي-َ,أَخَفّ,خَفَى-ِ
اخرجي	NOTFOUND
اخراج	إِخْراج
اخذا	أَخَذ,آخِذ,آخَذ,أَخَّذ,أَخْذ
احصي	أَحْصَى
احرامه	إِحْرام,حَرَم
احرام	إِحْرام,حَرَم
اجيرا	أَجِير
اتيتك	آتَى,أَتَى-ِ,آتِي
ابلا	إِبْل,أَبَلّ
ابق	آبِق,أَبَق-ُِ,بَقّ,أَبْقَى,بَقِي-َ,أَبَق,وَبَق
يومنا	يَوْم
يهلك	أَهْلَك,أَهال,هَلَّك,هال,هال-ِ,هَلَك,أَهَلّ,هَلّ-ِ
ينكحها	أَنْكَح,نَكَح-َُِ
ينقل	نَقَّل,نَقَل
