فدية	دِيَة,فِدْيَة
فخلي	خَلّ,خَلَّى,خَلِيّ
فحلبت	حَلَب-ُِ
فجئته	فَجِئ-َ,جاء
فتنحي	نَحَّى,أَنْحَى,نَحا,تَنَحَّى,نَحَى,تَنَحِّي
فبايعناه	بايَع
فايما	أَيِّم,أَيُّما
فاهدي	هَدَى-ِ,أَهْدَى
فانكرت	أَنْكَر
فانشدك	أَنْشَد,نَشَد
فانزلت	أَنْزَل
فانتهينا	ٱِنْتَهَى
فانتدب	ٱِنْتَدَب
فالتمسوها	ٱِلْتَمَس
فاكلت	أَكَل,أَكَّل,آكَل,أَكَلّ,كَلَت-ِ
فاكفئت	NOTFOUND
فاقامه	إِقامَة,أَقام
فافطروا	أَفْطَر
فاعلا	فاعِل,فاعَل
فاعطيه	أَعْطَى,عَطاء
فاعطوه	أَعْطَى
فاعترفت	ٱِعْتَرَف
فاعترف	ٱِعْتَرَف
فاسبغ	أَسْبَغ,سَبَغ-َُ
فارجمها	رَجَّم,رَجَم
فادها	آد,أَدّ,إِدّ,وَدَى-ِ
فادعوا	ٱِدَّعَى
فاجتمعوا	ٱِجْتَمَع
فاتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فئتين	فِئَة
غنمه	غُنْم,غَنِم-َ,غَنَّم,غَنَم
غنام	غَنّام
غلول	غُلُول
غل	غَلّ,غِلّ,غُلّ,غَلّ-ِ
غفور	غَفُور
غشي	غِشّ,غَشْي,غَشِي-َ,غَشّ,غَشَّى
غروب	غُرُوب
عينها	عَيْن,عَيَّن
عنقها	عَنَّق,عُنْق
عمتي	عِمَّة,عَمَّة
علمك	عِلْم,عَلَم,عَلِم-َ,عَلَّم
علق	عَلَّق,عَلِق
عفاصها	NOTFOUND
عسيلتك	NOTFOUND
عرفناه	عَرَّف,عَرَف-ِ
عرفطة	NOTFOUND
عرش	عَرَّش,عَرَش,عَرْش
عتيرة	NOTFOUND
عاش	عاش
ظلها	ظِلّ,ظَلّ-َ
ظالم	ظالِم
طفت	طاف,طَفا,طاف-ِ
صلح	صَلُح,صَلَّح,صُلْح
صلاحها	صالِح,صَلاح
صدرك	صَدْر,صَدَّر
صبرة	صُبْرَة,صَبَّر,صَبْرَة,صَبْرَه,صَبْر
صائد	NOTFOUND
شهادته	شَهادَة
شكورا	شُكْر,شَكُور
شكل	شَكْل,شَكَل,شَكِل-َ,شَكَّل
شره	شِرَّة,شَرِه-َ,شَرّ,شَرَه,شَرِه
شرابا	شَرّاب,شَراب,شُرّاب
شامي	شامِيّ
سيدة	سَيِّد,دَهِي-َ,دَهَى-َ,دَهَّى,سَيِّدَة,وَدَى-ِ
سوط	سَوْط
سمراء	أَسْمَر
سلطان	سُلْطان
سعي	سَعْي,سَعَى-َ
سترت	سَتَر,سَتَّر,رَتَّى,رَتا
سبحة	سَبْحَة,سُبْحَة,سَبَّح,سَبَح-َ
سباطة	سُباطَة,سَبِط,سُباط,سَبّاط
سارني	رَنَّى,سار-ِ,رَأَى-َ,أَرْنَى,سارّ,وَرَى-ِ
سائمة	سائِمَة
زنيا	زَنَى-ِ
زحر	زَحَر-َِ
رياء	رِئاء
رعل	NOTFOUND
رحالهم	رِحال,رَحْل,رَحّال
راية	رَأْي,رايَة
راجع	راجِع,راجَع
رابعة	رابِعَة,رابِع
ديباج	دِيباج
دمشق	دِمَشْق
دمت	دَمّ,دام,دَمَّى
دعوني	دَعّ-َ,وَدَع-َ,دَعا
دعها	دَعّ-َ,وَدَع-َ
خيلاء	أَخْيَل
خنيس	NOTFOUND
خمير	خِمِّير,خَمِير
خلابة	خَلّاب,خِلابَة
خفف	خَفَّف
خضب	خَضِب-َ,خَضَب-ِ,خَضَّب,خَضْب
خدعة	خُدْعَة,خَدَع-َ,خَدْع
خان	خان
خالة	خالّ,خالَة,خال-َ,خال
خاف	خافِي,خاف-َ
حيسا	NOTFOUND
حنطب	NOTFOUND
حمرة	حُمْرَة,حُمَر,حَمَّر,حِمار,أَحْمَر
حلقت	حَلَّق,حَلَق-ِ
حفظناه	حَفِظ-َ
حشوها	حَشا,حَشَّى,حَشّ,حَشْو
حسبته	حَسَب,حَسِب-ِ
حدرد	NOTFOUND
حجرتي	حُجْرَة
حافظوا	حافَظ
جوفه	جَوَّف,جَوْف,أَجْوَف
جوع	جُوع,جَوَّع
جهز	جَهَز-َ,جَهَّز
جمهان	NOTFOUND
جلود	جَلُود
جلسنا	جَلَس-ِ
ثيابك	ثَوْب
ثيابا	ثَوْب
ثوبك	ثَوْب,ثَوَّب
ثمنها	ثَمَّن,ثُمْن,ثَمَن
ثلثه	ثُلْث,ثَلَّث
توجهت	تَوَجَّه
تنفر	نَفَّر,نَفَر
تنتهي	ٱِنْتَهَى
تمنعوا	مَنَع
تكفر	كَفَر-ِ,كَفَّر,أَكْفَر
تكبيرات	تَكْبِير
تفتنون	فَتَن-ِ,ٱِفْتَنّ,أَفْتَن
تعول	عال,عَوَّل,أَعْوَل
تعدون	عَدا,عَدّ,عَدَّى,وَعَد-ِ,أَعْدَى,أَعَدّ
تسمعه	تَسَمُّع,سَمِع-َ,سَمَّع,أَسْمَع,تَسَمَّع
تسبيحة	تَسْبِيح
تسبوا	سَبّ,سَبَى-ِ
تزل	أَزَلّ,أَزال,زال,زال-َ,زَلّ-َِ
تزالوا	أَزال,زال-َ
تريدون	أَراد
تركتم	تَرَك,تَرَّك
ترعي	أَرْعَى,تُرْعَة,رَعا,وَرِع-ِ,رَعَى-َ
تدابروا	تَدابَر
تحسبن	حَسُب,تَحَسَّب,حَسَب,حَسِب-ِ
تترك	تَرَك,تَتَر,وَتَر-ِ,تَرَّك
تائب	تائِب
بنيت	بَنَى-ِ
بمر	مُرّ,مَرّ
بلج	بَلِج-َ,بَلَج,لُجّ
بقليل	قَلِيل
بقرا	بَقَر
بعلها	بَعْل
بظهر	ظَهْر,ظُهْر
بشراب	شَرّاب,شَراب,شُرّاب
بسواء	سَواء
بدابة	دابَّة
بثمان	ثَمِين,ثَمانِي
بالمد	مَدّ
بالقدر	قَدْر,قَدَر,قِدْرَة,قِدْر
بالصاع	صاع
بالرعب	رُعْب
بالاجر	أَجْر,أُجْرَة
بالابطح	أَبْطَح
باعلم	أَعْلَم
باربعة	أَرْبَع
باذان	أُذُن,باذّ,أَذان
باخري	أُخْرَى,آخِر,آخَر
اينا	أَيّ,أَيَّن
ايلة	آيِل,أَيِّل
اياهم	إِيّا
اولاها	أَوَّل,أَوْلَى
اولادها	وَلَد
اولاد	وَلَد
اورق	وَرَّق,أَوْرَق
اوذي	NOTFOUND
اوابد	آبِدَة
اهتدينا	ٱِهْتَدَى
انفست	NOTFOUND
انصت	أَنْصَت,نَصَت-ِ
انشدكما	أَنْشَد,نَشَد
انتقص	ٱِنْتَقَص
انبت	نَبَّت,نَبَت,أَناب,أَنْبَت,ٱِنْبَتّ,أَنَّب
امعاء	مِعاء
الورس	وَرْس
الواشمات	NOTFOUND
الهروي	هَرَوِيّ
الهرم	هَرَم,هَرِم
النوي	نَواة,نَوَى
الموتي	مَيِّت
المعلمة	مُعَلِّم
المستعان	NOTFOUND
المحلقين	مِحْلَق
المتوفي	مُتَوَفَّى
الماشي	ماشِي
المؤدب	مُؤَدِّب,مُؤَدَّب
الكفارة	كَفّارَة
الكسوف	كُسُوف
الكراع	كُراع
القطعي	قَطْعِيّ
القتباني	NOTFOUND
القاضي	قاضِي
الغفور	غَفُور
الغرماء	غَرِيم
الغابة	غابَة
العطاردي	عُطارِدِيّ
العشيرة	عَشِيرَة,عَشِير
العرية	عُرْي
