فاصبحت	أَصْبَح
فاستخرج	ٱِسْتَخْرَج
فاستجيب	ٱِسْتَجاب
فارتفعت	ٱِرْتَفَع
فارا	فار,فارّ,آر,فَأْر
فادرك	دَرَى-ِ,أَدْرَك,دار,أَدْرَى,دَرَّك,أَدار,أَدَرّ
فاخذتها	أَخَذ,آخَذ,آخِذ,أَخَّذ
فاختلفوا	ٱِخْتَلَف
فاخبرناه	أَخْبَر
فاخبرنا	خَبَر,خَبَّر,خَبُر,أَخْبَر
فاخبرتني	أَخْبَر
فاحرق	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
فاتاهم	آتَى,أَتَى-ِ,فات
غنائم	غَنِيمَة
غليظ	غَلِيظ
غائط	غائِط
عمود	عَمُود
عمره	عُمْرَة,عَمُر,عَمَّر,عُمْر,عَمَر,عُمَر
عمة	عَمِه,عِمَّة,عَمَّة,عَمّ,عَمِه-َ,عَمَه
عقدت	عَقَّد,عَقَد-ِ
عظما	عَظُم,عَظْم,عَظَّم,عُظْم
عصام	عِصام
عريانا	عُرْيان,عَرَّى
عجوة	عَجْوَة,عَجّ-ِ
عادني	عاد
ظهراني	ظَهَّر,ظَهْران,ظَهَر-َ
ظلموا	ظَلَم-َِ
ظلال	ظِلّ
ظالما	ظالِم
طلاقها	طَلاق
طفق	طَفَق,طَفِق-َ
طرفه	طَرَف,طَرْفَة,طُرْفَة,طَرْفاء,طَرَف-ِ
طبع	طَبَع-َ,طَبَّع,طَبْع
طافية	طافِيَة,طافِي
ضيق	ضَيِّق,ضِيق,ضَيَّق
ضل	ضَلّ
ضع	NOTFOUND
ضراط	ضُراط
ضار	ضارّ,ضار,ضار-ِ,ضَراوَة
صنعتم	صَنَع-َ,صَنَّع
صناديد	صِنْدِيد
صمنا	صَمّ,أَصَمّ,صام
صعيد	صَعِيد
صرمة	صَرْمَة,صَرْم,صَرَم-ِ
صراط	صِراط
صبيان	صَبِيّ
صارخا	صارِخ
ص	ص
شهدوا	شَهِد-َ
شمالي	شَمالِيّ,شِمالِيّ,شَمال,شِمال
شفاعة	شَفاعَة,شَفْع
شرطا	شَرْط,شَرَّط,شَرَط
شانهما	شان-ِ
سيئها	NOTFOUND
سواهن	سَوَّى,سِوَى
سوءا	سُوء
سني	سَنِيّ,سَنَّى,سُنِّيّ,سِنّ,سَنَى,سَنَة,سَنّ
سمن	سَمَّن,سَمْن,سِمَن,سَمِن-َ,سام,سُمُّن
سليط	سَلِيط
سلوه	سَلّ,سَلا,سَلِي-َ,سَلْوَة,سَلَّى
سلعة	سَلْع,سِلْعَة,سَلِع-َ
سكن	سَكَّن,سَكَن,ساك
سترة	رَها,رَأَى-َ,سُتْرَة,سِتْر,سَتَر,سِتار,وَرَى-ِ,سَتَّر
سبقت	سَبَق-ُِ,سَبَّق
سباع	سَبْع
سالوه	أَلْوَى,لَوِي-َ,لَوَى-ِ,سال-ِ,لَوَّى
سائلك	سائِل
زوجين	زَوْج
زوجة	زَوَّج,زَوْج,زَوْجَة
زعمت	زَعَم
رياح	رَيّاح,رِيح
رويدك	رُوَيْد
روحه	رَوَّح,رُوح,رَوْح,رَوْحَة
رمية	رَمْيَة,رَمْي,رَمِيَّة
ركوع	رُكُوع
رغبوا	رَغِب-َ
ربعة	رَبْعَة,رَبْع,رُبْع,رَبَّع
ذنوبين	NOTFOUND
ذريته	ذُرِّيّ,ذَرَى-ِ,ذَرِّيّ,ذُرِّيَّة,ذَرَّى
ذاكم	NOTFOUND
ذاكر	ذاكِر,ذاكَر
دينهم	دِين,دَيِّن,دَيْن
دنونا	دُنُوّ,دَنَّى,دَنا
دلني	دَلّ
دفنها	دَفَن-ِ,دَفْن,داف
دريت	دَرَى-ِ
خيلنا	أَخْيَل,خَيَّل,خَيْل
خولف	NOTFOUND
خواصرهما	خاصِرَة
خلقتم	خَلِق-َ,خَلَق,خَلُق,خَلَّق
خلفها	خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَّف,خَلَف
خضراء	أَخْضَر
ختم	خَتَم-ِ,خَتْم
خابوا	خاب-ِ
حيضتك	حَيْضَة
حيس	NOTFOUND
حيال	حِيالَ
حم	حَم,حَمّ
حكمك	حُكْم,حَكَم,حَكَّم
حروف	حَرْف
حرك	حُرّ,حَرَّك,حَرّ
حديثها	حَدِيث
حجير	NOTFOUND
