يعرج	عَرَج,أَعْرَج,عَرِج-َ,عَرَّج
يعجبهم	أَعْجَب,عَجَّب
يطيقونه	أَطاق
يصير	صَيَّر,صار
يشكو	شَكا
يشفي	أَشْفَى,شَفَى
يشد	شَدّ-ُِ,أَشاد,شَدا,شاد-ِ
يسلمون	سَلِم-َ,سَلَّم,أَسْلَم
يسلموا	سَلِم-َ,سَلَّم,أَسْلَم
يسلفون	سَلَّف,أَسْلَف,سَلَف
يستغفرني	ٱِسْتَغْفَر
يستعيذ	ٱِسْتَعاذ
يزداد	ٱِزْداد
يريبني	راب-ِ,أَراب
يرقد	رَقَّد,رَقَد,أَرْقَد
يرفعوه	رَفَع-َ,رَفَّع
يرفعها	رَفَع-َ,رَفَّع
يذكرها	ذَكَر,أَذْكَر,ذَكَّر
يخلف	أَخْلَف,خَلَّف,خَلَف
يختلف	ٱِخْتَلَف
يحكموك	حَكَم,أَحْكَم,حَكَّم
يحضر	حَضَر,حَضَّر,أَحْضَر
يحبهم	أَحَبّ,حَبّ-ِ,حَبا
يحبها	أَحَبّ,حَبّ-ِ,حَبا
يجني	جَنَى-ِ
يجز	أَجاز,جَزّ,جاز,جَزَى-ِ,وَجَز-ِ,أَجْزَى
يثني	ثَنَّى,ثَنَى-ِ,أَثْنَى
يتوفون	تَوَفَّى
يتناجي	تَناجَى
يتمني	تَمَنَّى,أَتَمّ
يتقاضاه	تَقاضَى
يتغمدني	تَغَمَّد
يتغدي	تَغَدَّى
يتخلف	تَخَلَّف
يتحرون	تَحَرَّى
يبيعوه	باع-ِ,أَباع
يامن	أَمِن-َ,أَمُن
ياكلها	أَكَل
يؤتيه	آتَى
ويقيم	قَيَّم,أَقام
ويقتل	قَتَل,قَتَّل
ويعطيه	أَعْطَى
ويتوب	تاب,تَوَّب
ويترك	تَرَك,وَتَر-ِ,تَرَّك
ويامر	أَمَر
ونسكي	نَسْك,نُسُكِيّ,نُسُك
ونبيك	نَبِيّ
ومماتي	مُمات,مَمات
ومعقل	مَعْقِل
ومسجد	مَسْجِد
ومحياي	NOTFOUND
وليت	وَلَّى,وَلِي-ِ,لَيْتَ
وللخازن	خازِن
ولكنك	لٰكِنَّ,كَنّ
ولحله	حُلَّة,حَلَّة,حِلَّة,حِلّ,حَلّ
وكلهم	أَكَل,وَكَّل,وَكَل-ِ,لَهِم,كُلّ,لَهْم
وكلا	كِلا,وَكَّل,كَلّا,وَكَل-ِ,كُلّ
وكرهت	كَرِه-َ,كَرُه,كَرَّه
وقمنا	قَمِن,قام,قَمّ
وقلنا	قال,قِلّ
وقلدت	قَلَّد
وفوق	فَوْق,فَوْقُ,فَوْقَ
وفرق	فِرْقَة,فَرَق,فَرْق,فَرَّق
وغضب	غَضِب-َ,غَضِب,غَضَب
وعمتها	عَمَّة,عِمَّة,عام,عَمَّى
وعقيل	عُقَيْل,عَقِيل
وعدتني	عَدا,عَدّ,عَدَّى,عاد,وَعَد-ِ
وعجل	عَجَّل,عَجَل,عَجِل-َ,عِجْل
وعثاء	وَعْثاء
وطين	طَيَّن,طِين,وَطَّى
وصاحبي	صاحِب
وشيبان	شَيْبان
وشريك	شَرْي,شَرِيك
وسعي	وُسْع,وَسَع,سَعْي,سَعَى-َ
وسع	وُسْع,وَسَع,وَسِع-َ,وَسُع,وَسَّع
وزيادة	زِيادَة
وزلفا	زَلَف,زَلَّف
ورمي	رَمّ,رَمْي,رَمَى-ِ,وَرَم
ورسولك	رَسُول
وراوا	NOTFOUND
ودينار	دِينار
وديعة	وَدِيع,وَدِيعَة
ودنا	وُدّ,وَدّ-َ,دان-ِ,دَنا
ودخان	دُخان
وخمسين	خَمْسُون,خُمْس
وخشيت	خَشِي-َ,خَشَّى
وخسرت	خَسِر-َ,خَسَّر
وخاتم	خاتَم
وحيا	حَيّا,حَيّ-َ,حَيّ,وَحْي,وَحَى-ِ
وحمل	حَمْل,حِمْل,حَمَل-ِ,حَمَل,حَمَّل
وحشي	حَشَّى,وَحْش,حَشاً,وَحْشِيّ
وحسبت	حَسُب,حَسَب,حَسِب-ِ
وحديثه	حَدِيث
وحامد	حامِد
وجهت	وَجَّه
وجلسنا	جَلَس-ِ
وجدوا	وَجَد-ِ,جَدا,جَدّ-ِ
وجدها	وَجَد-ِ,جَدّ,جِدّ
وثلاثا	ثَلاث
وتوفي	أَوْفَى,وَفَى-ِ,وَفَّى,تَوَفَّى
وتوفني	أَوْفَى,وَفَّى
وبيده	يَد,بِيد
وبنت	بَنَى-ِ,بان-ِ,بِنْت
وبذلك	ذُلّ,بَذَل,بَذْل,ذٰلِكَ
وايضا	أَيْض,أَيَّض
وانظر	نَظَر
