كاملة	آمِل,كامِل,أَمَل
كالمهدي	مُهْدَى,مَهْدِيّ,مُهْدِي
كاتبت	كاتَب
قيحا	قَيَّح,قَيْح
قولهم	قَوْل
قوس	قَوَّس,قَوِس-َ,قَوْس
قوته	قَوَّت,قُوت,قَوَّى,قُوَّة
قواما	قائِم,قَوام,قِوام,قَوّام
قلبك	قَلَّب,قَلَب-ِ,قَلْب
قضاؤه	قَضاء
قصرا	قَصُر,قَصْر,قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قِصَر
قرنه	قِرْن,قَرْن,قَرَن-ِ,قُرْنَة
قرابتي	قَرابَة,قَرّاب,قُرابَة
قرابتك	قَرابَة,قَرّاب,قُرابَة
قحط	قَحَط-َ,قَحْط,قَحَّط
قتلنا	قَتَّل,قَتَل,قَتْل
قبضته	قَبْضَة,قُبْضَة,قَبَّض,قَبَض-ِ
قبالان	NOTFOUND
قالتا	قال
قادم	قادِم
قاتله	قاتَل,قاتِل
فينطلق	ٱِنْطَلَق
فيعطي	أَعْطَى
فيرد	رَدِي-َ,راد,أَرْدَى,رَدّ,أَراد,وَرَد-ِ,رَدَّى
فيجعله	جَعَل-َ
فياتوني	أَتَى-ِ
فيابي	أَبَى-َ
فوليت	وَلِي-ِ,وَلَّى
فوافقنا	وافَق
فهيرة	هَيَّر,هَيِّر
فنودي	نَوْد,أَوْدَى,وَدَى-ِ
فنقول	قال,نُقُول
فنفختهما	نَفْخَة,نَفَخ,فَخَت-َ
فمي	فَمِيّ,مَيّ,فَم
فمسحه	مَسَّح,مَسْحَة,مَسَح-َ,مَسْح,مِسْح
فمرض	مَرِض-َ,مَرَّض,مُرْضِي,مَرَض
فماله	مال
فليلج	وَلَج-ِ,لَجّ-َِ
فليقض	قَضّ,قَضّ-َ,أَقَضّ,قاض-ِ,قاض,قَضَّى,قَضَى-ِ
فليغسله	غَسَّل,غَسَل-ِ
فليجلدها	جَلَد-ِ,جَلَّد,أَجْلَد,جَلِد-َ
فليتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
فلبثنا	لَبْث,لَبِث-َ,بَثّ
فكلوه	أَكَل,كُلْوَة
فكلهم	أَكَل,لَهِم,كُلّ,لَهْم
فكلما	كُلَّما,كَلَّم,كَلْم
فكلكم	لَكْم,كُلّ
فكرهنا	كَرِه,كَرِه-َ,كَرْه,كَرُه,كَرَّه,كُرْه
فكدت	كاد-َ,كَدّ,كَدَّى,كاد-ِ,كَدَى-ِ
فكتبوا	كَتَب
