فطرحت	طَرَّح,طَرَح-َ
فضلت	ضَلّ,فَضَّل,فَضَل
فصففنا	صَفَّف,صَفّ
فصامه	فُصام,صام
فشمت	شَمّ,شام-ِ,شَمَّت,شَمِت-َ
فسنيسره	يَسَّر
فسكتنا	سَكْت,سَكَت,سَكّ,سِكَّة,ساك,سَكَّت
فسكبت	سَكَب
فسد	فَسَّد,سَدّ,سَدّ-ِ,سُدّ,فَسَد
فزوروها	زَوَّر
فرضخ	رَضَخ-َ,رَضَخ,رَضْخ
فرشكم	فَرَش,رَشّ,فَرْش,فَرَّش,فَرَش-ِ,فُرْشَة
فرجمناه	رَجَّم,رَجَم
فذهبنا	ذَهَب-َ,ذَهَّب,ذَهَب
فداءك	فِداء,داء
فحملته	حَمْلَة,حَمَل-ِ,حَمَّل
فحلقه	حَلْقَة,حَلَّق,حَلْق,حَلَق-ِ,حَلَق
فحلت	حَلَّى,حَلُو,حال,حَلّ-ِ,حَلَى,حَلّ
فحكها	حَكّ
فحضر	حَضَر,حَضَّر
فحدثهم	حَدَث
فحبس	حَبَس-ِ,حِبْس,حَبْس
فحال	حال
فجوة	جَوّ,فَجّ,فَجْوَة,فَجا
فجلد	جِلْد,جَلَد-ِ,جَلَد,جَلَّد,جَلْد,جَلِد-َ,جَلُد
فجرت	جار,فَجَر,فَجَّر,جَرَى-ِ,جَرّ
فجاءهم	فِجاء,جاء
فتية	تِيه,فَتِيَّة,فَتِيّ,فَتَى,تَيَّه
فتوضئي	تَوَضُّؤ,وَضُؤ
فتنته	فَتَن-ِ,نات,فِتْنَة,ٱِنْتَهَى
فتمعكت	NOTFOUND
فتعوذ	تَعَوَّذ,عَوَّذ,عاذ
فترد	رَدِي-َ,راد,تَرَدِّي,رَدَّى,أَرْدَى,رَدّ,أَراد,وَرَد-ِ
فتر	فَتَر,فِتْر,وَرَى-ِ,فَتَّر,رَأَى-َ
فتختلف	ٱِخْتَلَف
فتحا	فَتَح-َ,فَتْح
فتاخذ	أَخَذ
فبني	بُنّ,بِنْيَة,بَنَى-ِ,بَنِي,بِن,نَيّ,نِيّ,بُنَيّ
فبكلمة	كَلِمَة,كَلْم
فبعت	باع-ِ
فبارك	بارّ,باراك,بارَك,آر
فايتهن	أَيّ,آيَة
فانتهوا	ٱِنْتَهَى
فاكلناه	أَكَّل,آكَل,أَكَل
فاكلته	أَكَّل,آكِل,آكَل,كَلَت-ِ,أَكَلّ,أَكَل,آكِلَة,أَكْلَة,إِكْلِيل
فاقضه	قَضَّى,قَضَى-ِ,قَضّ,قاض-ِ,قاض
فاقرت	أَقَرّ,قَرَت-ِ
فاقتلوا	NOTFOUND
فاقة	فاق,آق,وَقَى-ِ,أَقْهَى,أُقَّة,فاقَة,قَهِي-َ
فاعطانا	أَعْطَى
فاطلق	طَلَق,طَلَّق,أَطْلَق
فاطلع	أَطْلَع,ٱِطَّلَع,طَلَع
فاطعمته	أَطْعَم,طَعام
فاطر	أَطَر-ُِ,أَطَّر,طَرَّى,إِطار,طَرُو,طَرِي-َ,طَرّ-ِ,فاطِر,طَرّ,أَطْرَى,طار-ِ
فاصابه	إِصابَة,أَصاب
فاصابنا	أَصاب
فاشترطوا	ٱِشْتَرَط
فاستيقظت	ٱِسْتَيْقَظ
فاستلمه	ٱِسْتَلَم
فاستفتت	ٱِسْتَفْتَى
فاستعن	ٱِسْتَعان
فاستعجل	ٱِسْتَعْجَل
فارم	رَمّ-ِ,رام-ِ,وَرِم-ِ,رَمَى-ِ,أُرَّم,إِرَم,رَمّ,أَرَم-ِ,أَرَّم,رام
فاركع	رَكَّع,رَكَع-َ,أَرْكَع
فارقتهم	آرِق,أَراق,أَرِق,فارِق,أَرْقَة,فارَق,أَرَّق,أَرَقّ
فارسا	فارِس,أَرَس-ِ
فاردده	رَدَّد,رَدّ
فارة	فارِه,رَها,فارّ,وَرَى-ِ,فارَة,فار,رَأَى-َ,آر,فَأْر
فارادوا	أَراد
فاذنيني	NOTFOUND
فادركتهم	أَدْرَك
فاختة	فاخِت,أُخْت,آخَى
فاحرقوني	أَحْرَق
فاجدني	وَجَد-ِ,أَجْدَى,جَدا,أَجَدّ,جاد,أَجاد
فاجتمعنا	ٱِجْتَمَع
فاتم	تَمّ-ِ,أَتَمّ,تام
فاتخذه	ٱِتَّخَذ
فاتجوز	تَجَوَّز
فابيا	أَبِيّ,آبِي,أَبَى-َ
غلامي	غُلام
غطي	غَطَّى
غصن	غَصَّن,غُصْن,غاص
غرسا	غَرْس,غَرَس-ِ
غرس	غَرْس,غَرَس-ِ
غداءنا	غَداء
غاية	غايَة
عورته	عَوَّر,عَوْرَة
عمية	عَمّ,عَمِيَّة
عمرا	عَمَر,عَمُر,عُمْر,عَمَّر,عَمِر-َ,عُمَر
علماؤكم	عالِم
عكراش	NOTFOUND
عقوبة	عُقُوبَة
عقري	عُقْر,عاقِر
عقدي	عِقْد,عَقْد,عُقْدَة,عَقَدِيّ
عقب	عَقِبَ,عَقَب,عُقْب,عَقَّب
عصفور	عُصْفُور
عصبية	عَصَبِيَّة,عَصَبِيّ
عسيب	عَسِيب
عزمة	عَزْمَة,عَزْم,عَزَّم
عرقه	عَرَق,عِرْق,عَرِق-َ,عَرَّق
عرفا	عَرَّف,عَرَف-ِ,عُرْف
عرباض	NOTFOUND
عدوكم	عَدّ,عَدَّى,عَدا,عَدُوّ,عَدْو
عدلها	عَدَل-ِ,عَدْل,عَدَّل
عدس	عَدَس
عدتهن	عَدّ,عَدَّى,عُدَّة,عِدَة,عَدا,عاد,عِدَّة
عجوز	عَجُوز
عثام	NOTFOUND
عامدا	عامِد
عائدون	عائِد
ظهورهم	ظُهُور
ظهور	ظُهُور
ظني	ظَنّ,ظَنِّيّ
ظالمون	ظالِم
طيبات	طَيِّب
طوله	طَوْل,طُول,طَوَّل
طوقه	طَوَّق,طَوْق
طلقتم	طَلَق,طَلَّق
طفنا	طاف,طاف-ِ
طالوت	NOTFOUND
طاطا	NOTFOUND
ضمعج	NOTFOUND
ضلالا	ضالّ,ضَلال
ضر	ضَرّ,ضِرّ
صيامها	صائِم,صِيام
صوما	صائِم,صَوْم
صنعوا	صَنَّع,صَنَع-َ
صماتها	NOTFOUND
صلحا	صَلُح,صَلَّح,صُلْح
صغره	صَغَّر,صِغَر
صغت	صَغا,صاغ
صدران	NOTFOUND
صابر	صابِر,صابَر
شيب	أَشْيَب,شَيْب,شَيَّب
شوذب	NOTFOUND
شكونا	شَكّ,شَكْو,شَكا
شكا	شَكّ,شِيك,شَكا
شقيه	شَقِيّ,شَقّ,شِقّ
شقصا	NOTFOUND
شفيعا	شَفِيع
شفرته	شِفْرَة,شَفْرَة
شغل	شَغَّل,شَغَل-َ,شَغْل,شُغْل
شعاع	شَعاع,شُعاع
شعار	شِعار
شركم	شَرّ
شربوا	شَرِب-َ,شَرَّب
شراء	شِراء
شبوية	NOTFOUND
شئتما	شاء-َ
سوطا	سَوْط
سواهم	سَوَّى,سِوَى
سهوة	سَهْوَة,سَهْو
سمينا	سُمِّيّ,سَمَّى,سَمِيّ
سمت	سَمّ,سَمَّى,سام,سَمْت,سَما
سماعة	سَماع,سَمّاعَة
سلما	سُلَّم,سَلَّم,سَلِم-َ,سِلْم
سقيفة	سَقِيفَة
سفري	سَفَرِيّ,سَفَر,سِفْر,سُفْرَة
سرف	سَرَف
سددوا	سَدَّد
سخطه	سُخْط
سخطة	سُخْط
سحولية	NOTFOUND
سحماء	أَسْحَم
سجدوا	سَجَد
سجال	سِجال
سبيهم	سَبْي,سَبِيّ
سالها	سال-ِ,وَلِي-ِ
ساقه	ساق,وَقَى-ِ,أَقْهَى,قَهِي-َ,ساقَة
سارة	رَها,وَرَى-ِ,سار-ِ,رَأَى-َ,سارّ
زوي	زَوَى-ِ,زَوَّى
زنجويه	NOTFOUND
زبان	NOTFOUND
زان	زان-ِ,زانِي,زان
ريقه	رَيِّق,رِيق
ركبا	رِكاب,رُكْبَة,رَكْب,رَكِب-َ,رَكَّب
رقدت	رَقَّد,رَقَد
رفيقا	رَفِيق
رشدا	رَشَّد,رَشَد,رُشْد
رشد	رَشَّد,رَشَد,رُشْد
رجلها	رَجُل,رَجَّل,رِجْل,رَجِل-َ
رجز	رُجْز,رَجَز
رايا	رَأْي
راميا	رامِي
رام	رامِي,رام-ِ,رام
راجعون	راجِع
رابح	رابِح
رءوسهن	رَأْس
رءوسنا	رَأْس
ذهبنا	ذَهَب-َ,ذَهَّب,ذَهَب
ذلكم	ذٰلِكَ,ذُلّ
