لينوء	ناء
ليمنحها	مَنَح-َ
ليلتهم	لَيْلَة,ٱِلْتَهَم,لَتّ
ليلتك	لَيْلَة,لَتّ,ٱِلْتَكّ
ليكونن	NOTFOUND
ليعذبان	NOTFOUND
ليزيد	زاد-ِ,زَيَّد,أَزاد
ليزرعها	زَرَع-َ
ليذهب	أَذْهَب,ذَهَب-َ,ذَهَّب
ليخالفن	خالَف
لوط	لُوط
لورثته	وارِث,وَرِث-ِ,وَرَّث
لمعاذ	مَعاذ
لليهودي	يَهُودِيّ
للمريض	مَرِيض
للقيام	قِيام
للفرس	فَرَس,فارِسِيّ
للركوع	رُكُوع
للذاكرين	ذاكِر
للدواء	دَواء,دِواء
للاعرابي	أَعْرابِيّ
للابنة	ٱِبْن
للابد	آبِد,أَبَد
لكع	NOTFOUND
لكثرة	كَثْرَة,كُثْر,كَثَّر
لغوت	غَوَى-ِ,غَوَّى,لَغا
لعينك	لَعِين,عَيْن,عَيَّن
لصاحبك	صاحَب,صاحِب
لشريك	شَرْي,شَرِيك
لشجرة	شَجَّر,شَجَرَة,شَجِر,شَجَر
لسودة	سَوَّد,أَسْوَد
لسنة	لَسَن,لاس,سُنَّة,سِنّ,سَنَة,سَنّ,لَسِن,لَسَّن,أَلْسَن
لسنا	لَيْسَ,سِنّ,سَنَى,لَسَن,لاس,سَنا,سَنّ,لَسِن,لَسَّن,لَسِن-َ,أَلْسَن
لسلمة	سُلَّمَة,سُلَّم,سَلَّم,سَلْمَة,سِلْم
لزوجك	زَوَّج,زَوْج
لدي	لِدَة,أَلَدّ,لِدّ,لَدَى
لجعفر	جَعْفَر
لثلاثة	ثَلاث
لتنفقن	نَفِق-َ,نَفَّق,أَنْفَق,نَفَق
لتكتفئ	NOTFOUND
لتغرق	تَغَرَّق,أَغْرَق,غَرَّق,غَرِق-َ
لتسع	تِسْع,سَعَى-َ,تُسْع,وَسِع-َ
لبست	باس,لَبَّس,لَبِس-َ,بَسّ
لانتن	نَتِن-َ,نَتَن-ِ,نَتَّن,نَتُن,أَنْتَن
لاستهموا	NOTFOUND
لاستغفر	ٱِسْتَغْفَر
لاخرجن	أَخْرَج
لاخر	خَرّ-ُِ,آخِر,آخَر
لاختصينا	NOTFOUND
لاحرامه	إِحْرام,حَرَم
لاجبت	أَجاب
كيما	كَيما
كلنا	كال-ِ,كُلّ,أَكَل
كلمني	كَلَّم
كعبيه	كَعْبِيّ,كَعْب
كسبع	سُبْع,سَبْع
كرجل	رَجُل,رِجْل
كذابين	كَذّاب
كثيره	كَثِير
كتفي	كِتاف,أَكْتَف,كَتِف,كِتْف,تُفّ
كتابنا	كُتّاب,كِتاب,كاتِب
كبره	بُرّ,بَرّ,بِرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر,كَبْرَة
كافرين	كافِر
كاشد	أَشَدّ,أَشُدّ
كارهون	كارِه
قينا	قَيْن,قِياء
قيسا	قَيَّس,قَيْس
قهم	NOTFOUND
قهزاذ	NOTFOUND
قلوبنا	قَلُوب,قَلْب
قلصت	قَلَّص,قَلَص-ِ
قلتين	قُلَّة
قعدة	قِعْدَة,قَعَد,قُعَدَة,قَعْدَة,قَعَّد,قَعُود
قطعها	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
قصاص	قُصاص,قاصّ,قَصّاص,قِصاص
قسمة	قَسَمَة,قَسَم,قِسْم,قَسَّم,قَسَم-ِ,قِسْمَة
قسط	قَسَّط,قِسْط,قَسِط-َ,قَسَط
قرشي	قُرَشِيّ,قِرْش
قرانه	قِران
قرابته	قَرابَة,قَرّاب,قُرابَة
قراب	قِراب,قَرّاب
قدوم	قادِم,قَدُّوم,قُدُوم,قَدُوم
قدموني	قَدِم-َ,قَدَّم
قدرك	قَدْر,قَدَّر,قِدْرَة,قَدَر,قِدْر
قبلتك	قَبَّل,قِبْلَة,قُبْلَة,قَبِل-َ
قبرا	قَبَر,قَبْر,قُبَّر
قالهن	قال
قافلون	NOTFOUND
قارئ	قارِئ
فييسرون	يَسَّر,يَسِر-َ,يَسُر
فيومئذ	يَوْمَئِذٍ
فيكبر	كَبَّر,كَبَر,أَكْبَر
فيقضي	قَضَّى,قَضَى-ِ
فيقبل	قَبَّل,أَقْبَل,قَبِل-َ
فيصب	صَبّ,وَصَب-ِ,أَصاب,يَصْب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
فيسمع	سَمَّع,سَمِع-َ,أَسْمَع
فيسالهم	NOTFOUND
فيرجعون	أَرْجَع,رَجَّع,رَجَع-ِ
فياتيها	أَتَى-ِ
فوقي	فَوْقِيّ,فَوْق,وَقِيّ,وَقَى-ِ,فَوْقَ,وَقْي
فور	فَوَّر,فَوْرَ,فَوْر
فوجدها	وَجَد-ِ
فوجدني	وَجَد-ِ
فهن	فاه,هُنَّ,هَنّ-ِ
فهلك	هُلْك,هالِك,هَلَّك,هَلَك,هَلّ-ِ
فهبنا	هاب-َ,هَبّ
فننحر	نَحَر
فنسيتها	نَسِي-َ,نَسِيّ
فمد	مَدّ
فمازال	زال-َ
فليمنحها	مَنَح-َ
فليطعمه	أَطْعَم,طَعَّم,طَعِم-َ
فليحسن	حَسَّن,حَسُن,أَحْسَن
فليتعوذ	تَعَوَّذ
فليبعه	باع-ِ,أَباع
فلعمري	عُمْرِيّ,عُمْر,عُمَرِيّ,عُمَر
فلحقت	لَحِق-َ
فلتقل	قَلا,قَلّ-ِ,قال,أَقال,قَلِي-َ,أَقَلّ,قَلَى-ِ
فلتصبر	صَبَّر,صَبَر-ِ
فكن	كِين,كَنّ-ِ,كان,كَنّ
فكم	كَم,كَمّ
فكفوا	كَفّ,كَفَى-ِ
فكفارته	فارّ,فارَة,كَفّارَة
فكسرت	كَسَر-ِ,سِرْت,كَسَّر
فكتبت	تِبِت,كَتَب
فكانهم	آن,كان
فقوله	قَوْلَة,قَوْل
فقطعها	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قُطْعَة,قَطْعَة
فقدوا	قَدِي-َ,قَدْو,قَدا,فَقَد-ِ
فقبلها	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
ففزعت	فَزِع-َ,فَزَّع
ففدية	فِدْيَة
فغلبته	غَلَب-ِ,غَلْبَة
فغدوت	غَدا
فعملها	عَمِل-َ,عَمَل
فعمد	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
فعلموا	عَلِم-َ,عَلَّم
فعقله	عِقال,عَقْل,عُقْلَة,عَقَّل
فعد	عَدّ
فعجل	عَجَّل,عِجْل,عَجَل,عَجِل-َ
فطول	طَوْل,طُول,طَوَّل
فطلقوهن	طَلَق,طَلَّق
فطره	طُرَّة,فِطْرَة,فِطْر,طُرَة,فُطْر,طَرّ-ِ,طَرّ,فَطَر,فَطْر
فطرحه	طَرَّح,طَرَح-َ,طَرْح,طَرْحَة
فضربته	ضَرَب,ضَرَّب,ضَرْبَة
فضاقت	ضاق
فصلاهما	صَلَّى,فَصَل-ِ,صَلَى-ِ,فَصْل,فَصَّل
فصفنا	صَفَن-ِ,صَفَن,صَفّ
فصدقني	صَدَّق
فصارت	صار
فشربنا	شَرِب-َ,شُرْب,شَرَّب
فشدد	شَدَّد
فسميته	سُمِّيّ,سَمَّى,سُمِّيَّة,سَمِيّ
فسمعنا	سَمَّع,سَمِع-َ,سَمْع
فسلمنا	سُلَّم,سَلَّم,سَلِم-َ,سِلْم
فسكتوا	سَكَت,سَكَّت
فسقته	ساق,سَقَى-ِ,فاسِق,فَسَق
فسعي	سَعَى-َ,سَعْي
