يخدع	خَدَع-َ
يخبط	خَبَط-ِ
يخبرني	خَبَر,خَبَّر,أَخْبَر,خَبُر
يخبرنا	خَبَر,خَبَّر,أَخْبَر,خَبُر
يحنكه	حَنَّك,حَنَك-ُِ,أَحْنَك
يحلفوا	حَلَف-ِ,حَلَّف
يحلبها	حَلَب-ُِ
يحفرون	حَفَر-ِ
يحط	حاط,حَطّ,أَحاط
يحصن	حاص-ِ,حَصَّن,أَحْصَن,حَصُن
يحسبون	حَسُب,حَسَب,حَسِب-ِ
يحرمها	حَرَّم,حَرَم-ُِ
يحدو	حَدا
يحتلم	ٱِحْتَلَم
يحال	أَحال
يجنب	جَنَب,جَنَّب
يجعلك	جَعَل-َ
يجزئه	جَزَّأ
يجبني	جاب,جَبَّن,جَبّ,جَبَى-ِ,أَجاب,جَبَّى
يتوفي	تَوَفَّى
يتهيا	NOTFOUND
يتناثر	تَناثَر
يتلون	تَلَوَّن,تَلا,أَتْلَى
يتعاقبون	تَعاقَب
يتصدقن	تَصَدَّق
يتخير	تَخَيَّر
يتخطي	تَخَطَّى
يتحساه	تَحَسَّى
يبشرها	أَبْشَر,بَشَر,بَشَّر,بَشَر-ِ,بَشِر-َ
يبس	باس,يَبِس-َ,يَبْس,يَبَّس,يَبِس,بَسّ
يبزقن	بَزَق
يبرئني	أَبْرَأ,بَرَّأ
يباهي	باهَى
ياخذها	أَخَذ
ياتيكم	أَتَى-ِ
ياتل	NOTFOUND
يؤمنا	آمَن,أَمَّن
يؤذيني	آذَى
يؤتون	آتَى
يؤتمنون	NOTFOUND
ويوضع	وَضَع,أَوْضَع
ويهلك	أَهال,أَهْلَك,هَلَّك,هال-ِ,هال,هَلَك,أَهَلّ,هَلّ-ِ
وينهي	نَها,نَهَى-ِ,أَنْهَى
وينكح	أَنْكَح,نَكَح-َُِ
وينظرون	نَظَر
ويقبله	قَبَّل,قَبِل-َ,أَقْبَل
ويفعل	فَعَل-َ
ويفتح	فَتَح-َ
ويعلمها	أَعْلَم,عَلِم-َ,عَلَّم
ويعلم	أَعْلَم,عَلِم-َ,عَلَّم
ويعتزل	ٱِعْتَزَل
ويسقيني	سَقَى-ِ,أَسْقَى
ويسقين	سَقَى-ِ,أَسْقَى
ويستصبح	ٱِسْتَصْبَح
ويخفف	خَفّ-ِ,خَفَّف
ويجتمعون	ٱِجْتَمَع
ويثبت	ثَبُت,أَثْبَت,ثَبَت,ثَبَّت
ويامن	أَمِن-َ,أَمُن
وياتي	أَتَى-ِ
وولي	وَلِي-ِ,وَلَّى,وَلِيّ
وولدك	وَلَد-ِ,وَلَّد,وَلَد
ووعاءها	وِعاء
ووالله	NOTFOUND
ووالده	والِد
وواحدة	واحِد
وهنتهم	وَهْن,هَنَة
وهنات	هَنَة
ونقص	أَقْصَى,نَقْص,قَصا,نَقَّص,قَصّ,ناقِص,قَصِي-َ,نَقَص,وَقَص-ِ
ونفخه	نَفْخَة,نَفَخ,نَفْخ
ونفثه	نَفْث,نَفَث
ونغسلها	غَسَّل,غَسَل-ِ
ونظر	نَظَر
ونسك	نَسْك,سَكّ,سَكّ-َ,نَسَك,ساك,نُسُك
ونار	نار
ونادي	نادِي,نادَى
ونادوا	نادَى,ناد
ومواقع	مَوْقِع
ومنكم	مِن,مَنّ
ومسعر	مِسْعَر
ومخلد	مُخْلِد,مُخَلَّد
ومجامرهم	مِجْمَرَة
ومثلكم	مَثَّل,مِثْل,مَثَل
وماتت	مات
وليلتها	لَيْلَة,لَتّ
وليقض	قَضّ,قَضّ-َ,أَقَضّ,قاض-ِ,قاض,قَضَى-ِ,قَضَّى
وليرح	راح,أَراح
وليات	أَتَى-ِ
ولوددت	NOTFOUND
ولنعم	نِعْم,نِعْمَة,أَعْمَى,عَمِي-َ,عَمّ,عام,عَمَّى
ولذي	ذِي,لَذِي-َ,لَذَى,لَذِيذ
ولتحتسب	ٱِحْتَسَب
وكن	وَكْن,كان,كَنّ,كَنّ-ِ,كِين
وكلنا	أَكَل,وَكَّل,كال-ِ,وَكَل-ِ,كُلّ
وكلمه	لُمَّة,كَلَّم,كَلِمَة,لَمَّة,كَلْم,لِمَّة
وكرائم	كَرِيمَة
وكذبت	كَذَب-ِ,كَذَّب
وكافر	كافِر
وقيامه	قِيامَة,قِيام
وقلدها	قَلَّد
وقطعوا	قَطَع-َ,قَطَّع
وقصروا	قَصُر,قَصَر-ِ,قَصَّر,قَصَر
وقصر	قَصُر,قَصْر,قَصَر-ِ,قاصِر,قَصَّر,قَصَر,قِصَر
وقدموا	قَدَّم,قَدِم-َ
وقدرته	قَدَّر,قِدْرَة,قُدْرَة,قَدَر
وقبيصة	NOTFOUND
وقبورنا	قَبْر
وفعلت	فَعَل-َ
وفطر	فِطْرَة,فِطْر,فَطَر,فَطْر,فُطْر
وغيرها	غَيَّر,غَيْر
وغلظ	غَلُظ,غِلَظ,غَلَّظ
وغفر	غَفْر,غَفَّر,غَفَر
وغرب	غَرَب,غَرْب,غَرَّب
وعيينة	NOTFOUND
وعيناه	وَعَّى,وَعَى-ِ,عَيْن,عَيَّن
وعيت	وَعَّى,عَيّ-َ,وَعَى-ِ
وعيادة	عِياد,عِيادَة
وعم	عَمّ
وعلمت	عَلِم-َ,عَلَّم
وعقوبته	عُقُوبَة
وعصبي	عَصَب,عَصَبَة,عَصَبِيّ
وعرضت	عَرَض-ِ,عَرَّض
وعدا	عَدا,وَعْد,عَدّ,وَعَد-ِ
وعابها	عاب-ِ
وظنوا	ظَنّ
وظن	ظَنّ
وطالب	طالَب,طالِب
وضيئة	وَضِيء
وصلها	وَصَّل,وَصَل-ِ,وَصْل
وصلة	وُصْلَة,وَصَّل,صِلَة,وَصَل-ِ,وَصْل,وَصْلَة
وصعد	صَعِد-َ,صَعِيد,صَعَّد
وصدور	صَدْر,صُدُور
وصاعا	صاع
وشماله	شِمال,شَمال
وشماتة	شَماتَة,شامِت,شَمات
وشعبان	شَعْبان,شَعْب
وشداد	شَدِيد,شَداد,شَدّاد
وسيوفنا	سَيْف,أَوْفَى,وَفَّى
وسيف	سَيْف,وَفَى-ِ,سِيف
وسهمه	سَهَم,سَهْم
وسمن	وَسَم-ِ,سَمْن,سَمَّن,سَمِن-َ,سِمَن,سام,سُمُّن,وَسَّم
وسمعة	سَمِع-َ,سَمَّع,سَمْع,سُمْعَة
