تضعونه	وَضَع
تضرك	أَضَرّ,ضار,ضَرّ,ضار-ِ,ضَرَّى
تضر	أَضَرّ,ضار,ضار-ِ,ضَرّ,ضَرَّى
تشفوا	أَشْفَى,شَفَى,شَفّ-ِ,تَشَفَّى
تشرف	أَشْرَف,شَرُف,تَشَرَّف,شَرَّف
تسعون	وَسِع-َ,تِسْعُون,سَعَى-َ
تستعينها	ٱِسْتَعان
تستترون	ٱِسْتَتَر
تسبيحات	تَسْبِيح
تساميني	سامَى
تزغ	زاغ,أَزاغ,زاغ-ِ
تركوا	تَرَك,تَرَّك,رَكّ,رَكّ-ِ
تركتموه	تَرَك,تَرَّك
تركتكم	تَرَك,تَرِكَة,تَرَّك
ترس	رَسا,تَرَّس,تُرْس,رَسَّى,أَرْسَى,تِرْس
تردهم	رَدِي-َ,راد,رَدّ,أَراد,أَرْدَى,وَرَد-ِ,رَدَّى
تراض	تَراضِي,راضَى
تدعي	ٱِدَّعَى,دَعّ-َ,وَدَع-َ,دَعا
تخن	خَنِي-َ,أَخْنَى,خَنّ-ِ,خان,خَنا
تخلفكم	أَخْلَف,تَخَلُّف,خَلَّف,خَلَف,تَخَلَّف
تخفوه	تَخَفَّى,أَخْفَى,خَفَى-ِ
تختلف	ٱِخْتَلَف
تحلة	أَحَلّ,حَلَى,حَلَّى,أَحال,حَلِي-َ,حَلُو,حال,حَلّ
تحضر	حَضَّر,تَحَضَّر,أَحْضَر,حَضَر
تحامل	تَحامُل,تَحامَل
تجلسوا	جَلَس-ِ,أَجْلَس
تجعلني	جَعَل-َ
تجسسوا	تَجَسَّس
تتمنوا	تَمَنَّى
تبيعها	باع-ِ,تَبِيع,أَباع
تبيعة	باع-ِ,تَبِيع,أَباع
تبول	بَوَّل,بال,تَبَوَّل
تبكيه	بَكَى-ِ,بَكَّى,أَبْكَى,بَكِي-َ
تبعته	تَبِعَة,تَبِع-َ
تبرحوا	أَبْرَح,بَرَّح,بَرِح
تبدوا	أَبْدَى,بَدا,تَبَدَّى,بَدّ
تبخل	بَخِل-َ,بَخُل
تبتاعوا	ٱِبْتاع
تبايعون	بايَع
تايمت	NOTFOUND
تاما	تامّ,تام
تاكله	أَكَل
تائبين	تائِب
تؤذي	آذَى
تؤخر	ؤَخِّر
بيمين	يَمِين
بيعين	NOTFOUND
بيعوا	بيع
بياضة	بَياض,بَياضَة
بهمة	بَهْمَة,هَمّ,بَهِيم,هِمَّة
بنهب	نَهْب
بنفسي	نَفْس,نَفْسِيّ,نَفَس
بنعله	نَعْل
بنسيئة	نَسِيئَة
بمقدم	مَقْدَم,مُقَدِّم,مُقَدَّم
بمجمع	مُجَمَّع,مَجْمَع,مُجْمَع,مُجَمِّع
بليال	لَيْلَة
بكلب	كَلَب,كَلِب,كَلْب
بقرية	قَرْيَة,بَقَرِيّ,قَرِيَّة
بقراءتك	قِراءَة
بقدوم	قادِم,قَدُّوم,قُدُوم,قَدُوم
بقدرتك	قِدْرَة,قُدْرَة
بفرق	فَرْق,فِرْقَة
بفرجه	فُرْجَة,فَرَج,فَرْج
بفاحشة	فاحِش,فاحِشَة
بغل	غُلّ,غِلّ,بَغْل
بغسل	غِسْل,غُسْل
بعيدا	بُعَيْدَ,بَعِيد
بعيادة	عِياد,عِيادَة
بعس	عَسّ
بعرة	بَعْر,عُرَّة
بطهور	طَهُور
بطل	بُطْل,بَطَّل,بَطَل,بَطُل,طَلّ
بطاعة	طاعَة
بصومه	صائِم,صَوْم
بصوم	صائِم,صَوْم
بصدره	صُدْرَة,صَدْر
بصاعين	صاع
بشريك	شَرِيك,بَشَرِيّ,شَرْي
بشري	بُشْر,شِرَى,بُشْرَى,شَرّ,بِشْر,بَشَرِيّ,شَرْي,بَشَر,بُشْرَة
بسيئة	سَيِّء,سَيِّئَة
بسلام	سَلّام,سَلام
بسارق	سارِق
برص	بُرْص,بَرَص,بَرِص-َ
برسالته	رِسالَة
برحت	بَرَّح,بَرِح
براحلته	راحِل,راحِلَة
بذهيبة	NOTFOUND
بذنبه	ذَنْب,ذَنَب
بذمتهم	ذِمَّة
بذراع	ذِراع
بدية	دِيَة
بدنته	NOTFOUND
بدء	بَدْء
بخل	بَخِل-َ,خَلّ,بَخُل,بُخْل
بخطام	خِطام
بحمص	حِمْص,حُمُّص
بحضرة	حَضَر,حَضْرَة
بحرب	حَرْب
بجريرة	جَرِيرَة
بثمنها	ثُمْن,ثَمَن
بثمنه	ثُمْنَة,ثُمْن,ثَمَن
بترك	بَتْرَك,أَبْتَر,تَرْك,تُرْكِيّ,بَتَر,بَتْر
بتبوك	NOTFOUND
ببطحاء	أَبْطَح
ببضعة	بَضْع,بِضْع
باهاب	إِهاب
بالمشرق	مُشْرِق,مَشْرِق
بالكم	آل,بال,كَمّ
بالقدور	قِدْر
بالقاتل	قاتِل
بالعفو	عَفْو
بالعصر	عَصْر
بالعراق	عِراق
بالعبد	عَبْد
بالصدق	صِدْق
بالصبي	صَبِيّ
بالصبح	صُبْح
بالشهوات	شَهْوَة
بالشجرة	شَجِر,شَجَرَة
بالسنة	لِسان,سُنَّة,سَنَة,أَلْسَن
بالسلاح	سِلاح
بالسكوت	سُكُوت,سَكُوت
بالسبط	سِبْط,سَبِط
بالركب	رِكاب,رُكْبَة,رَكْب
بالدم	دَم,دَمّ
بالخطبة	خُطْبَة,خِطْبَة
بالخبر	خُبَر,خَبَر
بالحنطة	حِنْطَة
بالحصي	حَصَى
بالجعد	جَعْد
بالاعمال	عَمَل
بالاخر	آخِر,آخَر
باكله	آكِل,أُكُل,آكِلَة,أَكْل,أَكْلَة,إِكْلِيل
باكل	آكِل,أُكُل,أَكْل
باقي	باقِي
باطول	أَطْوَل
باسمع	NOTFOUND
بازغة	بازِغ
باذنيه	إِذْن,آذِن,أُذُن,أُذُنِيّ
باحق	أَحَقّ
باثمه	أَثَمَة,آثِم,أَثَم,إِثْم
بابل	إِبْل,بابِل
بئرا	بِئْر
ايم	أَيِّم
ايكفر	NOTFOUND
ايسرهما	يَسَّر,أَيْسَر
اولكم	وَلَّى,أَوَّل,أَوْلَى
اولاهم	أَوَّل,أَوْلَى
اوسع	وَسُع,أَوْسَع,وَسَّع
اوتيه	NOTFOUND
اهزم	هَزَم-ِ
انيته	آنِيّ,إِناء,أَنَى-ِ
انهلك	ٱِنْهَلّ,نَهِل-َ,ٱِنْهال,ٱِنْهَلَك
انهاكم	نَهَى-ِ,أَنْهَى
انكفا	ٱِنْكَفّ
انكره	نَكَّر,أَنْقَرَة,أَنْكَر
انكحها	أَنْكَح,نَكَح-َُِ
انقلب	ٱِنْقَلَب
انقضاء	ٱِنْقِضاء
انفخهما	نَفَخ
انطلقي	NOTFOUND
انحدثه	NOTFOUND
انتهب	ٱِنْتَهَب
انته	نات,آن,أَنّ-ِ,أَنَّة,ٱِنْتَهَى,أَنَى-ِ
انتن	نَتِن-َ,نَتَن-ِ,نَتَّن,أَنْتُنَّ,نَتُن,أَنْتَن
انتقلي	NOTFOUND
انتقصت	ٱِنْتَقَص
انتفعتم	ٱِنْتَفَع
انتظرتم	ٱِنْتَظَر
انتصر	ٱِنْتَصَر
انبعث	ٱِنْبَعَث
انائها	ناءَى,نَأْي,إِناء,أَنَى
اميري	أَمِيرِيّ,أَمِير
اميرهم	مار-ِ,أَمِير,أَمار
امطرت	أَمْطَر
امسكوا	أَمْسَك,مَسَك
امسح	مَسَّح,مَسَح-َ
امتحشوا	NOTFOUND
اليحصبي	NOTFOUND
الياس	إِلْياس
الوهم	أَلْوَى,آل,لَوِي-َ,وَهْم,أَلا,لَوَى-ِ,لَوَّى,آلَى
الولدان	وَلَد,وَلِيد
الوسط	وَسْطَ,وَسْط
الوالبي	NOTFOUND
الهي	لَهِي-َ,لَها,أَلْهَى,إِلٰهِيّ,إِلٰه,لَهَّى
الهوي	هُوَّة,هَوَى,هُوِيّ
الهوزني	NOTFOUND
النواء	NOTFOUND
النمل	نَمْل,نَمِل,نَمَل
النغير	NOTFOUND
النعاس	نُعاس
النطع	نِطْع,نَطْع
النصرانية	نَصْرانِيّ,نَصْرانِيَّة
النخلات	NOTFOUND
النبيون	نَبِيّ
النبل	نابِل,نُبْل,نَبْل
الموبقات	مُوبِقَة
المنفق	مُنْفَق
المنتصر	مُنْتَصِر
المناصع	NOTFOUND
المليكي	NOTFOUND
المكروه	مَكْرُوه
المكاره	مَكّار,مَكْرَه
المقيم	مُقِيم
المقدسة	مُقَدِّس,مُقَدَّس
المقاتلة	مُقاتِلَة,مُقاتَلَة,مُقاتِل
المقابر	مَقْبَر
المفروضة	مَفْرُوض
المعدوم	مَعْدُوم
المظلم	مُظْلِم
المرج	مَرَج,مَرْج
المراتان	NOTFOUND
المدية	مِدْيَة,مُدْيَة
المحامد	مَحْمَدَة
المجنون	مَجْنُون
المجثمة	NOTFOUND
المجاعة	مَجاعَة
المتكبرون	مُتَكَبِّر
المبرور	مَبْرُور
اللؤلؤي	لُؤْلُؤِيّ
الكواكب	كَوْكَب
الكناني	NOTFOUND
الكمين	كَمِين
الكرماني	NOTFOUND
الكبش	كَبْش
القيت	أَلْقَى
القطعة	قِطْعَة,قُطْعَة,قَطْعَة
القضاة	قاضِي
القصري	NOTFOUND
القسط	قِسْط,قَسَط
القراظ	NOTFOUND
القرابة	قَرابَة,قُرابَة,قَرّاب
القبطية	قِبْطِيّ
القادر	قادِر
القابلة	قابِل
القائمة	قائِمَة,قائِم
القائلة	قائِل
القئ	قَيْء
الفرقة	فُرْقَة,فِرْقَة
الفخذ	فَخْذ
الفتوح	فُتُوح,فَتْح
الغرفة	غُرْفَة
الغر	غِرّ,أَغَرّ
الغازي	غازِي,غازِيّ,لُغْز
العيون	عُيُون,عَيْن
العطاس	عُطاس
العصري	عَصْرِيّ
العصابة	عِصابَة
العصا	عَصاً
العشراء	عَشِير
العرفط	NOTFOUND
العذراء	عَذْراء
العدد	عَدَد
العداء	عَدّاء,عَداء
العامل	عامِل
العامة	عامّ,عامَّة
العاقلة	عاقِل
الظاهر	ظاهِر
الطوافين	NOTFOUND
الضيافة	ضِيافَة
الضرع	ضَرْع,ضِرْع
الصمة	صِمَّة
الصدائي	NOTFOUND
الصابئ	NOTFOUND
الشفرة	شِفْرَة,شَفْرَة
الشاك	شاكّ
السويقتين	سُوَيْق
السوائب	NOTFOUND
السمرقندي	NOTFOUND
السماسرة	سِمْسار
السكر	سُكْر,سُكَّر
السقيم	سَقِيم
السعر	سُعْر,سِعْر,سَعِير
السدل	سِدْل
الستارة	سِتارَة
الزوراء	أَزْوَر
الزوج	زَوْج
الريحانة	NOTFOUND
الرمح	رُمْح
الرقة	رِقَّة
الرباطي	رِباطِيّ
الذرية	ذُرِّيّ,ذَرِّيّ,ذُرِّيَّة
الديار	دار,دَيّار
الدمشقيان	دِمَشْقِيّ
الدلو	دَلْو
الخيف	NOTFOUND
الخنصر	خِنْصِر
الخمسين	خُمْس,خَمْسُون
الخلفاء	خَلِيفَة
الخطيئة	خَطِيئَة
الخصاصية	NOTFOUND
الخزائن	خِزانَة
الخراءة	NOTFOUND
الخازن	خازِن
الحيرة	حَيْرَة
الحنظلة	حَنْظَل
الحلقوم	حُلْقُوم
الحقوق	حَقّ
الحجلة	حَجَلَة,حَجْلَة
الحجرين	حَجَر
الجماع	جِماع
الجلاء	جَلاء
الجرين	NOTFOUND
الجراحات	جَرّاح
الجبلين	جَبَل
الجبارون	جَبّار
الجامع	جامِع
الثلاثين	ثَلاثُون
الثلاثاء	ثُلاثاء
الثعلبي	ثَعْلَبِيّ
الثري	ثَرَى,ثَرِيّ
التواب	تَوّاب
التهلكة	تَهْلُكَة
التهجير	تَهْجِير
التلاعن	NOTFOUND
التقينا	ٱِلْتَقَى
التفريط	تَفْرِيط
التغلبي	NOTFOUND
التزعفر	NOTFOUND
الترجل	NOTFOUND
التحرك	تَحَرُّك
التامات	NOTFOUND
البلدة	بَلْدَة
البكائي	NOTFOUND
البعث	بَعْث
البسوا	أَلْبَس
البسها	لَبَّس,لَبِس-َ,أَلْبَس
البراجم	بُرْجُمَة
البحار	بَحّار,بَحْر
البتي	بَتِّيّ
الباطن	باطِن
الانهار	نَهْر
الانف	أَنُوف,أَنْف,آنِف
الانعام	أَنْعام
الانثيين	أُنْثَى
الاقلام	قَلَم
الاصغر	أَصْغَر
الاشهلي	NOTFOUND
الاسيدي	NOTFOUND
الاسودان	أَسْوَد
الاسدية	سَدَى,أَسَدِيّ
الاستنشاق	ٱِسْتِنْشاق
الاستخارة	NOTFOUND
الاخرم	NOTFOUND
الاثر	أَثَر,أَثِر,إِثْرَ,أَثْر
الاتان	أَتان
الابرص	أَبْرَص
اكلمك	كَلَّم
اكرمه	أَكْرَم,كَرَّم
اكثرتم	أَكْثَر
اكاف	أُكاف,كافَى
اقيم	قَيَّم,أَقام
اقطعه	قَطَع-َ,قَطَّع,أَقْطَع
اقضيك	قَضَّى,قَضَى-ِ
اقدامهما	قَدَم,إِقْدام
اقتلوها	NOTFOUND
اقتلها	قَتَل,قَتَّل
اقتطع	ٱِقْتَطَع
اقتضي	ٱِقْتَضَى
افيكم	وَفَى-ِ
افيجزئ	NOTFOUND
افواهها	فُوه
افق	أَفاق,فاق,أُفُق,وَفَق-ِ
افضت	أَفاض,أَفْضَى
اغدرك	غَدَر-ِ
اغتم	ٱِغْتَمّ
اغبرت	ٱِغْبَرّ,أَغْبَر
اعمرها	عَمَر,أَعْمَر,عَمُر,عَمَّر
اعطانا	أَعْطَى
اعطاكه	NOTFOUND
اعجبها	أَعْجَب,عَجَّب
اعتكفت	ٱِعْتَكَف
اعبرها	عَبَر,عَبَّر
اعانني	أَعان,عانَى
اظفاره	ظُفُر
اطلقت	أَطْلَق
اطلبه	طَلَب
اطعمكموها	NOTFOUND
اطاعهم	أَطاع
اضحيته	أَضْحَى,أُضْحِيَّة
اصواتكم	صَوْت
اصوات	صَوْت
اصلاب	صُلْب
اصطنع	ٱِصْطَنَع
اصرف	صَرَف-ِ,صَرَّف
اصدقه	أَصْدَق,صَدَّق
اصحابهم	صاحِب
اصبحوا	أَصْبَح
اصبتم	أَصاب
اصابتها	إِصابَة,أَصاب
اشيم	شام-ِ
اشفيت	أَشْفَى
اشربة	أَشْرَب,شَرِب-َ,شَرَّب
اشتريه	ٱِشْتَرَى
اشارة	أَشار,إِشارَة
اسيرك	سَيَّر,سار-ِ,أَسار,أَسِير
اسودة	ساد,أَسْوَد,سَواد,سَوَّد,أَسَد
اسمعته	أَسْمَع
استنفق	ٱِسْتَنْفَق
استمر	ٱِسْتَمَرّ
استمتع	ٱِسْتَمْتَع
استكمل	ٱِسْتَكْمَل
استفتيته	ٱِسْتَفْتَى
استفتوا	ٱِسْتَفْتَى
استغني	ٱِسْتَغْنَى
استعملني	ٱِسْتَعْمَل
استعار	ٱِسْتَعار
استطع	ٱِسْتَطاع
استسلف	NOTFOUND
استدار	ٱِسْتَدار
استخيرك	ٱِسْتَخار
استحمل	NOTFOUND
استجيبوا	NOTFOUND
استبرا	NOTFOUND
استاخر	NOTFOUND
استاجرت	NOTFOUND
اساس	أُسّ,أَساس
اسات	آس
اريده	أَراد
ارطال	رَطْل
ارضعت	أَرْضَع
ارسلوه	أَرْسَل
ارزا	أَرَزّ,رُزّ,أَرْز
اردفني	أَرْدَف,رَدِف-َ,رَدَف
اربعوا	NOTFOUND
اراده	أَراد,إِرادَة
اذنهم	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
اذكرني	ذَكَر,أَذْكَر,ذَكَّر
اذاها	أَذَى,آذَى
اذانهم	أَذان,أُذُن
ادفعها	دَفَع-َ
ادفعه	دَفَع-َ
ادركتك	أَدْرَك
ادخلني	أَدْخَل,دَخَل
ادام	أَدام,إِدام,أَدّام
اخلاط	خَلْط
اخرم	خَرَم-ِ,خَرَّم
اختبات	NOTFOUND
اختارت	ٱِخْتار
اخبرتك	أَخْبَر
احول	حَوَّل,ٱِحْوَلّ,أَحْوَل,حال
احناه	NOTFOUND
احملهم	أَحْمَل,حَمَل-ِ,حَمَّل
احمران	أَحْمَر
احكم	حَكَّم,أَحّ,حَكَم,أَحْكَم,وَحَى-ِ
احقر	حَقُر,حَقَّر,أَحْقَر,حَقَر-ِ
احبني	أَحَبّ,حَبّ-ِ,أَحْبَن,حَبا
احبك	أَحَبّ,حَبّ-ِ,حَبَك,حَبا,حَبَّك
اجير	أَجار,جَيَّر,أَجِير
اجلهن	أَجْل,أَجَّل,جَلا,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
اجعلوها	NOTFOUND
اثرهم	أَثَر,أَثَر-ُِ,أَثِر,ثار,وَثَر-ِ,ثَرِي-َ,آثَر,أَثار,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثْرَى
اتيناك	آتَى,أَتَى-ِ
اتمها	أَتَمّ
اتك	تَكّ,تَكّ-ِ
اتقضي	تَقَضَّى
اترغب	NOTFOUND
اتحب	NOTFOUND
اتبعها	تَبِع-َ,أَتْبَع,ٱِتَّبَع
ابونا	آب,أَب,آبِي,أَبّ,أَبَى-َ
ابوكم	آب,أَب,آبِي,أَبّ,أَبَى-َ
ابنتان	ٱِبْن
ابلاه	أَبَلّ,أَبْلَى
ابقي	بَقِي-َ,أَبَق,آبِق,أَبْقَى
ابصاركم	إِبْصار,أَبْصار
ابسط	بَسُط,بَسَّط,بَسَط,أَبْسَط
ابائكم	إِباء,أَب
ائمتكم	إِمام
ييسر	يَسَّر,يَسِر-َ,يَسُر
يوقد	وَقَّد,أَوْقَد
يوطن	وَطَّن
يوطئن	أَوْطَأ,وَطَّأ
يودي	يَوَّد,أَوْدَى,وَدَى-ِ
يوجه	وَجَّه
يهديكم	أَهْدَى,هَدَى-ِ
يهتف	هَتَف-ِ
ينوبه	ناب,نَوَّب
ينكره	نَكَّر,أَنْكَر
ينكحوهن	أَنْكَح,نَكَح-َُِ
ينفذ	نَفَذ,أَنْفَذ,نَفَّذ
ينش	نَشَّى,نَشّ-ِ,نَشِي-َ
ينسلون	أَنْسَل,نَسَل,نَسَّل,ٱِنْسَلّ
ينخسفان	ٱِنْخَسَف
ينتهبها	ٱِنْتَهَب
ينتن	نات,نَتِن-َ,نَتَن-ِ,نَتَّن,نَتُن,أَنْتَن
ينتقص	ٱِنْتَقَص
ينتظرون	ٱِنْتَظَر
يناق	NOTFOUND
يمهلها	أَمْهَل,مَهَّل
يمننا	يَمَن,مَنَى-ِ,مَنّ,مَنا,أَمَنّ,يُمْن,يَمَّن,مَنَّى
يلومن	لَوَّم
يلهث	لَهَث-َ
يلقين	لَقِي-َ,أَلْقَى
يلدغ	لَدَغ
يلتمسان	ٱِلْتَمَس
يكنزون	كَنَز-ِ
يكذبون	كَذَب-ِ,أَكْذَب,كَذَّب
يكتوون	ٱِكْتَوَى
يكتمون	كَتَّم,كَتَم
يكتم	كَتَّم,كَتَم
يكتبون	أَكْتَب,كَتَب
يكب	وَكَب-ِ,أَكَبّ,أَكْبَى,كَبا,كَبّ
يقيها	وَقَى-ِ
يقوي	قَوَّى,قَوِي-َ,أَقْوَى
يقظان	يَقِظ,يَقْظان,وَقَظ-ِ
يقضين	قَضَّى,قَضَى-ِ
يقرض	أَقْرَض,قَرَض-ِ,قَرَّض
يقربنا	قَرَّب,قَرِب-َ,قَرُب
يقربك	قَرَّب,قَرِب-َ,قَرُب
يقرئنيها	NOTFOUND
يقدروا	قَدَّر,قَدِر-َ,قَدَر-ِ,قَدَر
يفي	وَفَى-ِ
يفني	وَفَى-ِ,فَنِي-َ,أَفْنَى
يفتنكم	أَفْتَن,فات,فَتَن-ِ
يفتتحون	ٱِفْتَتَح
يغنه	أَغْنَى,غَنِي-َ,غَنّ-َ,أَغَنّ,غَنَّى
يغلبهم	غَلَب-ِ
يغشاها	غَشّ,غَشِي-َ
يغز	غَزا,أَغَزّ
يغتسلون	ٱِغْتَسَل
يغتسلان	ٱِغْتَسَل
يعلمني	أَعْلَم,عَلِم-َ,عَلْمَن,عَلَّم
يعقلون	عَقَل-ِ,عَقَّل
يعظمون	عَظُم,أَعْظَم,عَظَّم
يعطون	أَعْطَى
يعرضون	أَعْرَض,عَرَض-ِ,عَرَّض
يظلمه	ظَلَم-َِ
يطيقون	أَطاق
يطيف	طَيَّف,طاف-ِ,أَطاف
يطلي	طَلَى-ِ
يطفئ	أَطْفَأ
يضيق	ضَيَّق,ضاق
يضيفونا	أَضاف
يصيد	صاد-ِ
يصيبوا	أَصاب
