وابطا	إِبْط
وابتكر	ٱِبْتَكَر
وائتوني	NOTFOUND
وائت	NOTFOUND
هيبة	هَيَّب,هَيْبَة
هياج	هِياج
هويت	هَوَى-ِ,هَوَّى,هَوِي-َ
هوي	هُوَّة,هَوَى-ِ,هَوَّى,هَوَى,هَوِي-َ,هُوِيّ
هواك	هُوَّة,هَوَى-ِ,هَوَّى,هَوَى
همت	هِمَّت,هَمّ,هَما,هام-ِ
هلموا	هَلَّم
هلكته	هَلَّك,هَلَك,هَلْكَة
هرشي	هَرْش
هديته	هَدَى-ِ,هَدْيَة,هَدِيَّة
هدانا	هَدَى-ِ,هَدّ,هُدَى
هجمت	هَجَم,هَجَّم
هبطت	هَبَط
نيته	نِيَّة,نِيّ
نية	نَيّ,نِيَّة,نِيّ
نياتهم	نِيَّة
نوف	أَوْفَى,وَفَّى,نَوْف
نواصي	ناصِيَة
نواحيها	ناحِيَة,نَوّاح
نواحيه	ناحِيَة,نَوّاح
نهران	نَهْر
نمسح	مَسَّح,مَسَح-َ
نمرقة	مَرَق,نُمْرُق,مَرَّق
نكنيك	كَنَى-ِ,كَنَّى
نكريها	نَكِر,كَرَى-ِ,أَكْرَى
نكرا	نَكِر,نُكْر,نَكَّر,نَكِر-َ
نقني	نَقّ-ِ,قَنا,وَقَى-ِ,قَنَى-ِ
نقصت	نَقَّص,نَقَص
نقشا	نَقْش,نَقَش,نَقَّش
نقرة	نَقْرَة,أَقَرّ,نَقَّر,نَقَر,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,نَقْر,قَرا,نِقْرَة,نَقِر,نُقْرَة
نقب	نَقَّب,وَقَب-ِ,نَقَب,قَبَّى,نَقْب,نَقِب,قاب,نِقاب,قَبّ,قَبا
نفلح	فَلَح-َ,أَفْلَح
نفعا	نَفَّع,نَفَع-َ,نَفْع
نطوف	طاف,طَوَّف
نطق	نَطَق,أَطاق,طَقّ,طاق,نَطَّق,نُطْق
نضرب	ضَرَب,أَضْرَب,ضَرَّب
نضر	ضَرّ,نَضِر,ضَرَّى,نَضُر,أَضَرّ,ضار,ضار-ِ,نَضَر,نَضِر-َ,نَضَّر
نضحت	نَضَح-َ,نَضَح-ِ
نصيفه	صَيَّف,نَصِيف
نصيبي	نَصِيب
نصله	صال,صَلِي-َ,وَصَل-ِ,صَلَّى,نَصَل-َُ,أَصْلَى,صَلَى-ِ,نَصْل
نصح	صَحّ-ِ,صاح-ِ,نَصْح,أَصْحَى,صَحَّى,صَحِي-َ,نَصَح-َ,ناصِح,صَحا
نسائك	نَسّاء,نِساء,نَساء
نساؤه	نِساء,نَساء
نزلتم	نَزَل-ِ,نَزَّل,نَزِل-َ
نزال	أَزال,زال-َ,نِزال
نركب	رَكِب-َ,رَكَّب,أَرْكَب
ندر	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,نَدَر,نَدُر,دَرّ-ُِ,نَدْر,دار
ندبهم	نَدَب,نَدِب-َ,نَدْب,دَبّ-ِ
نخلك	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,أَخَلّ,خَلَّى
نحمل	حَمَل-ِ,حَمَّل
نحري	نِحْر,نَحْر,أَحْرَى,حَرَى
نحدث	حَدَث,أَحْدَث
نجعله	جَعَل-َ
نجعل	جَعَل-َ
نجراني	نَجَر
نجدنا	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد
نتناوب	تَناوَب
نتلقي	تَلَقَّى
نتقي	ٱِتَّقَى,تَقَى-ِ
نبيعه	باع-ِ,أَباع
نبذة	نَبَذ-ِ,نَبَّذ,بَذّ,نُبْذَة,نَبْذ
نبذ	نَبَذ-ِ,نَبَّذ,نُبْذَة,بَذّ,نَبْذ
نبتغي	ٱِبْتَغَى
نبايعك	بايَع
ناوله	ناوَل
ناهزت	ناهَز
ناقصات	ناقِص
نافقت	نافَق
نافق	نافِق,نافَق
ناصح	ناصَح,ناصِح
نؤاجرها	NOTFOUND
ميكائيل	NOTFOUND
ميسرين	مُيَسَّر
مياه	ماء
موليا	مَوْلَى
موقنا	مُوقِن
موعدك	مَوْعِد
موضعها	مَوْضِع
موسرا	مُوسِر
موجبة	مُوجِبَة,مُوجِب,مُوجَب
مواسم	مِيسَم,مَوْسِم
مواريث	مِيراث
مهما	مَهْما,مُهِمّ
منيي	NOTFOUND
منفعة	مَنْفَعَة
منفرين	مُنَفِّر
منتهي	مُنْتَهَى,مُنْتَهِي
منتنة	مُنَتَّن,مُنْتِن
مناسكهم	مَنْسِك
منابر	مِنْبَر
ممتلئ	مُمْتَلِئ
ملي	مَلَّى,مُلَّى,مَلَى,مِلِّيّ,مَلّ,مَلِيّ
ملوكا	مَلِك
ملكه	مَلَك-ِ,مَلِك,مِلْك,مَلَّك,مَلَكَة,مَلِكَة,مُلْك
ملعونة	مَلْعُون
ملحفة	مِلْحَف
ملائكته	مَلْأَك
ملؤها	مِلْء,مَلَأ
مل	مَلّ-َ,مَلّ
مكية	مَكِّيّ
مكره	مَكَر,مَكْر,مَكَرّ,مَكْرَة,ماكِر,مَكْرَه,مُكْرَه
مكحولا	NOTFOUND
مكثت	مَكَث
مكتوبا	مَكْتُوب
مكافئتان	مُكافِئ
مكاثر	NOTFOUND
مقرنين	مُقَرَّن
مقابل	مُقابِل
مغرب	مَغْرِب,مَغْرَب,مُغَرَّب
معسرين	مُعْسِر
معرور	NOTFOUND
معرف	NOTFOUND
معتمرين	مُعْتَمِر
معتدلا	مُعْتَدِل
مظاهر	مَظْهَر
مطيرة	مُطَيْر,مَطِير
مطوية	مَطْوِيّ
مضاجعنا	مُضاجِع,مَضْجَع
مضاجعكما	مُضاجِع,مَضْجَع
مصلية	مُصَلِّي,مَصْلِيّ
مصفرا	مُصْفَرّ,مُصْفِر,مُصَفِّر
مصرع	مَصْرَع
مصدقيكم	مُصَدَّق
مصدقا	مُصَدَّق
مصحف	مُصْحَف
مشيتها	مَشَّى,مِشْيَة,مَشَى-ِ
مشهودا	مَشْهُود
مشهد	مَشْهَد
مسيكة	مَسِيك
مسست	مَسّ-َ
مسخ	مَسْخ,مَسَخ-َ
مسجدهم	مَسْجِد
مستند	مُسْتَنَد,مُسْتَنِد
مستلق	NOTFOUND
مستكبر	مُسْتَكْبِر
مستقرها	مُسْتَقِرّ,مُسْتَقَرّ
مستقبلة	مُسْتَقْبِل,مُسْتَقْبَل
مساجدكم	مَسْجِد
مزكوم	مَزْكُوم
مريئا	مَرِيء
مرها	مَرّ,مُرّ
مركن	مِرْكَن,مَرّ,مُرّ
مرققا	NOTFOUND
مرضها	مَرَض,مَرَّض
مردود	مَرْدُود
مرتفعا	مُرْتَفَع,مُرْتَفِع
مربدا	مُرَبَّد
مدينتنا	مَدِينَة,مُدِين,مَدِين
مخففة	مُخَفَّف,مُخَفِّف
مخصرة	مِخْصَرَة
مختلفة	مُخْتَلَف,مُخْتَلِف
محيضها	NOTFOUND
محمر	مُحَمَّر
محقت	مَحَق-َ
محدثون	مُحْدَث
محاسن	مَحاسِن
مجندة	مُجَنَّد
مجعل	NOTFOUND
مجزاة	NOTFOUND
مجتمعون	مُجْتَمِع
متواضعا	مُتَواضِع
متن	مَتْن,مَتَن,مَتَّن,مات
متقاربون	مُتَقارِب
متضعف	NOTFOUND
متضرعا	NOTFOUND
متبذلا	مُتَبَذِّل
مبشرات	مُبَشِّر,مِبْشَرَة
مبرح	مُبَرِّح,مُبَرَّح
مادحا	مادِح
ماءه	ماء
مؤخره	مُؤَخَّر,مُؤْخِر,مُؤَخَّرَة
ليمنع	مَنَع
ليله	لَهِي-َ,لَيْلَة,وَلِه-َِ,لَها,أَلْهَى,وَلِي-ِ,لَهَّى,لَيْل
ليلتكم	لَيْلَة,لَتّ
ليعطيه	أَعْطَى
ليطلقها	طَلَق,طَلَّق,أَطْلَق
ليضيع	ضاع-ِ,أَضاع,ضَيَّع
ليسجد	سَجَد
ليردنه	راد,رَدَن-ِ,أَراد,وَرَد-ِ
ليراجعنه	راجَع
ليذبح	ذَبَّح,ذَبَح-َ
ليامراني	أَمَر
لوطا	NOTFOUND
لوسعتهم	وُسْعَة,وَسَّع
لورقا	وَرَّق
لهدي	هَدْي,هُدَى,لَهْد,هَدَى-ِ,هَدّ
لنزلت	نَزَل-ِ,نَزَّل,نَزِل-َ
لندخل	أَدْخَل,دَخَل
لميقاتها	مِيقات
لملائكته	مَلْأَك
لمكة	مَكَّة
لمعاوية	مُعاوِيَة
لمثل	مِثْل,مَثُل,مَثَل,مَثَّل
لماعز	ماعِز
للولد	وَلَد
للمغرب	مَغْرِب,مُغَرَّب
للمساكين	مِسْكِين
للقاسم	قاسِم
للغرباء	غَرِيب
للعسري	NOTFOUND
للظهر	ظَهْر,ظُهْر
للدنيا	لَدُنِيّ,دُنْيا
للامام	أَمامَ,إِمام,أَمام
لكنا	كَنا,كَنّ-ِ,كان,لٰكِنَّ,لُكّ,لَكّ
لقيتم	لَقِي-َ
لقطة	قِطّ,لُقْطَة,لَقَط,قِطَّة,قَطّ,لَقَّط,لَقْطَة
لقسمة	قَسَمَة,قَسَم,قِسْم,قَسَّم,قَسَم-ِ,قِسْمَة
لقست	قَسَّى,قاس-ِ,قَسا,قَسّ
لقرابته	قَرابَة,قَرّاب,قُرابَة
لقرابة	قِراب,قَرابَة,قُرابَة,قَرّاب
لغيره	غَيَّر,غَيْر,غَيْرَة
لغدوة	غَدْوَة,غَدِي-َ,غُدْوَة,غَدا,غُدُوّ,غَدَّى
لغة	لُغَة
لعنتها	لَعَن-َ,عُنَّة,عَنَت,عَنَى-ِ,لَعْنَة,لُعْنَة,عَنَّت,عَنَّى,عَنا,عَنِت-َ
لعنته	لَعَن-َ,عُنَّة,عَنَت,لَعْنَة,عَنَى-ِ,لُعْنَة,عَنَّت,عَنَّى,عَنا,عَنِت-َ
لعمري	عُمْرِيّ,عُمْر,عُمَرِيّ,عُمَر
لعم	عَمّ
لعقبة	عُقْب,عَقَب,عَقَّب,عَقَبَة
لعانا	لَعْنَة,لِعان
لطعنت	طَعَن-َ
لسيده	سَيِّد,سَيِّدَة
لرافع	رافَع,رافِع
لخمسين	خُمْس,خَمْسُون
لخروجه	خُرُوج
لخالد	خالِد
لحويصة	NOTFOUND
لحومها	لَحْم,حَوَّم
لحللت	حَلّ-ِ,حَلَّل,حَلّ
لحرمه	حُرْمَة,حَرَّم,حَرَم,حَرَم-ُِ
لحاف	حافِي,لِحاف,حاف-ِ,حافّ
لثمان	ثَمِين,ثَمانِي
لتفعلون	NOTFOUND
لتصل	صال,صَلَّى,صَلِي-َ,وَصَل-ِ,أَصْلَى,صَلَى-ِ
لتحدثني	حَدَث,تَحَدَّث,أَحْدَث
لبنيها	لَبَنِيّ,بِن,بُنَيّ
لبنيه	لَبَنِيّ,بِنْيَة,بِن,لَبَنِيَّة,بُنَيّ
لبعضهم	بَعَّض,بَعْض
لاهللت	أَهَلّ
لاها	آه
لامته	لامَّة,أُمَّة,أَمات,أَمَة,لام
لاكلتها	آكِل,أَكَّل,آكَل,أَكَلّ,كَلَت-ِ,أَكَل,آكِلَة,أَكْلَة,إِكْلِيل
لاكلتم	أَكَّل,آكَل,أَكَل
لاكثر	أَكْثَر,كَثَّر,كَثُر
لاقوم	قام,أَقْوَم,قَوَّم
لاقو	NOTFOUND
لاغزون	NOTFOUND
لاسمع	سَمَّع,سَمِع-َ,أَسْمَع
لاستغفرن	ٱِسْتَغْفَر
لاخيكم	أَخ,وَخَى-ِ
لاحسب	حَسَب,حَسِب-ِ,حَسُب
لاحبك	أَحَبّ,حَبّ-ِ,حَبَك,لاحِب,حَبَّك
كورت	كَوَّر
كهيئتها	هَيْئَة
كنفه	كَنِيف,كَنَف,نَفَّة
كنانته	كِنانَة
كموج	مَوْج
كلمهم	كَلَّم,كَلْم
كلمتان	كَلِمَة
كلاليب	كُلّاب
كلاكما	كُلْوَة
كلابا	كُلّاب,كَلْب
كقطع	قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
كفارتها	فارّ,فارَة,كَفّارَة
كعدد	عَدَد
كطي	طَيّ
كشفها	شِفّ,كَشَف-ِ,كَشْف
كسرتها	كَسْرَة,كِسْرَة,كَسَر-ِ,سُرَّة,كَسَّر
كريما	كَرِيم,كرِيم
كرهها	كَرِه-َ,كَرْه,كَرَّه,كَرِه,كُرْه
كردم	رَدْم
كذبهم	كَذَب-ِ,كِذْب,كَذَّب
كذبك	كَذَب-ِ,كِذْب,كَذَّب
كذبات	NOTFOUND
كذابون	كَذّاب
كذاب	كَذّاب
كخ	NOTFOUND
كحرمتها	حُرْمَة
كثروا	كَثُر,كَثَّر
كتفا	كِتاف,أَكْتَف,كِتْف,كَتِف,كَتَّف,كَتَف-ِ
كبيرة	بِيرَة,بِيرا,كَبِير,كَبِيرَة
كبة	كَبّ,كُبَّة
كبائت	بائِت
كالملوك	مَلِك
كالبنيان	بُنْيان
كاسية	أُسّ,أُسِّيَّة,آسِي,آس,أُسِّيّ
كاجر	أُجْرَة,أَجْر
كاتما	كاتَم,كاتِم
قيلة	قَيَّل,قَيْل
قويت	قَوَّى,قَوِي-َ
قوقل	NOTFOUND
قوسا	قَوِس-َ,قَوَّس,قَوْس
قهرمان	قَهْرَمان
قميصان	قَمِيص
قمير	قَمِير
قمح	قَمَّح,قَمْح
قمتم	قام
قلوبا	قَلُوب,قَلْب
قفلنا	قَفَل,قُفْل,قَفَل-ِ,قَفَّل
قطفا	قَطْف,قُطَف,قَطَّف,قَطَف-ِ,قِطْف,قَطُوف
قطري	قَطَر,قُطْرِيّ,قُطْر,قَطْر,قَطَرِيّ,قِطار
قضاها	قَضَّى,قَضَى,قَضَى-ِ,قَضّ
قشير	NOTFOUND
قسمتها	قَسَمَة,قَسَم-ِ,قَسَّم,قِسْمَة
قريبة	قَرِيب
قربت	قَرَّب,قَرِب-َ,قَرُب
قرام	قِرام
قراريط	قِيراط
قراد	قُراد
قرابات	قَرّاب
قدحا	قِدْح,قَدَح,قَدَح-َ,قَدْح
قتلا	قَتَّل,قَتَل,قَتْل
قبطيا	قِبْطِيّ
قبرين	قَبْر
قاضيه	قاضِي
قاسما	قاسَم,قاسِم
قاربوا	قارَب
قارب	قارَب,قارِب
قادر	قادِر
قائلون	قائِل
قائلا	قائِل
فيوشك	وَشُك,وَشَّى,أَوْشَك,وَشَّك
فينقطع	ٱِنْقَطَع
فيموت	مَوَّت,مات
فيلقون	لَقِي-َ,أَلْقَى
فيقف	قَفّ,قَفا,وَقَف-ِ,قَفَّى
فيقعد	قَعَد,أَقْعَد,قَعَّد
فيعدل	عَدَل-ِ,عَدَّل
فيعجبه	أَعْجَب,عَجَّب
فيضلوا	ضَلّ,أَضَلّ
فيصنع	صَنَّع,صَنَع-َ
فيصبحون	أَصْبَح,صَبَّح
فيشرئبون	ٱِشْرَأَبّ
فيستحيي	ٱِسْتَحْيَى
فيسالها	NOTFOUND
فيساله	NOTFOUND
