ترفعن	تَرَفَّع,رَفَع-َ,رَفَّع
ترع	أَرْعَى,تُرْعَة,وَرِع-ِ,راع,أَراع,رَعا,تَرِع-َ,راع-ِ,رَعَى-َ
ترة	رَها,تَرِه-َ,وَرَى-ِ,رَأَى-َ
ترب	تَرَّب,تُرْبَة,راب-ِ,تِرْب,تَرِب-َ,راب,أَراب,رَبّ,تَرِب,أَرْبَى,رَبا,رَبَّى
تراقيهما	NOTFOUND
تراجع	تَراجَع,تَراجُع,راجَع
تذكرون	ذَكَر,أَذْكَر,ذَكَّر
تذرهم	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
تدفع	تَدَفَّع,تَدَفُّع,دَفَع-َ
تدغرن	دَغَر-َ
تدعونه	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
تدرك	دَرَى-ِ,أَدْرَى,أَدار,أَدَرّ,أَدْرَك,دار,تَدَرُّك,دَرَّك,تَدَرَّك
تخيروا	خار-ِ,خَيَّر,تَخَيَّر
تخطان	خَطّ,وَخَط-ِ
تخط	تَخَطِّي,خاط-ِ,خَطَّى,خَطا,خَطّ,وَخَط-ِ
تخشي	خَشِي-َ,تَخَشَّى,خَشَّى,خَشّ
تخذف	خَذَف-ِ
تختضب	NOTFOUND
تحيي	حَيّا,حَيّ-َ,أَحْيَى
تحية	حَيّا,تَحِيَّة,حَيّ-َ,وَحَى-ِ,أَحْيَى
تحلين	أَحَلّ,تَحَلَّى,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حَلّ
تحلي	أَحَلّ,تَحَلِّي,تَحَلَّى,حَلّ-ِ,حَلَى,حَلَّى,حَلِي-َ,حَلُو,حَلّ
تحلم	حَلَم,حَلُم
تحقرن	حَقُر,حَقَّر,حَقَر-ِ
تحصن	تَحَصَّن,أَحْصَن,حاص-ِ,حَصَّن,تَحَصُّن,حَصُن
تحرمه	حَرَّم,حَرَم-ُِ
تحرجوا	حَرَّج,أَحْرَج,تَحَرَّج,حَرِج-َ
تحدثه	حَدَث,تَحَدُّث,تَحَدَّث,أَحْدَث
تحبسني	حَبَس-ِ
تحابوا	تَحابّ,حابَى
تحابا	تَحابّ
تجر	جار,أَجار,تَجَر,تَجَّر,أَجْرَى,جَرَى-ِ,جَرّ,أَجَرّ
تجارا	أَجار,تاجِر
تتسع	ٱِتَّسَع
تتزر	تَزَرَّى
تتجافي	تَجافَى
تبعثوا	بَعَث-َ
تبعثنا	بَعَث-َ
تبعا	تَبِع-َ,تَبَع
تبرق	أَبْرَق,بَرَق
تبتغوا	ٱِبْتَغَى
تبتعه	ٱِبْتاع
تبايعوني	بايَع,تَبايَع
تاخذون	أَخَذ
تاتيك	أَتَى-ِ
تابت	تاب
تؤم	NOTFOUND
بيوتا	بَيُّوت,بَيْت,يُوتا
بينتك	بَيِّنَة,بَيَّن
بيضتهم	بَيْضَة,بَيَّض,بَيْض
بيتهم	بَيْت,بَيَّت
بيانه	بَيان
بيانا	بَيان,يانا
بوقت	وَقْت,بَوَّق
بوادي	بَوادِي,وادِي
بهدي	هَدْي,هُدَى,هَدّ
بنون	نُون,بِن
بنكاح	نِكاح
بنعمتك	نَعْمَة,نِعْمَة
بنعلين	نَعْل
بنسعة	NOTFOUND
بنجس	نَجِس,نَجَس
بناقة	ناقَة,ناقِه
بمدي	مَدّ,مَدَى,مُدْيَة
بمجلس	مَجْلِس
بلغها	بُلْغَة,بَلَغ,بَلَّغ
بلغتها	لُغَة,بُلْغَة,بَلَغ,بَلَّغ
بلعنة	بَلَّع,بَلَع-َ,لَعْنَة,بَلِع-َ,لُعْنَة,لَعْن
بلدك	أَلَدّ,لِدّ,بَلَّد,بَلَد
بلحيته	لُحَيَّة,لِحْيَة
بلجام	لِجام
بلت	بَلّ-ِ,بَلّ,بَلا,بال,لَتّ
بلادهم	بَلَد
بكيت	كِيت,بَكَى-ِ,بَكَّى,بَكِي-َ
بكف	كَفّ
بكذبهم	كِذْب
بقينا	بَقِي-َ,قِياء,بَقّ
بقوسي	قَوْس
بقوسك	قَوْس
