وطحنت	طَحَن-َ
وطئ	وَطِئ-َ,وَطْء
وضربه	ضَرَب,ضَرَّب,ضَرْبَة,ضَرْب
وصيتها	صَيِّت,وَصَّى,صِيت,وَصِيَّة
وصومي	صائِم,صَوْم
وصوروا	صَوَّر
وصوبه	صَوْب,صَوَّب,صَوْبَة
وصلك	وَصَّل,وَصَل-ِ,وَصْل
وصفوا	صَفا,وَصَف-ِ,صَفَّى,صَفْو,صَفّ
وصففت	صَفَّف,صَفّ
وصدقوا	صَدَّق,صَدَق
وصدقت	صَدَّق,صَدَق
وصححها	صَحَّح
وشركه	شَرِكَة,شِرْك,شَرَك,شَرِك-َ
وشربوا	شَرِب-َ,شَرَّب
وشدة	شَدّ-ُِ,شِدَّة,شَدَه-َ,شَدّ
وشبابة	شَبّ,شَباب,شَبّابَة
وسميت	سَمَّى
وسمعنا	سَمِع-َ,سَمَّع,سَمْع
وسماني	وَسَم-ِ,سُمانَى,سَمّ,سَمَّى,سَمّان,وَسَّم
وسم	وَسَم-ِ,سَمّ,وَسْم,وَسَّم
وسقي	وَسْق,سَقْي,سَقَى-ِ
وسره	سُرّ,سُرَّة,سَرّ,سِرّ
وسددوا	سَدَّد
وسجدة	سَجَد,سَجْدَة,ساجِد
وسبيهم	سَبْي,سَبِيّ
وسالوه	أَلْوَى,لَوِي-َ,سال-ِ,لَوَى-ِ,لَوَّى
وسالناه	NOTFOUND
وساعة	ساعَة,وَعَى-ِ
وساج	ساجِي,ساج
وزيدا	زَيَّد
وريحه	رِيحَة,رَيِّح,رَيَّح,رِيح
وريحان	رَيْحان,رَيِّح
وري	وَرَى,وَرَى-ِ,وَرَّى,رَيّ
ورمية	رَمْيَة,رَمِيَّة,رَمْي,وَرَم
وركعوا	رَكَّع,رَكَع-َ
وركعتي	رَكْعَة
ورك	رَكّ,وَرْك,رَكّ-ِ
ورقدوا	رَقَّد,رَقَد
ورقا	وَرَّق,وَرَق,رَقّ,رِقّ,رَقّ-ِ
ورفعنا	رَفَع-َ,رَفْع,رَفَّع
ورفعة	رَفْعَة,رِفْعَة,رَفَع-َ,رَفْع,رَفَّع
ورغبة	رَغِب-َ,رَغْبَة,رَغَب
ورطبكم	رَطْب,رَطَّب,رُطَب
ورضخ	رَضَخ-َ,رَضَخ,رَضْخ
ورزقه	رِزْق,رَزَق
وردت	راد,رَدّ,وَرَد-ِ,وَرَّد,رَدَّى
ورداؤه	رِداء
ورجلاي	رَجُل,رِجْل
ورثتي	وارِث,رِثَّة,رَثّ
