غارت	غار
عيب	عَيْب,عَيَّب
عيادة	عِياد,عِيادَة
عورتي	عَوْرَة
عهود	عَهْد
عهن	عِهْن
عهدها	عَهْد,عَهِد-َ
عنقودا	عُنْقُود
عنبس	NOTFOUND
عنب	عِنَب
عميه	عَمِيَّة,عَمّ
عملوا	عَمِل-َ
عملكم	عَمِل-َ,عَمَل
عمده	عِماد,عَمَّد,عُمْدَة,عَمْد,عَمَد-ِ
عماله	عامِل,عَمالَة
عليهوسلم	NOTFOUND
علونا	عُلُوّ,عَلا,عَلَّى
علمكه	NOTFOUND
علمتني	عَلِم-َ,عَلَّم
علقت	عَلَّق,عَلِق
علبة	عَلَّب,عُلْبَة
علامة	عَلّامَة,عَلّام,عَلامَة
علات	عِلَّة
عقيقة	عَقِيق
عقصاء	NOTFOUND
عقر	عُقْر,عَقَّر,عَقُر,عاقِر
عقدته	عُقْدَة,عَقَّد,عَقَد-ِ
عفرة	عَفَر-ِ,عُفْرَة,عَفَر,عَفَّر
عطاش	عَطْشان
عضديه	عَضُد
عضدي	عَضْد,عَضُد
عضادتيه	NOTFOUND
عصية	عَصِيّ,عُصَيَّة
عشيا	عَشَّى,عَشِي-َ
عزيزا	عَزِيز
عزي	عَزَى-ِ,عَزَّى,عُزَّى,عِزّ,عَزِي-َ
عزلاء	أَعْزَل
عريض	عَرِيض
عروس	عَرُوس
عرضنا	عَرَض,عِرْض,عَرَض-ِ,عَرْض,عَرَّض
عربيا	عَرَبِيّ
عذق	عِذْق
عذت	عاذ,عَذا
عذابي	عَذاب
عذابك	عَذاب
عدنا	عَدّ,عاد
عجين	عَجِين
عجاجة	عَجّاج,عَجاجَة,عَجاج
عبدنا	عَبَد,عَبَّد,عَبْد
عبادا	عَبّاد,عابِد,عِباد
عامين	عام,عامّ
عالجت	عالَج
عال	عالِي,عال-ِ,عال
عاقلتها	عاقِل
عاصية	عاصِي
عاصيا	عاصِي,عاصَى
عاصف	عاصِف
عائر	NOTFOUND
ظهرنا	ظَهْر,ظَهَّر,ظُهْر,ظَهَر-َ
ظنوا	ظَنّ
ظنك	ظَنّ
ظلعها	ظَلَع-َ,ظَلْع
ظفرا	ظَفِر,ظَفِر-َ,ظَفَر,ظُفُر,ظَفَّر
ظفار	ظُفار
ظاهرون	NOTFOUND
ظاهران	ظاهِر
طيرا	طَيَّر,طَيْر
طيباتهم	طَيِّب
طولا	طُول,طَوْل,طَوَّل
طوقا	طَوْق,طَوَّق
طهورها	طَهُور
طليق	طَلِيق
طلقكن	طَلْق,طَلَق,طَلَّق
طعامك	طَعام
طروقتا	NOTFOUND
طروقا	NOTFOUND
طرفاء	طَرْفاء
طائل	طائِل
ضمة	ضَمّ,ضَمَّة
ضليع	ضَلِيع
ضلع	ضَلَّع,ضِلْع,ضَلَع-َ,ضَلْع
ضعفا	ضُعْف,ضَعَّف,ضِعْف,ضَعُف
ضرعا	ضَرْع,ضَرَع,ضِرْع
ضرع	ضَرْع,ضَرَع,ضِرْع
ضربوه	ضَرَب,ضَرَّب
ضربته	ضَرَب,ضَرْبَة,ضَرَّب
ضخما	ضَخُم,ضَخَّم,ضَخْم
صومكم	صائِم,صَوْم
صورتي	صُورَة
صوتها	صُوَّة,صَوَّت,صَوْت
صواغا	صائِغ
صواحبات	NOTFOUND
صهيبا	NOTFOUND
صلتا	صَلَى-ِ,صِلَة,صَلَّى,صَلُت
صفرا	أَصْفَر,صِفْر,صَفَّر,صَفَر,صَفَر-ِ
صفحتها	صَفَح-َ,صَفَّح,صَفْحَة
صعيدا	صَعِيد
صعب	صَعْب,صَعُب
صريح	صَرِيح
صدورنا	صَدْر,صُدُور
صددت	صَدّ
صحبه	صَحِب-َ,صُحْبَة
صحابته	صَحابَة
صحابة	صَحابَة
صبيحتها	صَبِيح,صَبِيحَة
صبرت	صَبَر-ِ,صَبَّر
صببت	صَبّ,صَبّ-َ
صبانا	صَبا,صِباً,صَبّ,صَبّ-َ,صَبّان,صَبَّى,صَباً
صانعه	صانِع,صانَع
صانع	صانِع,صانَع
صادقين	صادِق
شييم	NOTFOUND
شيعا	شِيعَة,شَيَّع
شيطانك	شَيْطان
شيخنا	شَيْخ
شوكه	شَوَّك,شَوْكَة,شَوِك,شَوْك
شنق	شَنْق,شَنَق
شنا	شان-ِ,شَنّ
شممت	شَمّ
شملة	شَمْل,شَمِل-َ,شَمَل,شَمْلَة
شقك	شِقّ,شَقّ
شفعاء	شَفِيع
شفاني	شَفَى
شط	شَطّ-ُِ,شَطّ
شركني	شَرِك-َ
شرطه	شُرْطَة,شَرْط,شَرْطَة,شَرَّط,شَرَط
شربا	شَرِب-َ,شُرْب,شَرَّب
شراكان	NOTFOUND
شرابكم	شَرّاب,شُرّاب,شَراب
شرائع	شَرِيعَة
شحومها	شَحْم
شجاعة	شُجاع,شَجاعَة
شتي	شَتَّى,شَتّ
شتمه	شَتَم-ُِ,شَتْم
شبك	شُبُق,شَبّ-ِ,شَبَك-ِ,شَبَّك,شَبّ
شامية	شامِيّ
شامة	شامَة
شاعرا	شاعِر
شاربه	شارَب,شارِب
شاتمه	شاتَم
شئون	شَأْن
سيوفنا	سَيْف,أَوْفَى,وَفَّى
سيل	وَلِي-ِ,سَيَّل,سَيْل
سيكلمه	كَلَّم
سيظهر	ظَهَّر,أَظْهَر,ظَهَر-َ
سويق	سَوِيق,سُوَيْق
سوقنا	سَوَّق,سَوْق,سُوق
سوقك	سَوَّق,سَوْق,سُوق
سوقا	سَوَّق,سَوْق,سُوق
سوف	سَوْفَ,سَوَّف
سوادا	سَواد
سهمانهم	NOTFOUND
سهام	سِهام,سَهْم
سنها	سِنّ,سَنّ
سنخة	سِنْخ,سَنَخ,وَخَى-ِ,سَنِخ
سنتهن	سَنا,سُنَّة,سِنْت,سَنَّى,سَنَة,سَنّ
سناه	سَنَّى,سِنّ,سَنَى,سَنّ
سمعوه	سَمِع-َ,سَمَّع
سمعهما	سَمِع-َ,سَمَّع,سَمْع
سمعني	سَمِع-َ,سَمَّع
سماهم	سَمّ,سَمَّى
سماني	سُمانَى,سَمّ,سَمَّى,سَمّان
سمان	سَمّان
سليني	سَلِي-َ
سلق	سَلَق,سِلْق,سَلْق
سلاحه	سِلاح
سكوتك	سُكُوت,سَكُوت
سكك	سِكَّة,سَكّ,أَسَكّ
سكتة	سَكْت,سَكّ,سِكَّة,ساك,سَكَّت,سَكْتَة
سقيم	سَقِيم
سقايته	سِقايَة
سراتهم	سارِي,سَراة,سُرَّة
سديدا	سَدِيد
سخطها	سُخْط
سخر	سَخِر-َ,سَخَّر
سحري	سِحْر,سَحْر,سَحَر,سِحْرِيّ
سحتا	سَحّ,سُحْت
