الحسني	لَحَس-َ,حُسْنِي,لَحِس-َ,أَحْسَن
الحروري	NOTFOUND
الحديثة	حَدِيث
الحدث	حَدَث
الحاشية	حاشِيَة
الحاشر	NOTFOUND
الجون	جُون
الجوار	جِوار
الجهنميين	جَهَنَّمِيّ
الجني	جَنْي,لَجِن-َ,وَلَج-ِ,جَنَى
الجندعي	NOTFOUND
الجميع	جَمِيع
الجموح	جَمُوح,جُمُوح
الجمة	لِجام,لَجَّم,جَمّ,لَجَم,أَلْجَم
الجماهر	NOTFOUND
الجلاح	NOTFOUND
الجفنة	جَفْنَة
الجفاء	جَفاء,جُفاء
الجسر	جِسْر
الجزيرة	جَزِيرَة
الجرجرائي	NOTFOUND
الجرة	جُرَّة,جَرَّة
الجبروت	جَبَرُوت
الجبابرة	جَبّار
الثنيا	NOTFOUND
الثمالي	NOTFOUND
التيس	تَيْس
التيامن	NOTFOUND
التور	NOTFOUND
التوحيد	تَوْحِيد
التماسه	ٱِلْتِماس
التفل	تَفِل,تُفْل
التعبد	تَعَبُّد
التصاوير	تَصْوِيرَة
التحية	تَحِيَّة,ٱِلْتَحَى
التحصيب	NOTFOUND
التحريش	تَحْرِيش
التام	ٱِلْتام,تامّ
التابوت	تابُوت
البينات	بَيِّنَة
البلل	بِلَّة
البلح	بَلَح
البطاقة	بِطاقَة
البزاق	بُزاق
البرقي	بَرْقِيّ
البراق	بَرّاق,بُراق
البخت	بَخْت
البحرة	بَحْرَة
الباقية	باقِي
الباغية	باغِي
الباطنان	باطِن
الباسط	باسِط
البائن	بائِن
الايمنون	NOTFOUND
الاوساق	وَسْق
الاوزاغ	NOTFOUND
الاهلال	NOTFOUND
الانوف	أَنُوف,أَنْف
الانماطي	NOTFOUND
الانثي	أُنْثَى
الامي	أُمِّيّ,أَلَم
الامهات	أُمّ
الامل	آمِل,أَمَل
الامطار	مَطَر
الاماني	أُمْنِيَّة,أَلام
الالف	آلَف,آلِف,أَلَفّ,أَلِف,إِلْف,أَلْف
الاكحل	أَكْحَل
الاكام	أَكَمَة
الاقعاء	NOTFOUND
الاقط	أَقِط
الاقران	قِرْن
الافطس	أَفْطَس
الافاق	أَفّاق,أُفُق
الاغتسال	ٱِغْتِسال
الاعراف	عُرْف
الاشيب	أَشْيَب
الاشياخ	شَيْخ
الاسطوانتين	أُسْطُوانَة
الاسطوانة	أُسْطُوانَة
الازدية	NOTFOUND
الاريسيين	NOTFOUND
الارنب	أَرْنَب
الارفاه	NOTFOUND
الارزة	أَرْز
الاذنان	أُذُن,آذِن,إِذْن
الاذرمي	NOTFOUND
الاخسرون	NOTFOUND
الاخبار	إِخْبار,خَبَر,أَخْبار
الاجناد	جُنْدِيّ
الاثمد	إِثْمِد
الاترجة	NOTFOUND
الابلي	إِبْلِيّ
الاباريق	إِبْرِيق
اكيدر	NOTFOUND
اكمال	إِكْمال
اكلتين	آكِل,أَكْلَة
اكرهه	أَكْرَه,كَرِه-َ,كَرَّه
اكثرهما	أَكْثَر,كَثَّر
اكثرها	أَكْثَر,كَثَّر
اكثبوكم	NOTFOUND
اكتسبت	ٱِكْتَسَب
اكتبه	أَكْتَب,كَتَب
اكتافكم	كِتْف,كَتِف
