وانثانا	أَنَّث,أُنْثَى
وانتما	أَنْتُما
وانبذوه	أَنْبَذ
وامين	أَمِين,آمِين
وامنه	مَنَى-ِ,مَنّ,مَنا,أَمَنّ,آمَن,أَمْن,آمِنَة,آمِن,أَمَّن,مَنَّى
وامده	أَمْدَى,مَدّ,ماد-ِ,أَمْبِير,أَمَدّ
وامتي	أُمَّة,أَمَة
وامتك	أُمَّة,أَمات,أَمَة,مات
وامانتك	أَمانَة
وامامي	أَمامَ,إِمام,إِمامِيّ,أَمام,أَمامِيّ
واليها	آلِيّ,إِلَى,والِي,وَلِي-ِ
واليسر	يُسْر
واليتيمة	يَتِيم
والولاء	وِلاء,وَلاء
والوقت	وَقْت
والهكم	أَلَّه,لَهِي-َ,والِه,لَها,أَلْهَى,إِلٰه,لَهَّى
والنفيلي	NOTFOUND
والنعيم	نَعِيم
والنعي	نَعْي,نَعِيّ
والنصف	نَصَف,نِصْف
والناكح	ناكِح
والمنحة	مِنْحَة
والمنافق	مُنافِق
والمقبرة	مَقْبَر
والمفعول	مَفْعُول
والمعازف	مِعْزَف
والمطلقات	NOTFOUND
والمطلب	مَطْلَب
والمسالة	مَسْأَلَة
والمسافر	مُسافِر
والمزن	مُزْن
والمرسلين	مُرْسِل,مُرْسَل
والمرتشي	NOTFOUND
والمحمولة	مَحْمُول
والمحاربي	NOTFOUND
والمثني	مَثْنِيّ,مُثَنَّى
والمترجلات	مُتَرَجِّل
والمار	مار,مارّ
واللقحة	NOTFOUND
والكلالة	كَلالَة
والكفر	كَفَر,كُفْر,كَفْر
والكرب	كَرْب,كُرْبَة
والقوا	أَلَق-ِ,أَلْقَى
والقسط	قِسْط,قَسَط
والغريق	غَرِيق
والغرائر	غِرارَة
والعنب	عِنَب
والعسيف	NOTFOUND
والعراق	عِراق
والعجوة	عَجْوَة
والطور	طَوْر
والطفل	طَفَل,طِفْل
والضيافة	ضِيافَة
والضفير	NOTFOUND
والضرب	ضَرْب
والضارب	ضارِب
والصديقين	صَدِيق
والصدق	صِدْق
والصبية	صَبِيَّة,صَبِيّ
والشريد	شَرِيد
والشرط	شَرْط,شَرَط
والشجرة	شَجِر,شَجَرَة
والسياق	سِياق
والسورة	سُورَة,سَوْرَة
والسنور	سِنَّوْر
والسمع	سَمْع
والسماء	سَماء
والسبابة	سَبّابَة,سَبّاب
والسام	سامّ,سام
والزعيم	زَعِيم
والزعفران	زَعْفَران
والروحة	رَوْحَة
والروح	رَوْح,رُوح
والرمح	رُمْح
والركن	رُكْن
والرجم	رُجْمَة,رَجْم
والرجلين	رَجُل,رِجْل
والراحلة	راحِل,راحِلَة
والرابعة	رابِعَة,رابِع
والذاريات	NOTFOUND
والذئب	ذِئْب
والدينار	دِينار
