فصيرك	صَيَّر
فصعلوك	صُعْلُوك
فصبحنا	صُبْح,صَبَّح
فشهدوا	شَهِد-َ
فشهادتي	شَهادَة
فشفاه	شَفَى,شَفاً,شَفَة
فشغلوني	شَغَّل,شَغَل-َ
فشربته	شَرِب-َ,شَرَّب,شَرْبَة
فشجه	شَجَّة,شَجّ
فشانك	شان-ِ
فسمنت	سَمَّن,سَمِن-َ,سَمْنَت
فسمعتها	سَمِع-َ,سَمَّع,سُمْعَة
فسلهم	سَلّ,سِلّ,فَسْل
فسلطه	سُلْطَة,سَلْط,سَلَطَة,سَلَّط
فسكر	سُكْر,سَكِر-َ,سُكَّر,سَكَّر
فسقوا	فَسَق,سَقَى-ِ
فسدل	سَدَل,سِدْل,سَدَّل
فسبقتهم	سُبْقَة,سَبْقَة,سَبَق-ُِ,سَبَّق
فسبقتنا	سُبْقَة,سَبْقَة,سَبَق-ُِ,سَبَّق
فساومنا	ساوَم
فساروا	سار-ِ,سارّ
فسادا	ساد,سادّ,فَساد
فسا	فَسا
فزنا	زِنَى,زَنّ,زان-ِ,فاز,فَزّ-ِ
فزملوه	NOTFOUND
فزعموا	زَعَم
فزعت	فَزِع-َ,فَزَّع
فزجرهم	زَجْر,زَجَر
فزجر	زَجْر,زَجَر
فزت	فاز,فَزّ-ِ
فزار	زار
فريضته	فَرِيضَة
فرميت	رَمَى-ِ
فرموهم	رَمّ,رَمَى-ِ,فَرَم,فَرَّم
فرماني	فِرْمان,رَمّ,رُمّان,فَرَم,رَمَى-ِ,فَرَّم
فركزها	رِكْز,رَكَز,رَكَّز
فرفعنا	رَفَع-َ,رَفْع,رَفَّع
فرغتم	فَرَّغ,فَرَغ,فَرِغ-َ,راغ
فرطهم	فَرْط,فَرَط,فَرَّط
فرش	فَرَش,رَشّ,فَرْش,فَرَّش,فَرَش-ِ,فُرْشَة
فرسن	رَسَن
فرسخ	فَرْسَخ,رَسَخ,رَسَّخ
فرسانا	رَسَّى,فَرَس,فارِس
فرحلوه	رَحَّل,رَحَل-َ
فرحت	فَرِح-َ,راح,فَرَّح
