تخطئه	أَخْطَأ,خَطَّأ
تخزن	وَخَز-ِ,خَزَّن,خَزَن
تخرجوهن	خَرَّج,أَخْرَج
تخرجون	خَرَج,خَرَّج,أَخْرَج
تخرجن	خَرَج,تَخَرَّج,خَرَّج,أَخْرَج
تخبرني	تَخَبَّر,خَبَر,خَبَّر,أَخْبَر,خَبُر
تحيضين	حاض-ِ
تحيتك	تَحِيَّة
تحملت	تَحَمَّل
تحمار	NOTFOUND
تحلفون	حَلَف-ِ,حَلَّف
تحلب	تَحَلَّب,حَلَب-ُِ
تحشر	حَشَر-ُِ,تَحَشَّر
تحسون	أَحَسّ,حَسا,حَسّ-ِ
تحسنوا	تَحَسَّن,حَسَّن,حَسُن,أَحْسَن
تحس	أَحَسّ,حَسا,حَسّ-ِ
تحريمها	تَحْرِيم
تحرمي	حَرُم,حَرِم-َ,حَرَّم,حَرَم-ُِ
تحرموا	حَرُم,حَرِم-َ,حَرَّم,حَرَم-ُِ,تَحَرَّم
تحرمنا	حَرَّم,تَحَرَّم,حَرَم-ُِ
تحدثوا	حَدَث,تَحَدَّث,أَحْدَث
تحدثني	حَدَث,تَحَدَّث,أَحْدَث
تحثي	حَثا,حَثّ
تحتسبون	ٱِحْتَسَب
تحبس	حَبَس-ِ
تحاببتم	تَحابّ
تجيبني	أَجاب
تجهزت	تَجَهَّز
تجاوزت	تَجاوَز
تجارته	تِجارَة
تثاوب	تَثاوَب
تتمارون	تَمارَى,تَمارّ
تتكافا	NOTFOUND
تتقي	ٱِتَّقَى,تَقَى-ِ
تتركهم	تَرَك,تَرَّك
تتحروا	تَحَرَّى
تتبعي	تَبِع-َ,تَتَبُّع,أَتْبَع,ٱِتَّبَع
تتبعوني	تَتَبَّع,تَبِع-َ,أَتْبَع,ٱِتَّبَع
تتبعون	تَبِع-َ,أَتْبَع,ٱِتَّبَع
تبن	تِبْن,أَبان,تاب,تَبَنِّي,بَنَى-ِ,بان-ِ
تبلي	بَلّ,بَلّ-ِ,بَلِي-َ,أَبَلّ,وَبَل-ِ,بَلا,أَبْلَى
تبلغني	بَلَّغ,أَبْلَغ,بَلَغ
تبكوا	بَكِي-َ,بَكَى-ِ,بَكَّى,أَبْكَى
تبق	بَقّ,أَبْقَى,بَقِي-َ,وَبَق
تبغون	بَغَى-ِ
تبعهم	تَبَع,تَبِع-َ,باع-ِ,أَباع
تبعنا	تَبَع,تَبِع-َ,باع-ِ,أَباع
تبعثون	بَعَث-َ
تبرها	أَبار,أَبَرّ,تَبَر-ِ,بَرَى-ِ,تِبْر
تبديل	تَبْدِيل
تبدءوا	NOTFOUND
تبتاع	ٱِبْتاع
تبان	أَبان,تَبّان
تباشر	باشَر
تاول	NOTFOUND
تارك	تارَك
تاديبها	تَأْدِيب
تاخيرها	NOTFOUND
تاخرا	تَأَخُّر
تاجر	أَجَر,تاجِر,تاجَر
تاج	تاج
تاتزر	ٱِئْتَزَر
تابها	تاب,أَبَه-َِ,أَبَى-َ
تابعوا	تابَع
تؤذنا	آذَى,آذَن,أَذَّن
تؤجروا	آجَر,أَجَّر
تؤثر	آثَر,أَثَّر
تؤتونهن	آتَى
بيهس	NOTFOUND
بيعه	بَيْع,بَيْعَة,بِيعَة
بيعكم	بَيْع
بيسان	NOTFOUND
بوضع	وَضْع
بورس	وَرْس
بوجوههم	وَجْه
بوتر	وَتَر,بُوتِر,وِتْر
بوادره	بادِرَة
بهلول	بُهْلُول,بَهْلُول
بنعل	نَعْل
بنصولها	نَصْل
