ارك	رَأَى-َ,آر,رَكّ,وَرَى-ِ,رَكّ-ِ
ارقبها	رَقَب
ارقبه	رَقَب
ارقائكم	رَقِيق
ارفق	أَرْفَق,رَفِق-َ,رَفَق
ارغب	رَغِب-َ
ارضها	راض,رَضّ,أَرَّض,أَرْضَى,رَضَّى,أَرْض,رَضِي-َ
ارسلناك	أَرْسَل
ارسالا	إِرْسال
ارزقني	رَزَق
ارزق	رَزَق
ارجح	رَجَّح,أَرْجَح,رَجَح-َُِ
اربعاء	أَرْبِعاء
اربابا	رَبّ
اراهم	رَأَى-َ
ارانا	رَأَى-َ
اراجعك	راجَع
اذيت	أَذِي-َ,آذَى
اذوا	أَذِي-َ,آذَى
اذهبت	أَذْهَب
اذنوا	أَذِن-َ,آذَن,أَذَّن
اذنتها	أَذِن-َ,آذَن,أَذَّن,آذِن
اذروني	ذَرا,أَذْرَى
اذخرا	NOTFOUND
اذاك	أَذَى,آذَى
ادناك	ٱِدَّنَى,آد,أَدان,أَدْنَى
ادلج	أَدْلَج
ادعج	أَدْعَج
ادعاه	ٱِدَّعَى,أَدْعَى
ادركوا	أَدْرَك
ادركنا	أَدْرَك,دَرَّك
ادرج	دَرَج,أَدْرَج,دَرَّج
ادراعه	دِرْع
ادراعا	دِرْع
ادخلوها	أَدْخَل,دَخَل
ادخلتهما	أَدْخَل
ادخلته	أَدْخَل
ادبارهم	إِدْبار,دُبْر
اداه	أَداة,آد,أَدَّى,أَدّ
اخوانهم	أَخ
اخوالك	خال
اخلص	خَلَّص,خَلَص,أَخْلَص
اخرجني	خَرَّج,أَخْرَج
اخذوها	أَخَذ,آخَذ,آخِذ,أَخَّذ
اخذتني	أَخَذ,آخَذ,أَخَّذ
اخترط	NOTFOUND
اخترت	ٱِخْتار
اختبا	ٱِخْتَبّ
اختبئ	ٱِخْتَبَأ
اخبروا	أَخْبَر
اخبرناه	أَخْبَر
اخاها	آخَى,أَخ
احيي	حَيّا,حَيّ-َ,أَحْيَى
احيانه	حِين
احمله	أَحْمَل,حَمَل-ِ,حَمَّل
احلل	أَحَلّ,حَلَّل,حَلّ-ِ,حَلّ
احصوا	أَحَصّ,أَحْصَى
احرقته	أَحْرَق
احرص	حَرِص-َ,حَرَص-ِ
احرزت	أَحْرَز
احجني	حَجّ,أَحْجَن,حَجا,حَجَن-ِ
احجر	حَجَّر,حَجَر
احتمله	ٱِحْتَمَل
احتلاما	NOTFOUND
احتظرت	NOTFOUND
احتجزوا	ٱِحْتَجَز
احتجت	ٱِحْتَجّ,ٱِحْتاج
احتجب	ٱِحْتَجَب
احتال	ٱِحْتال
احبت	أَحَبّ
اجهل	جَهَّل,جَهِل-َ
اجنحة	جَنَّح,جَنَح-َ,أَجْنَح,جَناح
اجلسي	NOTFOUND
اجلسها	أَجْلَس
اجلده	جَلَد-ِ,جَلَّد,أَجْلَد,جَلِد-َ
اجلاهم	آجِل,أَجَّل,أَجَلّ,أَجْلَى,أَجَل
اجسامنا	جِسْم
اجزات	NOTFOUND
اجتمعتما	ٱِجْتَمَع
اجترت	ٱِجْتَرّ
اجبه	جاب,جَبَه-َ,جَبّ,جَبَى-ِ,أَجاب,جَبَّى
اجاهدهم	جاهَد
اجاهد	جاهَد
اجابه	جابَه,إِجابَة,أَجاب
اجابة	جابَه,إِجابَة,أَجاب
اثيع	NOTFOUND
اثوابه	ثَوْب
اثبته	أَثاب,أَثْبَت,ثَبَّت
اثب	أَثاب,وَثَب-ِ,ثاب
اثاما	إِثْم
اثام	إِثْم
اتيها	آتِي
اتيتموهن	آتَى,أَتَى-ِ
اتهبنني	NOTFOUND
اتممت	أَتَمّ
اتلومني	NOTFOUND
اتقدم	تَقَدَّم
اتقاكم	أَتْقَى,ٱِتَّقَى
اتعرق	تَعَرَّق
اتضحك	NOTFOUND
اتشتهي	NOTFOUND
اتسعت	ٱِتَّسَع
اتسخر	تَسَخَّر
اتسجد	NOTFOUND
اتسبين	NOTFOUND
اتركوه	تَرَك
اتردين	NOTFOUND
اترجم	تَرْجَم
اتخشي	تَخَشَّى
اتحبون	NOTFOUND
اتجعلون	NOTFOUND
اتتهم	آتَى,أَتَى-ِ
اتتني	آتَى,أَتَى-ِ
اتبلغ	تَبَلَّغ
اتبكي	NOTFOUND
اتاذنين	NOTFOUND
ابيكم	آبِي,أَب,أَبِيّ
ابيعك	باع-ِ,أَباع
ابوابهم	باب
ابهار	NOTFOUND
ابنتيها	ٱِبْن
ابناهما	أَبان,آب,ٱِبْن,أَبَّن
ابلاني	أَبَلّ,أَبْلَى
ابعثك	بَعَث-َ
ابرص	أَبْرَص,بَرِص-َ
ابدي	آبِد,أَبَد,أَبَدِيّ,أَبْدَى
ابدع	بَدَّع,بَدَع,أَبْدَع
ابد	أَباد,أَبَد-ِ,بَدا,أَبْدَى,باد-ِ,أَبَّد,آبِد,أَبَد,بَدّ
ابتلاك	ٱِبْتَلَى
ابتغاؤه	ٱِبْتِغاء
ابتعناه	ٱِبْتاع
ابتعتها	ٱِبْتاع
ابتدع	ٱِبْتَدَع
ابتدرها	ٱِبْتَدَر
ابتدرن	ٱِبْتَدَر
ابة	آب,بَهِي-َ,آبِه,أَبَه,أَبّ,أَبَه-َِ
اباكم	آب,أَب,أَبّ,أَبَى-َ
ابائي	إِباء,أَب
ائته	NOTFOUND
ائتمنك	ٱِئْتَمَن
ائتم	ٱِئْتَمّ
ائتلف	ٱِئْتَلَف
اؤمهم	NOTFOUND
ا	إِ,آ,أَ
يياس	NOTFOUND
يومالقيامة	NOTFOUND
يوقف	وَقَّف,أَوْقَف
يوطا	يُوتا
يورثه	أَوْرَث,وَرَّث
يوجز	أَوْجَز
يواقعه	NOTFOUND
يواريه	وارَى
يهوديين	يَهُودِيّ
يهمهم	هَمْهَم,وَهَم-ِ,هَمّ,أَهَمّ,هَما
يهلكها	هَلَّك,هَلَك,أَهْلَك
يهزهن	هَزّ
ينوي	نَوَى-ِ
ينم	أَنْمَى,نَمّ,نَمَى-ِ,نَمَّى,أَنام,نَما,نام-َ
ينكرون	نَكَّر,نَكِر-َ,أَنْكَر
ينكحوها	أَنْكَح,نَكَح-َُِ
ينقلبون	ٱِنْقَلَب
ينقلان	نَقَّل,نَقَل
ينقع	نَقَع-َ,أَنْقَع
ينقضها	ٱِنْقَضَى,نَقَض,أَنْقَض,ٱِنْقَضّ
ينقضن	نَقَض,أَنْقَض,ٱِنْقاض
ينقر	نَقَّر,نَقَر,نَقِر-َ
ينفيان	نَفَى,نَفا
ينفعهم	نَفَّع,نَفَع-َ
ينفعكم	نَفَّع,نَفَع-َ
ينفرن	نَفَّر,نَفَر
