وذلكم	ذُلّ,ذٰلِكَ
وذريتها	ذُرِّيّ,ذَرَى-ِ,ذَرِّيّ,ذُرِّيَّة,ذَرَّى
وذرية	ذُرِّيّ,ذَرْي,ذَرِّيّ,ذُرِّيَّة
وذروة	ذَرا,ذَرْو,ذُرْوَة,ذَرّ,وَذِر-َ,ذَرَّى
وذاقنتي	NOTFOUND
ودينهم	دِين,دَيِّن,دَيْن,وَدَى-ِ
ودنيا	دَنِيّ,دَنِي-َ,دَنَّى,دُنْيا
ودموعه	دَمْع,دَمُوع
ودماء	دَم
ودل	دَلّ
ودفن	دَفَن-ِ,دَفْن,داف
ودفعه	دَفْع,دُفْعَة,دَفَع-َ,دَفْعَة
ودعهم	دَعّ-َ,وَدَع-َ,وَدْع,وَدَّع
ودعت	دَعّ-َ,دَعا,وَدَّع
ودعاني	دَعّ-َ,دَعا,وَدَّع
ودعائه	دُعاء
ودرك	وَدَّر,دَرِك,دَرّ,دَرَّك,دَرَك,دُرّ
ودرجة	دَرَجَة,دَرَج,دُرْج,دَرْج,دَرَّج
وددنا	وَدّ-َ
ودخولهما	دُخُول
ودخلنا	دَخْل,دَخَل
ودحيبة	NOTFOUND
وداع	وَداع,داعِي
وداره	دار,دارَة,دارّ
ودارا	دار,دارا,دارّ
وخيثمة	NOTFOUND
وخميس	خَمِيس
وخمسون	خَمْسُون
وخليلك	خَلِيل
وخلي	خَلّ,خَلَّى,خَلِيّ
وخلقي	خَلْق,خِلْقِيّ,خُلْقِيّ,خِلْقَة,خَلَق,خُلْق
وخلفه	خِلْفَة,خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَّف,خَلَف
وخلا	خَلّ,خَلا
وخففت	خَفّ-ِ,خَفَّف
وخفض	خَفَّض,خَفُض,خَفَض-ِ,خَفْض
وخطبة	خَطَب,خُطْبَة,خِطْبَة
وخشن	خَشُن,أَخْشَن,خَشَّن,خَشِن
وخده	خُدَّة,خَدّ
وخدمه	خَدَم,خَدَم-ُِ,خَدَّم,خِدْمَة
وختم	خَتَم-ِ,خَتْم
وخبازه	خَبّاز,خِبازَة
وخبات	خَبّ
وخباب	NOTFOUND
وخبا	خَبا,خَبّ,خَبّ-َ
وخالي	خالِي,خال
وخالف	خالَف
وخالته	خالّ,خالَة,خال-َ
وحيكم	حَيّ-َ,حَيّ,وَحْي
وحنكه	حَنَك,حَنَّك,حُنْك,حَنَك-ُِ,حُنْكَة
وحملها	حَمْل,حَمَل,حِمْل,حَمَل-ِ,حَمَّل
وحمله	حَمْل,حَمْلَة,حِمْل,حَمَل,حَمَل-ِ,حَمَّل
وحملت	حَمَل-ِ,حَمَّل
وحلوقهن	حُلُوق
وحلف	حِلْف,حَلَّف,حَلَف-ِ,حَلْف
وحكمة	حُكْم,حَكَم,حَكَّم,حِكْمَة
وحكم	حُكْم,حَكَم,حَكَّم
وحقة	حُقَّة,حَقّ
وحفتهم	حَفّ,وَحْف
وحصبوا	حَصَب-ُِ,حَصِب-َ,حَصَّب
وحسرة	حَسْرَة,حَسَر,حَسِر,حَسَّر
