لياتي	أَتَى-ِ
ليؤمن	آمَن,أَمَّن
لولي	وَلَّى,وَلِي-ِ,وَلِيّ
لولده	وَلَد-ِ,وَلْدَة,وَلَد,وَلَّد
لوقتهن	وَقَى-ِ,وَقْت,وُقَّة,وَقَّت
لوحا	لَوْح,لَوَّح
لوبر	وَبَر,وَبِر-َ,وَبِر
لهوات	لَهاة,هُوَّة
لهف	هِفّ,لَهْفان,هَفّ-ِ,لَهِف-َ,لَهْف
لهدمت	هَدَّم,هَدَم-ِ
لهدة	لَهْد,هَدَّة,هَدّ,لَهَد-َ
لنمكث	مَكَث
لنفسها	نَفْس,نَفَّس,فَسا,نَفِس-َ,نَفَس
لنعل	نَعَّل,نَعَل-َ,أَعال,عَلا,نَعْل,أَعْلَى,عال-ِ,عال,نَعِل-َ,عَلَّى
لنعذبن	NOTFOUND
لنرجو	رَجا
لنراه	رَأَى-َ
لنذر	ذَرَى-ِ,نَذْر,نَذَر,ذَرا,أَذْرَى,نَذِير,ذَرّ,نَذِر-َ,ذَرَّى,وَذِر-َ
لندع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
لنحتالن	NOTFOUND
لنجد	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,جَدّ-ِ
لنتلقاها	تَلَقَّى
لناله	نال,أَلا,نال-َ
لميت	مَيِّت
لموثق	مُوَثِّق,مَوْثِق,مُوَثَّق
لمكانها	مَكان
لمعمر	مُعَمَّر
لمعرف	NOTFOUND
لمعة	لُمْعَة,لَمَع-َ,لَمْع,لَمَّع
لمسلمهم	مُسْلِم,مُسَلَّم
لمستوي	مُسْتَوَى,مُسْتَوِي
لمحمية	مَحْمِيّ,مِحَمّ
لمؤذنه	مُؤَذِّن
لليلة	لَيْلَة,لَيْل
للوضوء	وُضُوء,وَضُوء
للمهاجر	مَهْجَر,مُهاجِر,مَهاجِر
للمملوك	مَمْلُوك
للملحمة	مَلْحَمَة
للمقيم	مُقِيم
للمغنم	مَغْنَم
للمشتري	مُشْتَرَى,مُشْتَرِي
للمدينة	مَدِينَة,مُدِين,مَدِين
للمحسنات	مُحَسِّن,مُحْسِن
للمجاهدين	مُجاهِد
للمؤذن	مُؤَذِّن
للفجر	فَجْر
للفارس	فارِس
للعصبة	عَصَبَة
للعراقيب	عُرْقُوب
للعتق	عِتْق
للعامل	عامِل
للصبح	صُبْح
للشيخ	شَيْخ
للشياطين	شَيْطان
للشهيد	شَهِيد
للسماء	سَماء
للسعادة	سَعادَة
للسائل	سائِل
للرهط	رَهْط
للرسول	رَسُول
للخطبة	خُطْبَة,خِطْبَة
للحبلي	حُبْلَى
للحاكم	لَحا,لَحَى,لِحْيَة,حاكِم
للجنابة	جَنابَة
للجارية	جارِي,جارِيَة
للجار	جار
للتوبة	تَوْبَة
للبيعة	بَيْعَة,بِيعَة
للاموال	مال
للاعمش	أَعْمَش
للاسود	أَسْوَد,أَسَد
للارامل	أَرْمَلَة,أَرْمَل
للاجر	أُجْرَة,أَجْر
للابوين	أَب
لكلماته	كَلِمَة
لكذبت	كَذَب-ِ,كَذَّب
لكانما	NOTFOUND
لكافية	كاف,كافِي
لكافرهم	كافِر
لقيا	لَقِي-َ,لُقْيا
لقوي	قَوِيّ,قَوَّى,قَوِي-َ,قُوَّة,قَوَى
لقومك	قَوْم,قَوَّم
لقن	لَقِن-َ,لَقَّن,لاق-ِ,قِنّ,قُنّ
