فاشاح	أَشاح,شاحّ
فاسنده	أَسْنَد,سَنَّد,سَنَد
فاسقة	وَسَق-ِ,فاسِق,ساق,أَسْقَى,سَقَى-ِ
فاسرعوا	أَسْرَع
فاسجح	أَسْجَح
فاستنفقها	ٱِسْتَنْفَق
فاستنظره	ٱِسْتَنْظَر
فاستنجي	ٱِسْتَنْجَى
فاستمتعت	ٱِسْتَمْتَع
فاستقي	ٱِسْتَقَى
فاستقد	ٱِسْتَقاد
فاستقبلهم	ٱِسْتَقْبَل
فاستقبلتهما	ٱِسْتَقْبَل
فاستفتي	ٱِسْتَفْتَى
فاستعجم	ٱِسْتَعْجَم
فاستره	سَتَر,سَتَّر
فاستدرت	ٱِسْتَدَرّ,ٱِسْتَدار
فاستجاب	ٱِسْتَجاب
فاستبق	ٱِسْتَبَق,ٱِسْتَبْقَى
فاستبطن	ٱِسْتَبْطَن
فاستاك	آسَى,أَسا,ٱِسْت,أَسَّى
فاستاذنا	أُسْتاذ
فاستاجر	NOTFOUND
فاسالوا	أَسال
فاسالك	أَسال
فاز	فاز,أَزّ
فارهنوني	أَرْهَن
فارموا	أَرَّم,أَرَم-ِ
فارقد	رَقَّد,رَقَد,أَرْقَد
فارقت	أَرِق-َ,أَرَّق,فارَق,أَرَقّ,أَراق
فارضعيه	NOTFOUND
فارخص	رَخَّص,رَخُص,أَرْخَص
فارحضوها	NOTFOUND
فارتاع	ٱِرْتاع
فاراها	فار,رَأَى-َ,فارّ
فارانا	فار,رَأَى-َ,فارّ
فارادت	أَراد
فاذنته	أَذِن-َ,آذَن,أَذَّن,آذِن
فاذروني	ذَرا,أَذْرَى
فاذة	NOTFOUND
فاذبح	ذَبَّح,ذَبَح-َ
فادفعيه	NOTFOUND
فادعو	دَعا
فادعها	ٱِدَّعَى,دَعّ-َ,وَدَع-َ,دَعا
فادركناه	أَدْرَك
فادركتها	أَدْرَك
فادخلنا	أَدْخَل,دَخَل
فادخلتني	أَدْخَل
فادبروا	أَدْبَر
فاداه	أَداة,آد,فادَى,أَدّ,أَدَّى
فاخفي	أَخْفَى,خَفِي-َ,أَخَفّ,خَفَى-ِ
فاخف	خَفّ-ِ,أَخْفَى,خاف-َ,أَخاف,خَفِي-َ,أَخَفّ,خَفَى-ِ
فاخرها	فاخِر,آخِر,فاخَر,خار,خار-ِ,آخَر
فاخذوهم	أَخَذ,آخَذ,آخِذ,أَخَّذ
فاخذوه	أَخَذ,آخَذ,آخِذ,أَخَّذ
فاختمرن	ٱِخْتَمَر
فاختصمنا	ٱِخْتَصَم
فاحيه	حَيّا,حَيّ-َ,أَحْيَى,وَحَى-ِ
فاحميت	أَحْمَى
فاحللن	أَحَلّ
فاحللت	أَحَلّ
فاحسنه	حَسَّن,أَحْسَن
فاحرقته	أَحْرَق
فاحدث	حَدَث,أَحْدَث
فاحتملها	ٱِحْتَمَل
فاحتلم	ٱِحْتَلَم
فاحتسب	ٱِحْتَسَب
فاحتبسه	ٱِحْتَبَس
فاحبهما	أَحَبّ,حَبّ-ِ,حَبا
فاجيب	أَجاب
فاجمعه	جَمَع-َ,جَمَّع,أَجْمَع
فاجمعت	أَجْمَع
فاجلي	أَجْل,جَلا,أَجْلَى,جَلَى-ِ,آجِل,جَلَّى,أَجَلّ,أَجَل
فاجلسني	أَجْلَس
فاجلسنا	أَجْلَس
فاجلساه	أَجْلَس
فاجلدها	جَلَد-ِ,جَلِد-َ,جَلَّد,أَجْلَد
فاجتمعن	ٱِجْتَمَع
فاجتمعت	ٱِجْتَمَع
فاجازني	جازَى,أَجاز
فاجابه	جابَه,إِجابَة,أَجاب
فاثري	أَثَر,أَثِر,ثَرِي-َ,أَثَرِيّ,إِثْرَ,أَثْر,أَثْرَى
فاثر	أَثَر,أَثَر-ُِ,أَثِر,ثار,وَثَر-ِ,آثَر,ثَرِي-َ,أَثار,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثْرَى
فاتيه	تاه,أَتاه,تَيَّه,آتِي
فاتوني	فات,أَتُّون,آتَى,أَتَى-ِ
فاتونا	فات,أَتُّون,آتَى,آتِي,أَتَى-ِ
فاتوضا	NOTFOUND
فاتهموا	ٱِتَّهَم
فاتكا	فاتِك
فاتق	تاق,ٱِتَّقَى,تَقَى-ِ
فاتصدق	تَصَدَّق
فاتبعوني	أَتْبَع,ٱِتَّبَع
فاتباع	ٱِتِّباع,تَبَع
فابينا	أَبْيَن,أَب,أَبِيّ,بَيَّن,آبِي,أَبَى-َ
فابين	أَبْيَن,أَبان,بَيَّن,آبِي,أَبَى-َ,بان-ِ
فابغضه	أَبْغَض,بَغِض-َ,بَغَّض
فابطله	بَطَّل,أَبْطَل
فابطات	NOTFOUND
فابصرته	أَبْصَر
فابتلينا	ٱِبْتَلَى
فابتدره	ٱِبْتَدَر
فابتاع	ٱِبْتاع
فائتنا	فائِت
فائت	فائِت
فئة	فِئَة
غيما	غَيَّم,غَيْم
غيثا	غَيْث
غيث	غَيْث
غنموا	غَنِم-َ,غَنَّم
غنائها	غَناء,غِناء,أَغَنّ
غنائمكم	غَنِيمَة
غمسة	غَمَس-ِ,غَمْس,غَمَّس
غمزتهما	غَمَز-ِ,غَمْزَة
غمز	غَمَز-ِ,غَمْز
غمامتان	غَمام
غلبنا	غَلَب-ِ
غفيلة	NOTFOUND
غفورا	غَفُور
غفرة	غُفْرَة,غَفْر,غَفَر,غَفَّر
غشيه	غَشْي,غَشِي-َ
غشيانهن	غَشَيان
غسيل	غَسِيل
غزوهم	غَزا,غَزْو
غزوتين	غَزْو
غريما	غَرِيم
غرير	غَرِير
غرق	غَرَق,غَرَّق,غَرِق-َ
غرته	غِرَّة,غَرا,غَرّ,غُرَّة,غَرَّى,غار
غربيا	غَرْبِيّ
غرائب	غَرِيبَة
غدوا	غَدِي-َ,غُدُوّ,غَدا,غَدَّى
غدت	غَدا,غَدَّى
غدائر	غَدِيرَة
غباره	غُبار
غالبة	غالَب,غالِب
غافلة	غافَل,غافِل
غازين	غازِي,غاز
غارون	NOTFOUND
غارهم	غار
غابوا	غاب-ِ
غائلة	غائِلَة
عينيها	عَيْنِيّ,عَيْن
عيشهم	عَيْش,عَيَّش
عيدين	عِيد
عياياء	NOTFOUND
عيالهم	عِيال
عويم	NOTFOUND
عولوا	عَوَّل
عوفي	عَوْفِيّ
عوفا	NOTFOUND
عوراتهم	عَوْرَة
عورات	عَوْرَة
عوده	عُود,عَوَّد,عَوْدَة
عوامر	NOTFOUND
عواتق	عاتِق
عهودهم	عَهْد
عهدة	عُهْدَة,عَهْد,عَهِد-َ
عنقك	عَنَّق,عُنْق
عنترة	عَنْتَر,عَنْتَرَة
عمومة	عُمُومَة,عُمُوم,عَمّ
عملوه	عَمِل-َ
عملهم	عَمِل-َ,عَمَل
عملتموها	عَمِل-َ
عمرتها	عَمَر,عُمْرَة,عَمُر,عَمَّر
عليين	عَلِيّ
علمنيها	NOTFOUND
علانيتهم	عَلانِيَّة
عكوف	عُكُوف
عقيلة	عَقِيل,عَقِيلَة
عقيرته	عَقِيرَة
عقوبته	عُقُوبَة
عقلت	عَقَل-ِ,عَقَّل
عقربا	عَقْرَب
عقدها	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
عقده	عِقْد,عَقْد,عُقْدَة,عَقَّد,عَقَد-ِ
عقبيك	NOTFOUND
عقاله	عاقِل,عِقال
عقاره	عَقار,عَقّار,عَقارَة
عفي	عَفّ,عَفَّى,عَفِيّ
عظمي	أَعْظَم,عُظْم,عَظْم,عَظْمِيّ
عظاما	عَظِيم,عَظْم
عطاءه	عَطاء
عضده	عَضَد,عَضَّد,عَضُد,عَضْد
عضد	عَضَد,عَضَّد,عَضْد,عَضُد
عضاهها	عِضاه
عضادتي	NOTFOUND
عصمني	عَصَم-ِ
عصمتها	عُصْمَة,عِصْمَة,عَصَم-ِ
عصر	عَصَر-ِ,عَصَّر,عَصْر
عصبته	عَصَب-ِ,عَصَّب,عَصَبَة
عصافير	عُصْفُور
عشيرتي	عَشِيرَة,عَشِير
عشيرته	عَشِيرَة,عَشِير
عشيتهم	عَشَّى,عَشِيَّة
عشراء	عَشِير
عسيلة	NOTFOUND
عسكره	عَسْكَرَة,عَسْكَر
عسرها	عَسِر,عَسَّر,عُسْر,عَسَر
عزيمة	عَزِيمَة
عزير	NOTFOUND
عزمات	عَزْمَة
عزم	عَزْم,عَزَم-ِ,عَزَّم
عزلت	عَزَل-ِ
عزا	عَزا,عَزّ-ِ,عِزّ
عريش	عَرِيش
عروق	عِرْق
عركت	عَرَك
عرقك	عَرَق,عِرْق,عَرِق-َ,عَرَّق
عرفني	عَرَّف,عَرَف-ِ
عرشك	عَرْش,عَرَش,عَرَّش
عرسنا	عَرَّس,عُرْس
عرستم	عَرَّس
عرسا	عَرَّس,عُرْس
عرزم	NOTFOUND
عذراء	عَذْراء
عذبة	عَذَب-ِ,عَذَّب,عَذْب
عدلتمونا	عَدَل-ِ,عَدَّل
عددهن	عَدَد,عَدَّد
عددت	عَدّ,عَدَّد
عدت	عَدّ,عَدَّى,عَدا,عاد
عجينها	عَجِين
عجيزتها	عَجِيزَة
عجلته	عَجَّل,عَجِل-َ,عَجَلَة
عتيقها	عَتِيق
عتبوا	عَتَب,عَتَّب
عتاق	NOTFOUND
عبدت	عَبَد,عَبَّد
عبدالله	عَبْداللّٰه
عبثا	عَبِث-َ,عَبَث
عانته	عانَى
عامها	عامّ,عام
عاقدي	عاقِد
عافيتها	عافِيَة,عافِي,عافَى
عافسنا	NOTFOUND
عاشر	عاشَر,عاشِر
عارضه	عارَض,عارِض
عاده	عادَة,عاد
عاجلا	عاجِل,عاجَل
عاتكة	عاتِك
عابوا	عاب-ِ
عابدا	عابِد
عابت	عاب-ِ
عائدا	عائِد
ظلي	ظِلّ
ظلفا	ظِلْف
ظرفا	ظَرْف,ظَرَّف,ظَرُف
ظالمة	ظالِم
طيبي	طِيبِيّ,طِيب,طَيِّب
طيالسة	طَيْلَسان
طوقت	طَوَّق
طوافنا	طَواف,طافَة
طوافك	طَواف,طافَة
طهفة	NOTFOUND
طهارة	طَهارَة
طنفسة	طُنْفُسَة
طمسته	طَمَس-ِ
طليعة	طَلِيعَة
طلقا	طَلَق,طَلَّق,طَلْق
طفيل	NOTFOUND
طفل	طَفَل,طِفْل
طفقنا	طَفَق,طَفِق-َ
طف	NOTFOUND
طعما	طُعْم,طَعْم,طَعَّم,طَعِم-َ
طست	طَسْت
طريقهما	طَرِيق
طرقكم	طَرِيق,طَرَق,طَرَّق
طرد	طَرَد,طَرْد
طرائق	طَرِيقَة
طحلاء	NOTFOUND
طبقات	طَبَقَة
طباقاء	NOTFOUND
طاقتهم	طاقَة
طاعوا	طاع
طاعته	طاعَة,طاع
ضيع	ضَيْع,ضَيَّع
ضير	ضَيْر
ضميرة	ضَمِير
ضمه	ضَمّ,ضَمَّة
ضمرت	ضَمَر
ضريب	NOTFOUND
ضرعها	ضَرَع,ضَرْع,ضِرْع
ضرس	ضَرَس,ضَرَّس,ضِرْس
ضرة	ضَرّ,ضَرَّة,ضِرّ
ضرارته	NOTFOUND
ضراء	ضَرّاء,ضِرْو
ضحينا	ضَحَّى,ضَحِي-َ
ضحكهم	ضَحِك-َ,ضَحْك
ضبيعة	NOTFOUND
ضبابة	ضَباب
ضاق	ضاق
ضارعت	ضارَع
صيح	صَيْح,صَيَّح
صيامهما	صائِم,صِيام
صومعتك	صَوْمَعَة
صورهم	صُورَة,صَوَّر
صورت	صَوَّر
صواف	صَوّاف
صوابا	صَواب
صنيعه	صَنِيع,صَنِيعَة
صنفان	NOTFOUND
صنعها	صَنَّع,صَنْع,صُنْع,صَنَع-َ
صلاهن	صَلَّى,صَلَى-ِ
صلاح	صالِح,صَلاح
صلاتان	صَلاة
صككتها	صَكّ
صفوها	صَفَّى,صَفّ,صَفْو
صغرها	صَغَّر,صِغَر
صغر	صَغَّر,صِغَر,صَغُر
صريف	صَرِيف
صرمتنا	صَرْمَة,صَرَم-ِ
صرفت	صَرَّف,صَرَف-ِ
صرخات	صَرْخَة
صديد	صَدِيد
صدي	صَدَى,صَدّ,صَدِي-َ,صَدَّى
صدمة	صَدَّم,صَدَم-ِ,صَدْمَة
صدقتا	صَدَق,صَدَقَة,صَدَّق
صدرها	صَدَّر,صَدْر
صدرت	صَدَّر,صَدَر
صدائق	NOTFOUND
صداء	NOTFOUND
صخرا	صَخْر,صَخَّر
صحة	صِحَّة
صحابتي	صَحابَة
صبيها	صَبِيّ
صبه	صَبّ,صَبّ-َ
صباحها	صُباح,صَباح
صبابة	صَبّاب,صَبابَة,صُبابَة
صالحوهم	صالِح,صالَح
صاعهم	صاع
صاعد	صاعِد
صارخ	صارِخ
صاحبهم	صاحَب,صاحِب
صاحباه	صاحَب,صاحِب
صائمتين	صائِم
صائر	NOTFOUND
صائحة	صائِح
شيطانان	شَيْطان
شياطين	شَيْطان
شهودك	شُهُود,شاهِد
شهود	شُهُود,شاهِد
شمير	NOTFOUND
شمله	شَمْل,شَمِل-َ,شَمَل,شَمْلَة
شمت	شَمّ,شَمَّت,شام-ِ,شَمِت-َ
شماخ	NOTFOUND
شقيقا	شَقِيق
شقها	شَقّ,شِقّ
شقتين	شَقَّة
شقة	شَقّ,شَقَّة,شُقَّة,شِقّ
شفيع	شَفِيع
شفيتني	شَفَى
شفة	شِفّ,شَفَة
شغلوا	شَغَّل,شَغَل-َ
شغاف	شَغاف
شعيرتين	NOTFOUND
شعرته	شَعَر,شَعْر
شعبهم	شِعْب,شَعْب,شُعْبَة,شَعَّب
شعارنا	شِعار
شطرين	شَطْر
شريكي	شَرِيك
شريق	NOTFOUND
شركته	شَرِك-َ,شَرِكَة
شرقي	شَرْق,شَرْقِيّ
شراكين	NOTFOUND
شخصه	شَخْص,شَخَّص
