تظهره	ظَهَّر,أَظْهَر,ظَهَر-َ
تظنون	ظَنّ
تظنوا	ظَنّ
تطيقه	أَطاق
تطيش	طاش-ِ
تطوفنا	تَطَوَّف,طاف,طَوَّف
تضمخ	ضَمَّخ,ضَمَخ
تضل	ضَلّ,أَضَلّ
تضحون	أَضْحَى,ضَحا,وَضَح-ِ,ضَحَّى,ضَحِي-َ
تضاعف	تَضاعَف,تَضاعُف,ضاعَف
تصيدوه	صاد-ِ,تَصَيَّد
تصيح	صاح-ِ,صَيَّح
تصوبت	NOTFOUND
تصلينهما	أَصْلَى,صَلَى-ِ,تَصَلَّى,صَلَّى,صَلِي-َ,وَصَل-ِ
تصليا	صَلَى-ِ,أَصْلَى,تَصَلَّى,صَلَّى,صَلِي-َ
تصلها	صَلَى-ِ,أَصْلَى,صال,وَصَل-ِ,صَلَّى,صَلِي-َ
تصعد	أَصْعَد,تَصَعَّد,صَعِد-َ,صَعَّد
تصديقها	تَصْدِيق
تصدقوه	تَصَدَّق,صَدَّق
تصدقه	تَصَدَّق,صَدَّق
تصبه	صَبِي-َ,صَبا,وَصَب-ِ,صَبّ,صَبّ-َ,صَبَّى,أَصاب
تصاويره	تَصْوِيرَة
تصاف	تَصافِي,تَصافّ,صافَى
تشيرون	أَشار
تشوفت	تَشَوَّف
تشهده	شَهِد-َ,أَشْهَد
تشمتني	أَشْمَت,شَمَّت,شَمِت-َ
تشقق	تَشَقُّق,تَشَقَّق,شَقَّق,شَقّ
تشفعوا	تَشَفَّع,شَفَع-َ
تشتهين	ٱِشْتَهَى
تشبه	شَبَّه,شَبّ-ِ,شَبّ,تَشَبُّه,أَشاب,تَشَبَّه,أَشْبَه,شاب
تشا	NOTFOUND
تسوق	سَوَّق,ساق,تَسَوَّق,تَسَوُّق
تسوسهم	ساس,تَسَوُّس
تسمعنا	تَسَمُّع,سَمَّع,سَمِع-َ,أَسْمَع,تَسَمَّع
تسليمتين	NOTFOUND
تسلفنا	أَسْلَف,سَلَف,سَلَّف,تَسَلَّف
تسقها	وَسَق-ِ,ساق,أَسْقَى,سَقَى-ِ
تسرح	سَرَح-َ,سَرَّح,سَرِح-َ
تسجدان	سَجَد
تستهزئ	ٱِسْتَهْزَأ
تستنظف	NOTFOUND
تستقبل	ٱِسْتَقْبَل
تستعين	ٱِسْتَعان
