الخسوف	خُسُوف
الخز	خَزّ
الخراط	خَرّاط
الخدين	خَدِين,خَدّ
الخديعة	خَدِيع
الخدم	خَدَم
الختانان	NOTFOUND
الخبائث	NOTFOUND
الخامة	خامّ
الحيس	NOTFOUND
الحوطي	NOTFOUND
الحمير	حِمار
الحملان	NOTFOUND
الحمل	حَمْل,حَمَل,حِمْل
الحلية	حِلْيَة
الحقهم	أَلْحَق,لَحِق-َ
الحقه	أَلْحَق,حُقَّة,لَحِق-َ
الحطيم	حَطِيم
الحطمية	NOTFOUND
الحصباء	حَصَب
الحشفة	حَشَفَة
الحشف	حَشَف
الحسناء	أَحْسَن
الحسرة	حَسْرَة,حَسِر
الحزور	NOTFOUND
الحروب	حَرْب
الحرقي	NOTFOUND
الحرشي	NOTFOUND
الحرامي	حَرامِيّ
الحذف	حَذْف
الحديثان	حَدِيث
الححت	أَلَحّ
الحجيج	حاجّ,حَجِيج
الحبوة	حِبْوَة
الحبراني	NOTFOUND
الحافظ	حافِظ
الحاجب	ٱِحْتِجاب,حاجِب
الجهيم	NOTFOUND
الجهنيين	NOTFOUND
الجهنية	NOTFOUND
الجناحين	جَناح
الجمعات	NOTFOUND
الجمرات	جَمْر
الجمحيين	NOTFOUND
الجلسة	جَلْسَة
الجعفري	جَعْفَرِيّ
الجعة	جِعَة
الجسري	NOTFOUND
الجرجسي	NOTFOUND
الجراحة	جِراحَة,جَرّاح
الجراب	جِراب,جُراب
الجذعاء	NOTFOUND
الجدي	جَدْي,جِدِّيّ
الجدبة	NOTFOUND
الجاهر	NOTFOUND
الجاما	جاما
الجاري	جارِي
الجئت	NOTFOUND
الثوبين	ثَوْب
الثمانين	ثَمانُون
الثقل	ثِقَل
التيميين	NOTFOUND
التورك	NOTFOUND
التهليل	تَهْلِيل
التنزه	تَنَزُّه
التقم	ٱِلْتَقَم
التفتت	ٱِلْتَفَت,تَفَتُّت
التف	تُفّ,ٱِلْتَفّ
التسع	تُسْع,تِسْع
التزويج	تَزْوِيج
التردي	تَرَدِّي
التخيير	تَخْيِير
التحول	تَحَوُّل
التحميم	NOTFOUND
التبن	تِبْن,ٱِلْتَبَن
التارك	NOTFOUND
البيعتان	بِيعَة
البيات	بَيّات,بَيات
البهزية	NOTFOUND
البلوي	بَلْوَى
البكري	بِكْرِيّ,بَكْرِيّ
البقاء	بَقاء
البغايا	بَغِيّ
البغال	بَغّال,بَغْل
البعلبكي	بَعْلَبَكِّيّ
البصير	بَصِير
البستان	بُسْتان,بَسَّة
البروج	بُرْج
البرق	بَرْق
البرجمي	NOTFOUND
البحري	بَحْرِيّ
البابين	باب
الاولياء	وَلِيّ
الاوسي	NOTFOUND
