يستطعمه	ٱِسْتَطْعَم
يستطب	ٱِسْتَطَبّ,ٱِسْتَطاب
يستشفعونه	NOTFOUND
يسترها	سَتَر,سَتَّر
يسترعيه	ٱِسْتَرْعَى
يستذكره	ٱِسْتَذْكَر
يستدفئ	ٱِسْتَدْفَأ
يستخدمه	ٱِسْتَخْدَم
يستحيا	NOTFOUND
يستحمله	NOTFOUND
يستحلون	ٱِسْتَحَلّ,ٱِسْتَحْلَى
يستجمر	NOTFOUND
يستثنيه	ٱِسْتَثْنَى
يستتمها	NOTFOUND
يستتم	ٱِسْتَتَمّ
يستبرئها	ٱِسْتَبْرَأ
يستبرئ	ٱِسْتَبْرَأ
يستامرهما	NOTFOUND
يستاذنهم	NOTFOUND
يستاذننا	NOTFOUND
يستاخر	NOTFOUND
يستاجر	NOTFOUND
يسبحونك	سَبَّح,سَبَح-َ
يساوي	ساوَى
يسالوه	NOTFOUND
يسالوا	أَسال
يسالهما	NOTFOUND
يسالنا	NOTFOUND
يسالن	NOTFOUND
يسالانها	NOTFOUND
يسئ	أَساء
يزيدني	زاد-ِ,زَيَّد,أَزاد
يزوجوها	زَوَّج
يزنين	زَنَى-ِ
يزكي	زَكَّى,زَكِي-َ,يَزَكِيّ,أَزْكَى
يزدن	زاد-ِ,أَزاد,ٱِزْدان
يرين	رَأَى-َ,وَرَى-ِ,ران-ِ
يريكموهما	NOTFOUND
يريبها	راب-ِ,أَراب
يريان	رَأَى-َ,وَرَى-ِ
يروني	أَرْوَى,رَوَى-ِ,رَأَى-َ,رَوَّى,وَرَى-ِ
يروحون	راح,رَوَّح,أَرْوَح
يروحها	راح,رَوَّح,أَرْوَح
يرهم	رَأَى-َ,وَرَى-ِ
يرني	رَنَّى,رَأَى-َ,أَرْنَى,وَرَى-ِ
يرمقني	رَمَق,رَمَّق
يرمق	رَمَق,رَمَّق
يرم	رَمّ-ِ,رام-ِ,وَرِم-ِ,رَمّ,رَمَى-ِ,رام
يرفق	أَرْفَق,رَفِق-َ,رَفَق
يرفعن	رَفَع-َ,رَفَّع
يرفض	ٱِرْفَضّ,رَفَض,أَرْفَض
يرغبهم	رَغِب-َ
يرضون	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
يرضه	راض,رَضّ,أَرْضَى,رَضَّى,رَضِي-َ
يرضعه	أَرْضَع,رَضَّع
يرش	راش,رَشّ,رَشا,وَرَش-ِ
يرسلني	أَرْسَل
يرزقكيها	NOTFOUND
يردون	رَدِي-َ,رَدّ,أَرْدَى,وَرَد-ِ,رَدَّى
يردفها	أَرْدَف,رَدِف-َ,رَدَف
يرخصوا	رَخَّص,رَخُص,أَرْخَص
يرحمهم	رَحَّم,رَحِم-َ
يرحمنا	رَحَّم,رَحِم-َ
يرحب	رَحَّب,رَحُب,رَحِب-َ
يرجي	رَجا,رَجِي-َ
يرثون	وَرِث-ِ,رَثا,رَثّ-ِ,رَثَى
يرتقي	ٱِرْتَقَى
يرتاد	ٱِرْتاد
يربيها	أَرْبَى,رَبَّى
يربو	رَبا
يربني	راب,راب-ِ,أَراب,أَرْبَى,رَبا,رَبَّى
يراوح	راوَح
يراهم	رَأَى-َ
يراد	أَراد
يراجعه	راجَع
يذهبوا	أَذْهَب,ذَهَب-َ,ذَهَّب
يذكي	ذَكَّى,أَذْكَى,ذَكِي-َ
يذكرك	ذَكَر,أَذْكَر,ذَكَّر
يذرها	ذَرا,ذَرَى-ِ,أَذْرَى,ذَرّ,وَذِر-َ,ذَرَّى
يذبحوا	ذَبَّح,ذَبَح-َ
يذبحه	ذَبَّح,ذَبَح-َ
يذبحن	ذَبَّح,ذَبَح-َ
يذب	ذاب,ذَبّ,أَذاب
يذاد	NOTFOUND
يدنيهم	ٱِدَّنَى,أَدْنَى,دَنَّى
يدفنون	دَفَن-ِ
يدفنوا	دَفَن-ِ
يدعوها	ٱِدَّعَى,دَعّ-َ,وَدَع-َ,دَعا
يدريه	دَرَى-ِ,أَدْرَى
يدرينا	دَرَى-ِ,أَدْرَى
يدرس	دَرَّس,دَرَس
يدخلنها	أَدْخَل,دَخَل
يدخلان	أَدْخَل,دَخَل
يدبون	دَبّ-ِ
يداي	يَد
يدافعه	دافَع
يخيف	أَخاف
يخلقها	أَخْلَق,خَلَق,خَلَّق
يخلقه	أَخْلَق,خَلَق,خَلَّق
يخلفونكم	أَخْلَف,خَلَّف,خَلَف
يخلطا	خَلَط-ِ,خَلَّط
يخلدون	خَلَد,أَخْلَد,خَلَّد
يخطفان	خَطَف-ِ,خَطِف-َ
يخطبون	خَطَب
يخطبنا	خَطَب
يخطئون	أَخْطَأ,خَطَّأ
يخضبون	خَضِب-َ,خَضَب-ِ,خَضَّب
يخرقها	خَرَق-ُِ,أَخْرَق
يخرجكم	خَرَّج,أَخْرَج
يخذله	خَذَل
يخدش	خَدَش-ِ,خَدَّش
يختمها	خَتَم-ِ
يختلط	ٱِخْتَلَط
يختضب	NOTFOUND
يختصمون	ٱِخْتَصَم
يختتن	ٱِخْتَتَن
يخبز	خَبَز-ِ
يخبرونه	خَبَر,خَبَّر,خَبُر,أَخْبَر
يخبركم	خَبَر,خَبَّر,خَبُر,أَخْبَر
يخبث	خَبُث
يخالل	خالّ
يخالطنا	خالَط
يخالطن	خالَط
يخال	خالّ,خال-َ
يحيونك	حَيّا,حَيّ-َ,أَحْيَى
يحيون	حَيّا,حَيّ-َ,أَحْيَى
يحيك	حَيَّك,حَيّا,حَيّ-َ,أَحْيَى,وَحَى-ِ
يحنو	NOTFOUND
يحملوهم	حَمَل-ِ,حَمَّل
يحلها	أَحَلّ,حَلَى,أَحال,حَلَّى,حَلِي-َ,حَلُو,حال,حَلّ
يحللن	أَحَلّ,حَلّ-ِ,حَلَّل,حَلّ
يحلقن	حَلَّق,حَلَق-ِ
يحلب	حَلَب-ُِ
يحكيه	حَكَى-ِ
يحفظها	حَفِظ-َ,أَحْفَظ
يحضرهما	حَضَّر,أَحْضَر,حَضَر
يحضرني	حَضَّر,أَحْضَر,حَضَر
يحشها	حَشَّى,حَشا,حاش,حَشّ
يحسنون	حَسَّن,حَسُن,أَحْسَن
يحسدونه	حَسَد
يحزنون	حَزَن,حَزَّن,أَحْزَن,حَزِن-َ
يحركه	حَرَّك
يحذيك	حَذَى-ِ
يحذيا	حَذَى-ِ,حَذا
يحدون	حَدِي,أَحَدّ,حَدا,حَدّ-ِ,حَدّ
يحدثن	حَدَث,أَحْدَث
يحدثكموه	NOTFOUND
يحجز	حَجَز
يحجر	حَجَر,حَجَّر
يحثنا	حَثّ,حَثا,أَحاث
يحتلبها	ٱِحْتَلَب
يحتلبن	ٱِحْتَلَب
يحتقان	NOTFOUND
يحتفز	ٱِحْتَفَز
يحتزم	ٱِحْتَزَم
يحاقني	حاقّ
يحاصروا	حاصَر
يجيش	جاش-ِ,جَيَّش
يجيبهم	أَجاب
يجيب	أَجاب
يجيئون	NOTFOUND
يجهد	أَجْهَد,جَهَد-َ
يجنا	أَجَنّ,جَنّ
يجلسه	أَجْلَس
يجلسكم	أَجْلَس
يجعلنا	جَعَل-َ
يجصص	جَصَّص
يجزيه	أَجْزَى,جَزَى-ِ
يجزين	أَجْزَى,جَزَى-ِ
يجزئني	جَزَّأ
يجرونها	أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
يجرون	أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
يجرح	جَرَّح,جَرَح-َ
يجدن	وَجَد-ِ,جاد,أَجاد
يجثو	جَثا
يجتمعوا	ٱِجْتَمَع
يجتاح	ٱِجْتاح
يجبون	وَجَب-ِ,جَبَى-ِ,جَبَّى,جَبّ
يثلغ	NOTFOUND
يثعب	ثَعَب-َ
