وسخطه	سُخْط
وسحري	سِحْر,سَحْر,سَحَر,سِحْرِيّ
وسجودهن	سُجُود,ساجِد
وسجودها	سُجُود,ساجِد
وسجدته	سَجَد,سَجْدَة
وسترته	سُتْرَة,سَتَر,سَتَّر,رَتَّى,رَتا
وستجدون	وَجَد-ِ,أَجَدّ,أَجْدَى,جَدا,جَدّ-ِ
وست	سِتّ
وسبيعة	NOTFOUND
وسبوه	سَبّ,سَبَى-ِ
وسبحي	سُبْحَة
وسبحا	سُبْحَة,سَبَح-َ,سَبَّح
وسالها	وَلِي-ِ,سال-ِ
وسالني	وَلِي-ِ,سال-ِ,أَلان
وسالما	سالَم,سالِم
وسالتها	لَتّ,سال-ِ
وسازيده	زاد-ِ,زَيَّد,أَزاد
وساذكر	ذَكَر,أَذْكَر,ذَكَّر
وسادك	دَكّ,ساد,سادّ,وَساد,وَدَى-ِ
وسادتك	سَيِّد,ساد,سادَة,سادّ,وِسادَة
وزيراي	وَزِير
وزيت	زَيَّت,زَيَّى,زَيْت
وزوجني	زَوَّج
وزوجته	زَوَّج,زَوْجَة
وزني	زَنّ,وَزْن,زِنَى,زَنَى-ِ,وَزْنِيّ,وَزّ
وزنت	زَنّ,وَزَن-ِ,زان-ِ,زَنَى-ِ
وزنة	وَزْن,زَنّ,وَزَن-ِ,زِنَة,زان-ِ,وَزْنَة
وزمعة	NOTFOUND
وزمالة	زَمالَة
وزكريا	زَكَرِيّا
وزغا	NOTFOUND
وزرها	زَرّ,وِزْر,وَزِر-َ,زِرّ,وَزَر-ِ
وزدني	NOTFOUND
وزدت	زاد-ِ
وزبرجد	زَبَرجَد
وزادا	زاد-ِ,زاد
وزائدة	زائِد,زائِدَة
وريه	رِئَة,رَيّ
ورووا	رَوَى-ِ,رَوَّى
وروثه	رَوْث
وروت	رَوَى-ِ,رَوَّى
ورهطك	رَهَط-َ,رَهْط
ورهبوا	رَهَّب,رَهِب-َ
ورميه	رَمْيَة,رَمِيَّة,رَمْي,وَرَم
وركه	رُكَّة,رَكّ,رِكَّة,وَرْك
وركعتان	رَكْعَة
وركعت	رَكَّع,رَكَع-َ
وركض	رَكَض
وركبنا	رِكاب,رَكِب-َ,رُكْبَة,رَكَّب,رَكْب
ورقيقه	رَقِيقَة,رَقِيق
ورفعوه	رَفَع-َ,رَفَّع
ورفعها	رَفَع-َ,رَفْع,رَفَّع
ورفعناه	رَفَع-َ,رَفَّع
ورغم	رَغْمَ,رَغْم
ورعائها	راعِي
ورطن	وَرَّط,رَطَن
ورضي	رَضّ,رِضاً,رَضَّى,رَضِيّ,رَضِي-َ
ورضوانه	رِضْوان
ورضوا	رَضّ,رَضَّى,رَضِي-َ
ورضاه	رَضّ,رِضاً,راضِي,رَضَّى
ورضا	رَضّ,رِضا,رِضاً
ورش	رَشّ,وَرِش,وَرَش-ِ,وَرْشَة,وَرَّش
ورسولي	رَسُول,رَسُولِيّ
وردوا	رَدِي-َ,رَدّ,وَرَد-ِ,وَرَّد,رَدَّى
وردفه	رَدِف-َ,رِدْف,رَدَف
ورددنا	رَدَّد,رَدّ
ورحمتك	رَحَّم,رَحْمَة,رَحِم-َ
ورحما	رَحَّم,رَحِم,رَحِم-َ
ورحم	رَحَّم,رَحِم,رَحِم-َ
ورجوعي	رُجُوعِيّ,رُجُوع
ورجم	رَجَّم,رُجْمَة,رَجْم,رَجَم
ورجليك	رَجُل,رِجْل
ورجعوا	رَجَّع,رَجَع-ِ
ورجالا	رَجُل
ورثها	وَرِث-ِ,وَرَّث,وِرْث,رَثّ
ورتل	رَتَّل,رَتِل-َ,رَتْل
وربيطا	NOTFOUND
وربح	رَبِح-َ,رَبَّح,رِبْح
ورايناك	NOTFOUND
وراينا	رَأْي
ورايتني	NOTFOUND
وراوه	NOTFOUND
وراني	وَرَى-ِ,وَرَّى
وراحلة	راحِل,راحِلَة
وراجعت	راجَع
وراجعا	راجِع,راجَع
ورئاء	رِئاء
وذهبنا	ذَهَب-َ,ذَهَّب,ذَهَب
وذهبا	ذَهَب-َ,ذَهَّب,ذَهَب
وذكرتك	ذُكْرَة,ذَكَر,ذَكَّر
وذكرا	ذِكْر,ذَكَر,ذَكَّر
وذروا	ذَرا,ذَرْو,ذَرّ,وَذِر-َ,ذَرَّى
وذبحوا	ذَبَّح,ذَبَح-َ
وذاكرت	ذاكَر
ودينه	دِين,دَيِّن,دَيْن,وَدَى-ِ
ودينا	وُدِّيّ,دان-ِ,دِين,دِينا,دَيِّن,وَدَى-ِ,دَيْن
وديته	وُدِّيّ,دِيَة,وَدَى-ِ
ودية	وُدِّيّ,دِيَة
ودواء	دَواء,دِواء
ودنياي	دَنِيّ
ودنت	دان-ِ,دَنَّى,دَنا
ودمها	دَمّ,دَم
ودماؤهم	دَم
ودماءهم	دَم
