هينة	هِينَة,هَيِّن
هيعة	NOTFOUND
هيات	هَيْئَة
هويا	هَوَّى,هَوَى-ِ,هَوِي-َ,هُوِيّ
هونا	هَوَّن,هُون,هَوْن
هودج	هَوْدَج
هواها	هُوَّة,هَوَى-ِ,هَوَّى,هَوَى
هواه	هُوَّة,هَوَى-ِ,هَوَّى,هَوَى,هاوِي
هوانها	هَوان
هوالك	هالِك
هواء	هَواء,هَوّاء
هه	NOTFOUND
همزات	هَمَزات,هَمْزَة
هلكاكم	هالِك,هَلَّك,هَلَك
هلالا	هِلال
هصر	هَصَر-ِ
هزيمة	هَزِيمَة,هَزِيم
هزمهم	هَزْم,هَزَم-ِ
هزمنا	هَزْم,هَزَم-ِ
هزلا	هَزَّل,هَزِل,هَزَل-ِ,هَزِل-َ,هَزْل,هَزَل
هربوا	هَرَب,هَرَّب
هربا	هَرَّب,هَرَب
هدف	هَدَف,هَدَف-ِ
هداية	هِدايَة
هداي	هُدَى
هدات	NOTFOUND
هجوت	هَجا
هجع	هَجْع,هَجَع-َ
هجرتكم	هَجَّر,هِجْرَة,هَجَر
هجرا	هَجَّر,هَجْر,هَجَر
هبطنا	هَبَط,هَبْط
هبر	هَبَر,هَبْر
هباء	هَباء
هاها	NOTFOUND
هانئا	هانِئ
هام	هامّ,هام,هام-ِ
هاشما	NOTFOUND
هاتيه	NOTFOUND
هاتي	NOTFOUND
نيل	نِيل,نَيَّل,نَيْل
نيفا	نَيَّف,نَيِّف
نيزك	نَيْزَك
نويرة	NOTFOUND
نومي	نَوْم,نَوْمِيّ,نائِم
نومهما	نَوْم,نَوَّم,نائِم
نومهم	نَوْم,نَوَّم,نائِم
نولي	وَلَّى,نَوْل,أَوْلَى
نوقد	وَقَّد,أَوْقَد
نورهما	نُور,أَوْرَى,نَوَر,نَوَّر,وَرَّى
نوره	نُورَة,نُور,أَوْرَى,نَوَر,نَوَّر,وَرَّى,نَوْرَة
نوديت	NOTFOUND
نوبية	نُوبِيّ
نواسك	واسَى,نَوّاس
نهنهها	نَهْنَه
نهضت	نَهَض-َ
نهشه	نَهَش-ِ,نَهْش
نهشل	NOTFOUND
نهسا	NOTFOUND
نهب	هاب-َ,هَبا,أَهَبّ,أَهاب,نَهْب,نَهَب-َُ,نَهِب-َ,وَهَب-َ,هَبّ
ننهد	نَهَد-َُ,ٱِنْهَدّ
ننكر	نَكَّر,نَكِر-َ,أَنْكَر
ننكح	أَنْكَح,نَكَح-َُِ
ننقله	نَقَّل,نَقَل
ننقلب	ٱِنْقَلَب
ننفس	نَفِس-َ,نَفَّس,نَفُس
ننعاه	نَعَى-َ
ننضح	نَضَح-َ,نَضَح-ِ
ننصره	نَصَر,نَصَّر
ننسها	ناس,نَسِي-َ,أَنْسَى
ننسخها	نَسَخ-َ
ننساها	نَسِي-َ
ننجي	نَجَّى,أَنْجَى
ننتهي	ٱِنْتَهَى
ننبذه	نَبَذ-ِ,نَبَّذ,أَنْبَذ
ننام	أَنام,نام-َ
ننابذهم	نابَذ
نملكها	مَلَك-ِ,أَمْلَك,مَلَّك
نمل	مَلَّى,مَلّ-َ,نَمِل,نَمْل,أَمال,أَمْلَى,أَمَلّ,نَمَل,مال-ِ,مَلا,نَمِل-َ
نمصها	مَصّ-َ,مَصَص
نماء	نَماء
نلف	لاف,أَلْفَى,لَفّ
نلتمسها	ٱِلْتَمَس
نلتقي	ٱِلْتَقَى
نلت	نال,لَتّ,نال-َ
نلبي	لَبَّى
نكلته	نَكِل-َ,نَكَّل,كَلَت-ِ,نَكَل-ُِ
نكفت	كَفَت-ِ,نَكَف,كَفَّت
نكص	نَكَص-ُِ,نَكَّص,نَكْص
نكذب	كَذَب-ِ,أَكْذَب,كَذَّب
نكحها	نَكَح-َُِ,كَحّ
نكتبها	أَكْتَب,كَتَب
نكت	كَتّ-ِ,نَكَّت,نُكْتَة,ناك-ِ,نَكَت,نَكَى-ِ
نكالا	نَكال
نكال	نَكال
نكارة	كارَى
نكاحا	نِكاح
نقيضا	نَقِيض
نقيا	نَقِيّ,نَقَّى,نَقِي-َ
نقولها	قال,نُقُول
نقنت	قَنَت
نقموا	نَقِم-َ,نَقَم-ِ
