للبواب	بَوّاب
للبركة	بِرْكَة,بَرَكَة
للب	لَبّ-َُ,لُبّ,لَبّ
للاميين	أُمِّيّ
للامرة	إِمْرَة,آمِر
للامانة	أَمانَة
للاقامة	إِقامَة
للاعتكاف	NOTFOUND
للاشج	NOTFOUND
للازار	إِزار
للاحقون	NOTFOUND
لكنه	لُكْنَة,كُنْه,كَنّ-ِ,كان,لٰكِنَّ,لَكْنَة,كَنّ,كُنَّة,كَنَّة
لكنك	كَنّ-ِ,كان,لٰكِنَّ,كَنّ
لكفاكم	كَفّ,كَفَى-ِ
لكزة	لَكَز,لَكِز,كَزّ,كُزّ,لَكْز
لكذا	NOTFOUND
لكثير	كَثِير
لكافر	كافِر
لكاع	كاع
لكاذب	كاذِب
لقيناك	لَقِي-َ
لقونا	لَقِي-َ
لقومهم	قَوْم,قَوَّم
لقولك	قَوْل
لقلة	قُلَّة,قِلَّة,قَلَّة,قِلّ
لقطع	قَطَع-َ,قَطَّع,قِطْعَة,قَطْع,قَطْعَة,قُطْعَة
لقضاء	قَضاء
لقسمته	قَسَمَة,قَسَم-ِ,قَسَّم,قِسْمَة
لقربي	قِراب,قُرْبَى,قُرْب,قِرْبَة,قِرْبِيّ,قُرْبَ
لقرابتي	قَرابَة,قُرابَة,قَرّاب
لقرابتنا	قَرابَة,قُرابَة,قَرّاب
لقحته	لَقَّح,لَقَح-َ,قاح,قِحَة,قَحّ,قاح-ِ,قُحّ
لقحة	لَقَّح,لَقَح-َ,لَقْح,قِحَة,قَحّ,قُحّ
لقتلي	قَتِيل,قَتْل
لقتله	قَتَل,قَتَّل,قاتِل,قَتْل
لقبه	قَبَّة,لَقَّب,قُبَّة,قَبّ,لَقَب
لقبل	قَبَّل,قِبَل,قَبْلَ,قَبِل-َ
لقالوا	قال
لقاحه	لَقاح,قاحَة,قاح,قاح-ِ
لقائه	لِقاء
لقائك	لِقاء
لفينا	NOTFOUND
لفرسه	فارِسِيّ,فَرَس
لفت	فَتّ,أَلْفَت,لَفَت-ِ,لاف,لِفْت,فات,لَفْت,لَفّ,لَفَّت
لفؤاد	فُؤاد
لغيرت	غَيَّر
لغو	لَغْو
لغفار	غَفّار
لغزونا	غَزْو,غَزا,لَغَز
لغرمائه	غَرِيم
لغتنا	لُغَة,غَتّ,لَغا
لغاز	غازِي,غاز
لغائط	غائِط
لعيينة	NOTFOUND
لعهد	عَهْد,عَهِد-َ
لعند	عِنْدَ,عَنِد-َ
لعنا	لَعَن-َ,لَعْن,عَنا,عَنّ,لاع
لعمله	عُمْلَة,عَمِل-َ,عَمَل,عامِل
لعملت	عَمِل-َ
لعمران	عُمْران
لعمارة	عِمارَة,عَمارَة
لعلم	عَلِم-َ,عِلْم,عَلَم,عَلَّم
لعلكن	لَعْل,لَعَلَّ,عَلَك-ِ
لعكرمة	عَكْرَمَة
لعك	عَكّ
لعقة	لُعْقَة,لَعِق-َ,عَقّ
لعصبته	عَصَب-ِ,عَصَبَة,عَصَّب
لعدي	عَدّ,عَدَّى,عَدِيّ,عُدَيّ
لعبتموها	لَعِب-َ,عاب-ِ
لعبادتي	عِبادَة
لعامل	عامَل,عامِل
لظهير	ظَهِير
لظللت	ظَلَّل,ظَلّ-َ
لطهرها	طُهْر,طَهَّر
لطمه	لَطْمَة,طِمّ,لَطَم-َ,طَمّ
لطمة	طِمّ,لَطْمَة,لَطَم-َ,طَمّ
لطعامه	طَعام
لضيفك	ضَيْف
لضربت	ضَرَب,ضَرَّب
لضخم	ضَخُم,ضَخْم,ضَخَّم
لصوتك	صَوَّت,صَوْت,صُوَّة
لصلي	صَلِي-َ,صَلَّى,صَلَى-ِ
لصلح	صَلُح,صَلَّح,صُلْح
لصدقت	صَدَق,صَدَّق
لصبح	صُبْح,صَبَّح
لصادقة	صادَق,صادِق
لصاحبيكم	صاحِب
لصاحبي	صاحِب
لشيخ	شَيْخ
لشيبان	شَيْبان
لشربه	شَرِب-َ,شُرْب,شَرَّب,شَرْبَة
لشدة	شَدّ-ُِ,شَدّ,شَدَه-َ,شِدَّة
لشاب	شابّ,شاب,شاب-ِ
لسوقا	سَوَّق,سُوق
لسواكه	سِواك
لسهل	سَهَّل,سَهُل,سَهْل
لسنتين	سِنْت,سَنَة,لَسِن
لسمرة	أَسْمَر,سَمَر,سُمْرَة,سَمَّر
لسماك	سَمّ,سَمَّى,سَمّاك,سِماك
لسلمان	سُلَّم,سَلْمان
لسريج	NOTFOUND
لسرعته	سَرَّع,سَرُع,سُرْعَة
لسبقته	سَبْقَة,سَبَّق,سُبْقَة,سَبَق-ُِ
لسانها	لِسان
لريح	رَيَّح,رَيِّح,رِيح
لركبت	رَكَّب,رَكِب-َ
لرغبة	رَغِب-َ,رَغَب,رَغْبَة
لرعيته	رَعِيَّة,رَعَى-َ
لرزق	رَزَق,رِزْق
لرجمتها	رُجْمَة,رَجَّم,رَجَم
لرجمت	رَجَّم,رَجَم
لرجعت	رَجَّع,رَجَع-ِ
لربهم	رُبّ,رَبّ
لراعي	راعَى,راع,راعِي
لرؤيا	رُؤَى
لذنبك	ذَنْب,ذَنَب
لديك	لِدَة,دِيك,لَدَى
لديغ	لَدِيغ
لدون	دُونَ,دَوَّن,لِدَة,دُون
لدوابكم	دابَّة
لده	لِدَة,أَلَدّ,لِدّ,لَدّ
لدنك	لَدَّن,لَدْن,لَدُن,دان-ِ
لدم	دَم,دَمّ
لدغتني	لَدَغ
لدعاء	دُعاء
لددناه	لَدَّد,لَدّ
لدخول	دُخُول
لخيمة	خَيْمَة,خَيَّم,خِيم
لخم	خُمّ,خَمّ
لخلفة	خَلْف,خِلْف,خُلْف,خَلْفَ,خَلَف,خِلْفَة,خَلَّف
لخصلتين	خُصْلَة
