القائلون	قائِل
القاء	لَقَى,إِلْقاء
الفينكم	أَلْفَى
الفينك	أَلْفَى
الفيافي	فَيْفاء
الفياة	أَلْفَى,أَلْفِيّ
الفوقة	NOTFOUND
الفوق	فَوْق,فَوْقَ
الفواطم	NOTFOUND
الفوائت	NOTFOUND
الفوا	أَلْفَى,آلَف,أَلَّف,أَلِف-َ
الفلسطيني	فِلَسْطِينِيّ
الفقيمي	NOTFOUND
الفقار	فَقار
الففنها	NOTFOUND
الفعل	فِعْل
الفطري	فِطْرِيّ,فُطْرِيّ
الفصال	NOTFOUND
الفري	فِرْيَة,فَرِيّ
الفرط	فَرْط
الفرضتين	فُرْضَة
الفرخ	فَرْخ
الفربري	NOTFOUND
الفراغ	فَراغ
الفرارون	فَرّار
الفديك	NOTFOUND
الفدكي	NOTFOUND
الفتيان	فَتِيّ,فَتَى
الفاه	آلِف,أَلَفّ,أَلَّف,أَلِف-َ,أَلْفَى,آلَف,إِلْف,أَلِف,أَلْف
الفالوذج	فالُوذَج
الفاضحة	فاضِح
الفار	فارّ,فَأْر
الفاخوري	فاخُورِيّ
الفئتين	فِئَة
الغيل	غِيل,غَيْل
الغنوية	NOTFOUND
الغنمين	NOTFOUND
الغناء	غَناء,غِناء,أَغَنّ
الغمر	غَمْر
الغليظ	غَلِيظ
الغلو	غُلُوّ
الغلامين	NOTFOUND
الغضبان	غَضِب,غَضْبان
الغش	غِشّ,غَشّ
الغسلات	غَسْلَة
الغزال	غَزّال,غَزال
الغريف	NOTFOUND
الغرور	غُرُور
الغربي	غَرْبِيّ
الغرب	غَرْب
الغرام	غَرام,جرام
الغدوة	غَدْوَة,غُدْوَة
الغبرة	غَبِر,غَبَرَة,غُبْرَة
الغبراء	أَغْبَر
الغال	غال
الغارب	غارِب
الغابرين	غابِر
الغابر	غابِر
العيلة	NOTFOUND
العيب	عَيْب
العيافة	NOTFOUND
العوصي	NOTFOUND
العورة	عَوْرَة
العنقود	عُنْقُود
العنفقة	NOTFOUND
العنت	عَنَت
العمال	عامِل
العماد	عِماد
العم	عَمّ
العلوي	عَلَوِيّ,عُلْوِيّ
العلو	عُلُوّ
العلج	عِلْج
العلابي	NOTFOUND
العكر	عَكَر,عَكِر
العكة	عَكَّة
العقوق	عُقُوق
العقال	عاقِل,عِقال
العظماء	عَظِيم
العطن	NOTFOUND
العشنق	NOTFOUND
العسيلة	NOTFOUND
العسب	NOTFOUND
العزلاوين	NOTFOUND
العز	عِزّ
العروق	عِرْق
العرنيين	NOTFOUND
العرقة	NOTFOUND
العرفاء	عَرِيف
العرجون	عُرْجُون
العرج	عَرَج
العربية	عَرَبِيَّة,عَرَبِيّ
العددين	عَدَد
العدبس	NOTFOUND
العتقي	NOTFOUND
العتق	عِتْق
العاملي	عامِلِيّ
العامرية	عامِرِيَّة
العاق	عاقّ
العاض	NOTFOUND
العابدي	NOTFOUND
الظوا	NOTFOUND
الظهار	ظِهار
الظلوم	ظَلُوم
الظرب	NOTFOUND
الظالمون	ظالِم
الطوافات	طَوّافَة
الطهوي	NOTFOUND
الطهارة	طَهارَة
