يؤخرا	ؤَخِّر
يؤخذون	أَخَذ,أَخَّذ
يؤخذا	أَخَذ,أَخَّذ
يؤثروه	آثَر,أَثَّر
يؤثروا	آثَر,أَثَّر
يؤتيني	آتَى
يؤتكم	آتَى
يؤبرونه	أَبَّر
يؤبروا	أَبَّر
يؤاجرونها	NOTFOUND
ويومه	يَوْم
ويومئ	أَوْمَأ
ويوكل	أَوْكَل,وَكَّل
ويوقظ	أَيْقَظ,وَقَّظ
ويوضؤه	NOTFOUND
ويوصيهم	أَوْصَى,وَصَّى
ويوشك	وَشُك,وَشَّى,أَوْشَك,وَشَّك
ويواصل	واصَل
ويواريه	وارَى
ويهوي	أَهْوَى,هَوَى-ِ,هَوَّى,هَوِي-َ
ويهللونك	هَلَّل
ويهريقوا	NOTFOUND
ويهرم	هَرَّم,هَرِم-َ
ويهدون	هَدَى-ِ,هَدّ,أَهْدَى,هَدّ-ِ
ويهجع	أَهْجَع,هَجَع-َ
ويهتف	هَتَف-ِ
وينوي	نَوَى-ِ
وينهوني	ٱِنْهَوَى,نَها,أَنْهَى,نَهَى-ِ
وينهاهم	نَهَى-ِ
وينهاها	نَهَى-ِ
وينه	نَها,وَنَى-ِ,يِن,أَنْهَى,نَهَى-ِ
وينمي	أَنْمَى,نَمَى-ِ,نَمَّى
وينكتها	نَكَّت,نَكَت
وينقي	أَنْقَى,نَقَّى,نَقِي-َ
وينفي	نَفَى,نَفا
وينفق	أَنْفَق,نَفِق-َ,نَفَق,نَفَّق
وينفدهم	أَنْفَد
وينطلق	ٱِنْطَلَق
وينطق	نَطَق,أَنْطَق,نَطَّق
وينصره	نَصَّر,نَصَر
وينصرك	نَصَّر,نَصَر
وينصت	نَصَت-ِ,أَنْصَت
وينصبني	أَنْصَب,نَصَّب,نَصَب
وينشرها	نَشَّر,نَشَر,أَنْشَر
وينشدون	أَنْشَد,نَشَد
وينزلوها	أَنْزَل,نَزَل-ِ,نَزَّل,نَزِل-َ
وينحر	نَحَر
وينحدر	ٱِنْحَدَر
وينحاز	ٱِنْحاز
وينجنا	نَجَّى,نَجا,أَنْجَى
وينتهون	ٱِنْتَهَى
وينتهك	ٱِنْتَهَك,ٱِنْتَهَى
وينتقص	ٱِنْتَقَص
وينتضح	NOTFOUND
وينتبه	ٱِنْتاب,ٱِنْتَبَه
وينتبذ	ٱِنْتَبَذ
وينبه	ناب,نَبا,أَنْبَه,أَناب,نَبُه,نَبَّه,نَبَه,نَبِه-َ
وينبغي	ٱِنْبَغَى
وينبز	نَبَز-ِ,نَبَّز
ويمين	يَمِين
ويميط	ماط-ِ,أَماط
ويمنهم	يَمَن,مَنَى-ِ,مَنّ,أَمَنّ,مَنا,يُمْن,يَمَّن,مَنَّى
ويمنعوه	مَنَع
ويمنعونا	مَنَع
ويملا	مَلّ-َ,أَمَلّ
ويمكن	أَمْكَن,مَكَّن
ويمضمض	مَضْمَض
ويمص	مَصّ-َ,مَصَص
