ولمجالس	مَجْلِس
ولمتجرك	مَتْجَر
ولليتامي	يَتِيم
وللوفود	وَفْد
وللناس	ناس
وللملك	مَلِك,مِلْك,مُلْك
وللمطر	مَطِر,مَطَر
وللمساكين	مِسْكِين
وللمسافر	مُسافِر
وللمزارع	مُزارِع,مَزْرَع
وللمرضع	مُرْضِع
وللمحزون	مَحْزُون
وللفقراء	فَقِير
وللعذاري	عَذْراء
وللصلاة	صَلاة
وللشيطان	شَيْطان
وللشفاعة	شَفاعَة
وللسائل	سائِل
وللزهري	زُهَرِيّ
وللزبير	زُبَيْر
وللرمل	رَمْل
وللرجال	رَجُل
وللدنيا	دُنْيا
وللحوت	حُوت
وللجنة	لَجْنَة,جِنَّة,جَنَّة,جُنَّة
وللجاعل	NOTFOUND
وللثيب	ثَيِّب
وللبكر	بَكْر,بِكْر,بَكْرَة
وللاخر	آخِر,آخَر
ولكنهن	لٰكِنَّ,كَنّ
ولكنني	لٰكِنَّ
ولكنما	NOTFOUND
ولكما	لِ-,لَكْم,لَكَم
ولكليكما	كُلِّيّ
ولقيط	لَقِيط
ولقها	قَها
ولقريش	قُرَيْش
ولقبه	قُبَّة,قَبّ,قَبَّة,لَقَّب,لَقَب
ولقاه	لَقَى,قاهِي
ولقام	NOTFOUND
ولفرسه	فَرَس,فارِسِيّ
ولفافتين	لِفافَة
ولغفار	غَفّار
ولغط	لَغَط-َ,لَغْط,لَغَّط
ولغدوة	غَدْوَة,غُدْوَة,غُدُوّ
ولغاديده	لُغْدُود
ولعينك	لَعِين,عَيْن
ولعنوا	لَعَن-َ
ولعنهما	لَعَن-َ,وَلِع-َ,لَعْن,وَلَّع
ولعلي	لَعْل,عَلِيّ
ولعلنا	لَعْل,لَعَلَّ
ولعظيم	عَظِيم
ولعبها	لَعِب-َ,عَبّ,لَعْب
ولعبت	لَعِب-َ
ولعابه	لَعّاب,لُعاب
ولطخ	لَطَّخ,لَطَخ-َ,لَطْخ
ولضيفهم	ضَيْف
ولضيفك	ضَيْف
ولصاحبه	صاحِب
ولشهيد	شَهِيد
ولسقف	سَقْف
ولزمه	لَزْمَة,لَزِم-َ
ولزمت	لَزِم-َ
ولزاما	لِزام
ولربك	رَبَك,رُبّ,رَبِك,رَبّ
ولذيلها	ذَيْل
ولذة	لَذِيذ,لَذَّة
ولدهما	وَلَد-ِ,أَلَدّ,لِدّ,لَدّ,وَلَد,وَلَّد
ولدنا	لَدَّن,وَلَد-ِ,لَدْن,وَلَد,وَلَّد,لَدُن,أَلَدّ,لِدّ,لَدّ
ولداهما	وَلَد-ِ,وَلَد,وَلَّد,لَدّ
ولخازنه	خازِن
ولحوقها	NOTFOUND
ولحوقه	NOTFOUND
ولحقني	حُقْنَة,لَحِق-َ,حَقْن
ولحفصة	NOTFOUND
ولحرمه	حُرْمَة,حَرَم
ولجوفه	جَوْف,أَجْوَف
ولجنا	لُجّ,وَلَج-ِ,لَجْنَة,لَجِن-َ
ولجاهل	جاهِل
ولجاء	NOTFOUND
ولتنضح	نَضَح-َ,نَضَح-ِ
ولتلدن	لَدَّن,وَلَد-ِ,لَدُن
