وربتي	رَبَّة,رِبَّة,رَبْت,رَبّ
ورباعية	رَبّاع,رُباعِيّ
ورباط	رِباط
ورباحا	رُبّاح
ورايناه	NOTFOUND
ورايتنا	رايَة
وراية	رَأْي,رايَة
وراهب	راهِب
وراكع	راكِع
ورافقني	رافَق
ورافعك	رافَع,رافِع
ورافة	NOTFOUND
وراسها	رَأْس
وراس	رَأْس,راسِي
وراحت	راح
وراجعها	راجِع,راجَع
وراث	وارِث,راث-ِ,راث
ورئينا	NOTFOUND
وذيت	NOTFOUND
وذنبه	ذَنَب,ذَنْب
وذمته	ذِمَّة,ذَمّ
وذكورنا	ذَكَر
وذكري	ذِكْر,ذِكْرَى,ذَكَر,ذَكَرِيّ
وذكرهما	ذِكْر,ذَكَر,ذَكَّر
وذقنه	ذَقْن,ذاق
وذرياتنا	ذُرِّيَّة
وذروان	NOTFOUND
وذرفت	ذَرَف-ِ,ذَرَّف
وذراعيها	ذِراع
وذراري	ذُرِّيَّة
وذخره	ذُخْر,ذَخَر-َ
وذبحه	ذَبَّح,ذَبْح,ذَبَح-َ,ذِبْحَة
وديون	وُدِّيّ,دَيْن
وديه	وُدِّيّ,دِيَة
وديني	دِين,دَيِّن,دِينِيّ,دَيْن
وديلم	NOTFOUND
ودياسة	NOTFOUND
وديا	وُدِّيّ,وَدَى-ِ
ودي	وُدِّيّ,وُدّ,دِي,وَدَى-ِ
ودول	دَوْلَة
ودود	وَدُود,دَوَّد,دُود
ودوا	وَدّ-َ,وَدَى-ِ
وده	دَه,وَدّ-َ,وُدّ
ودنياك	دَنِيّ,دَنَّى,دُنْيا
ودمان	دَمان,دُمان
ودمائه	دَم
ودماؤكم	دَم
ودماءكم	دَم
ودم	دَمّ,دَم
ودليل	دَلِيل
ودلك	دَلَك,دَلّ,دَلْك,دَلَّك
ودكها	دَكّ,وَدَك,وَدِك
ودقيقة	دَقِيقَة,دَقِيق
ودفنوها	دَفَن-ِ
ودفنوا	دَفَن-ِ
ودفنها	دَفَن-ِ,دَفْن,داف
ودفنته	دَفَن-ِ
ودفنتك	دَفَن-ِ
ودفناها	دَفَن-ِ,داف
ودفعنا	دَفْع,دَفَع-َ
ودفعته	دَفَع-َ,دُفْعَة,دَفْعَة
ودفعت	دَفَع-َ
ودغفل	NOTFOUND
ودعيهم	وَدَع-َ,دَعِيّ
ودعوها	دَعّ-َ,وَدَع-َ,دَعا,وَدَّع
ودعوه	دَعْوَة,دَعّ-َ,وَدَع-َ,دَعا,وَدَّع
ودعوني	دَعّ-َ,وَدَع-َ,دَعا,وَدَّع
ودعوت	دَعا
ودعواهما	دَعْوَى,دَعا
ودرهمها	دِرْهَم
ودرهمك	دِرْهَم
ودرعا	دِرْع,دَرَّع
ودخلوا	دَخَل
ودبر	دَبَّر,دَبَر,دُبْر
ودباء	NOTFOUND
ودارين	دار,دارَى,دارّ,دارِي
وداري	دار,دارَى,دارِيّ,دارّ,دارِي
ودارهم	دار,دارّ
ودارت	دار,دارَى
وداخلة	داخِل,داخَل,داخِلَة,داخِلَ
ودابهما	NOTFOUND
ودائعه	وَدِيعَة
وخيطا	خَيْط,خَيَّط
وخيبر	خَيْبَر
وخياشيمه	خَيْشُوم
وخيارهم	خَيْر,خِيار
وخياركم	خَيْر,خِيار
وخيار	خَيْر,خِيار
وخولكم	خَوَّل,خَوَل
وخولف	NOTFOUND
وخولتك	خَوَّل,خَوْلَة
وخولة	خَوَّل,خَوْلَة,خَوَل
وخوفوا	خَوَّف
وخوانه	خَوّان,خائِن,خُوان
وخواتيمهن	خاتام
وخوات	NOTFOUND
وخندق	خَنْدَق
وخموش	خَمْش
وخمة	وَخِم-َ,خَمّ,وَخَم,خُمّ,خَمَّة,وَخِم
وخمار	خَمّار,خُمار,خِمار
وخليلي	خَلِيلِيّ,خَلِيل
وخليل	خَلِيل
وخليط	خَلِيط
وخلوف	NOTFOUND
وخلوت	خَلا
وخلفك	خِلْف,خَلْف,خُلْف,خَلْفَ,خَلَّف,خَلَف
وخلع	خِلْعَة,خَلُع,خَلْع,خَلَّع,خُلْع,خَلَع-َ
وخلص	خالِص,خَلَّص,خَلَص
وخلتهم	خُلَّة,خَلّ,خَلَّة,خال-َ,خَلَّى
وخلته	خُلَّة,خَلَّة,خَلّ,خال-َ,خَلَّى
وخلاد	NOTFOUND
وخفيه	خَفِيّ,خُفْيَة,خُفّ,خَفِيَّة
وخفف	خَفَّف
وخفضه	خَفَّض,خَفْض,خَفَض-ِ
وخفضت	خَفَّض,خَفُض,خَفَض-ِ
وخفت	خَفّ-ِ,خَفَت,خاف-َ,خَفَى-ِ
وخفاف	خَفِيف,خَفاف,خُفّ
وخطوطا	خَطّ
وخطط	خُطَّة,خَطَّط
وخطب	خَطَب,خُطْبَة
وخطايانا	خَطِيئَة
وخطاي	خَطْوَة,خَطّ
وخطاه	خَطا,خَطَّى,خَطْوَة,خاطِئ,خَطّ
وخطام	خِطام
وخطئي	خَطَأ
وخطئ	خَطِئ-َ
وخصوماتكم	NOTFOUND
وخصه	خَصّ,خُصّ
وخصمه	خَصَم-ِ,خَصْم
وخشيش	NOTFOUND
وخشوعهن	خُشُوع
وخشوعها	خُشُوع
وخشبها	خَشَب
وخسفا	خَسَف-ِ,خَسْف
وخزقت	خَزَق-ِ,خَزَّق
وخريم	NOTFOUND
وخرصها	خِرْص,خَرَص
وخرص	خِرْص,خَرَص
وخرشة	NOTFOUND
وخرب	خَرِب,خَرَب-ِ,خَرَّب,خَرِب-َ
وخراب	خَراب
