وامامها	أَمام,إِمام,أَمامَ
واماطتك	أَماط
وامارتها	أَمّار,أَمار,إِمارَة,أَمارَة
واليهودي	يَهُودِيّ
والينهم	والَى,لَيَّن,أَلْيَن,آلَى,أَلان
واليمامة	يَمام
واليدان	يَد
واليان	آلِيّ,والِي,إِلِيان
واليا	آلِيّ,والَى,والِي,آلَى
والويل	وَيْل
والوية	أَلْوَى,لِوَى,لَوَى-ِ,لَوَّى,لِواء
والوليدة	وُلَيْد,وَلِيدَة
والوكت	NOTFOUND
والوفود	وَفْد
والوفد	وَفْد
والوصيلة	وَصِيل
والورس	وَرْس
والوذر	NOTFOUND
والوبر	وَبَر,وَبِر
والوان	لَوْن,أَلْوان
والوالد	والِد
والواقعة	واقِعَة,واقِع
والواحدة	واحِد
والوئيد	وَئِيد
والهيثم	NOTFOUND
والهيئة	هَيْئَة
والهوام	NOTFOUND
والهجرة	هِجْرَة
واله	أَلَّه,لَهِي-َ,والِه,آل,وَلِه-َِ,لَها,أَلْهَى,وَلِي-ِ,إِلٰه,لَهَّى,آلَة
والنوائب	نائِبَة
والنكبة	نَكْبَة
والنكاح	نِكاح
والنقيع	نَقِيع
والنقد	نَقْد
والنقاب	نَقّاب,نِقاب
والنفقات	نَفَقَة
والنفش	نَفَش
والنعم	نِعْم,نِعْمَة
والنعل	نَعْل
والنطاة	NOTFOUND
والنضد	نَضَد,نُضُد
والنضح	نَضْح
والنصر	نَصْر
والنسعة	NOTFOUND
والنذر	نَذْر,نَذِير
والنخلة	نَخْل
والنحلة	نِحْلَة,نَحْل
والنجوم	نَجْم
والنبيان	نَبِيّ
والنبوة	نُبُوَّة
والنباوة	NOTFOUND
والنامصات	NOTFOUND
والنازعات	NOTFOUND
والنائم	نائِم
والمولود	مَوْلُود
والموشومات	NOTFOUND
والمودة	مُودَة,مَوَدَّة
والموتصلة	NOTFOUND
والمواصلة	مُواصَلَة
والمواريث	مِيراث
والمواثيق	مِيثاق
والموءودة	NOTFOUND
والمهدي	مُهْدِي,مُهْدَى,مَهْدِيّ
والمنكر	مُنْكَر,مُنَكَّر,مُنْكِر
والمنقع	مَنْقَع
والمنعة	مَنْعَة
والمنشر	NOTFOUND
والمنذرين	مُنْذِر
والمنتهي	مُنْتَهَى,مُنْتَهِي
والمملوكة	مَمْلُوك
والمكيال	مِكْيَل
والمكذب	NOTFOUND
والمكتوبة	مَكْتُوب
والمقفي	NOTFOUND
والمقدمي	NOTFOUND
والمقارضة	NOTFOUND
والمفسر	مُفَسِّر
والمغيبة	مُغَيَّب,مُغِيب
والمغيبات	مُغَيِّب,مُغَيَّب
والمغنيات	مُغَنِّي
والمغموم	مَغْمُوم
والمعلي	مُعَلَّى
والمعصية	مَعْصِيَة
والمعصورة	مَعْصُور
والمعتصر	NOTFOUND
والمعافاة	مُعافَى,مُعافاة
والمعاصي	مَعْصِيَة
والمضمضة	مَضْمَضَة
والمصور	مُصَوِّر,مُصَوَّر
والمصاريع	مِصْراع
والمشقة	مِشْق,مِشْقَة,مَشَقَّة
والمشرق	مُشْرِق,مَشْرِق
والمشتراة	NOTFOUND
والمشامة	NOTFOUND
والمشاقة	مُشاق
والمسيح	مُسَيَّح,مَسِيح
والمسكنة	مَسْكَنَة,مُسَكِّن
والمسك	مَسْك,لَمَس,مِسْك
والمسربة	NOTFOUND
والمستمعة	مُسْتَمِع
والمستقرض	NOTFOUND
والمستقاة	NOTFOUND
والمس	مَسّ,لَمَس
والمزمل	NOTFOUND
والمزمار	مِزْمار
والمزبلة	مَزْبَلَة
والمرفوع	مَرْفُوع
والمرجان	مَرْجان
والمرتد	مُرْتَدّ
والمراغ	NOTFOUND
والمراسيل	NOTFOUND
والمذهب	مَذْهَب,مُذَهَّب
والمدهن	مُدْهِن
والمدمن	مُدْمِن
والمدثر	NOTFOUND
والمدابرة	NOTFOUND
والمختلعات	NOTFOUND
والمختار	مُخْتار
والمخباة	NOTFOUND
والمخافتة	NOTFOUND
والمخاط	مُخاط
والمحيا	مُحَيّا
والمحتكر	مُحْتَكِر
والمحايض	NOTFOUND
والمجوسي	مَجُوسِيّ
والمجمر	NOTFOUND
والمجل	NOTFOUND
والمجبور	مَجْبُور
والمجاهد	مُجاهِد
والمتوفون	مُتَوَفَّى
والمتوشمات	NOTFOUND
والمتوحش	مُتَوَحِّش
والمتفيهقون	مُتَفَيْهِق
والمتضمخ	NOTFOUND
والمتشدق	مُتَشَدِّق
والمتشبهات	NOTFOUND
والمتسلط	مُتَسَلِّط
والمبير	NOTFOUND
والمبتاعة	مُبْتاع
والمباشرة	مُباشَرَة,مُباشِر
والمارق	مارِق
والمائدة	مائِدَة
والمائد	مائِد
والماءان	NOTFOUND
والمؤمنة	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
والمؤلفة	مُؤَلِّف,مُؤَلَّف
والمؤخر	مُؤَخَّر,مُؤْخِر
والم	أَلَّم,أَلَمّ,آلَم,لام,أَلَم,لَمّ,أَلام,أَلِم-َ
واللين	لِين,لَيِّن
والليلتين	لَيْلَة
والليثي	لَيْثِيّ
واللو	NOTFOUND
واللقمة	لُقْمَة
واللفظلزهير	NOTFOUND
واللفظلابي	NOTFOUND
واللطف	لُطْف
واللذان	الَّذِي
واللتين	الَّذِي
واللبستين	NOTFOUND
واللبسة	لِبْسَة,لُبْسَة
واللام	لام
واللاحد	NOTFOUND
واللاتي	الَّذِي
والكيس	كَيْس,كَيِّس,كِيس,أَكْيَس
والكي	كَيّ
والكور	كُورَة,كُور
والكمين	كَمِين
والكمة	كَمَه,لَكَم,أَكْمَه
والكماة	كَمِيّ
والكفارة	كَفّارَة
والكف	كَفّ
والكظامة	NOTFOUND
والكشف	كَشْف
والكسير	كَسِير
والكست	NOTFOUND
والكديد	NOTFOUND
والكثير	كَثِير
والكثر	كُثْر
والكتف	كِتاف,أَكْتَف,كِتْف,كَتِف
والكتابة	كِتابَة
والكتابان	كِتاب
والكابة	NOTFOUND
والقيناه	أَلْقَى
والقيراطان	قِيراط
والقيراط	قِيراط
والقير	قِير
والقيام	قِيام
والقوس	قَوْس
والقواعد	قاعِدَة
والقوارير	قارُورَة
والقنوين	NOTFOUND
والقناع	قِناع
والقمقم	قُمْقُم
والقفازين	قُفّاز
والقفا	قَفاً
والقعنبي	NOTFOUND
والقعقاع	NOTFOUND
والقضاء	قَضاء
والقضئ	NOTFOUND
والقصور	قُصُور,قَصْر
والقصد	قَصْد
والقصارة	قِصارَة
والقسمة	قَسَمَة,قِسْمَة
والقسامة	قَسامَة
والقزع	قَزَع
والقرن	قِرْن,قَرْن,قُرْنَة
والقرض	قَرْض
والقدرية	قَدَرِيّ,قَدَرِيَّة
والقتلي	قَتِيل
والقتل	قَتْل
والقترة	قَتَرَة
والقتات	قَتّات
والقبيل	قَبِيل
والقبور	قَبْر
والقبائل	قَبِيلَة,قَبائِل
والقاها	لَقِي-َ,أَلَق-ِ,أَلْقَى
والقاه	لَقِي-َ,أَلَق-ِ,أَلْقَى
والقانع	قانِع
والقافور	NOTFOUND
والفوز	فَوْز
والفواحش	فاحِشَة
والفم	فَم
والفضيل	فَضِيل
والفسوق	فُسُوق
والفروة	فَرْوَة
والفرقة	فُرْقَة,فِرْقَة
والفرعة	NOTFOUND
والفرسخين	فَرْسَخ
والفراسي	NOTFOUND
والفرار	فَرّار,فِرار
والفرائع	NOTFOUND
والفرائض	فَرِيضَة
والفدادين	فَدّان
والفحش	فُحْش
والفتنة	أَلْفَت,أَلَّف,أَلِف-َ,فِتْنَة,آلَف,والَف
والفتاة	أَلْفَت,آلِف,أَلَّف,أَلِف-َ,أَلْفَى,فَتاة,آلَف,والَف
والفال	NOTFOUND
والفارسي	فارِسِيّ
والفاحشة	فاحِش,فاحِشَة
والغيل	غِيل,غَيْل
والغيال	NOTFOUND
والغزوفقال	NOTFOUND
والغزل	غَزَل,غَزْل
والغرر	NOTFOUND
والغربي	غَرْبِيّ
والغداة	غَداة
والغبيراء	NOTFOUND
والغارمين	NOTFOUND
والعيافة	NOTFOUND
والعنبر	عَنْبَر
والعن	لَعَن-َ
والعمري	عُمْرِيّ,عُمَرِيّ
والعمتين	عَمَّة
والعمار	عَمّار
والعمائم	عِمامَة
والعلماء	عالِم
والعلابي	NOTFOUND
والعكار	عَكّار
والعقدي	عَقَدِيّ
والعقب	عُقْب
والعقالان	عِقال
والعق	لَعِق-َ,عَقّ
والعفو	عَفْو
والعفة	عَفّ,عِفَّة
والعظم	عُظْم,عَظْم
والعطية	عَطِيَّة
والعطش	عَطَش,عَطِش
والعضلة	عَضَلَة,عَضِل
والعشير	عَشِير
والعشر	عُشْر,عَشَر,عَشْر
والعزيمة	عَزِيمَة
والعرية	عُرْي
والعرفط	NOTFOUND
والعرض	عَرَض,عَرْض,عِرْض
والعرش	عَرْش
والعرس	عُرْس
والعرب	عَرَبِيّ
والعرايا	عُرْيان
والعذي	عَذِيّ
والعذاب	عَذاب
والعدوي	عُدْوَى,عَدْوَى
والعدة	عُدَّة,عِدَة,عِدَّة
والعدالة	عَدالَة
والعداء	عَدّاء,عَداء
والعجين	عَجِين
والعجلة	عَجَلَة
والعجفاء	أَعْجَف
والعج	عَجّ,لَعَج-َ
والعتق	عِتْق
والعبادة	عِبادَة
والعباد	عَبّاد,عابِد,عِباد
والعامين	عامّ,عام
والعاملين	عامِل
والعاقب	عاقِب
والعاشر	عاشِر
والعاديات	عادِي,عادِيّ,عادِيَة
والعائل	عائِل
والظهر	ظَهْر,ظُهْر
والظنين	ظَنِين
والظلمة	ظالِم,ظُلْمَة
والظلم	ظُلْم
والظعن	ظَعْن
والطول	طَوْل,طُول
والطهور	طَهُور
والطنفسة	طُنْفُسَة
والطلب	طَلَب
والطفيل	NOTFOUND
والطفهم	أَلْطَف,لَطَّف
والطفاوي	NOTFOUND
والطست	طَسْت
والطريق	طَرِيق
والطحال	طُحال,طِحال
والضن	ضَنّ
والضلالة	ضَلال
والضفدع	ضَفْدَع
والصواغون	NOTFOUND
والصواعق	صاعِقَة
والصنابح	NOTFOUND
والصماء	أَصَمّ
والصقور	صَقْر
والصفصف	صَفْصَف
والصعب	صَعْب
والصرف	صِرْف,صَرْف
والصداق	صَداق
والصخرة	صَخْر
والصحفة	صَحْفَة
والصحة	صِحَّة
والصبي	صَبِيّ
والصبوح	صَبُوح
والصبب	صَبَب
والصاروج	NOTFOUND
والشيخة	شَيْخَة
والشياطين	شَيْطان
والشوكة	شَوْكَة,شَوِك
والشهود	شُهُود,شاهِد
والشهادات	شَهادَة
والشهاب	شِهاب
والشنظير	NOTFOUND
والشمائل	شَمْلِيَّة
والشك	شَكّ,شِيك
والشفعة	شُفْعَة
والشفرة	شِفْرَة,شَفْرَة
والشعراء	أَشْعَر,شاعِر
والشعث	شَعِث,شَعْث
والشعاب	شِعْب,شُعْبَة
والشرك	شِرْك,شَرَك
والشرقاء	NOTFOUND
والشرف	شَرَف
والشرخ	شَرْخ
والشدة	شِدَّة
والشحناء	شَحْناء
والشثن	NOTFOUND
والشان	NOTFOUND
والشامية	شامِيّ
والشارف	شارِف
والشارب	شارِب
والشاتين	شاة
والشاء	NOTFOUND
والشؤم	شُؤْم
والسوء	سُوء
والسهر	سُهَر,سَهَر
والسني	سَنِيّ,أَلَّس,لِسان,سُنِّيّ,سَنَى,وَلَس-ِ,لاس,والَس,لَسَّن,أَلْسَن
والسنوت	NOTFOUND
والسندس	سُنْدُس
والسنا	لَيْسَ,أَلَّس,لِسان,سَنَى,وَلَس-ِ,سَنا,لاس,أَلْسَن,لَسَّن,والَس
والسن	أَلَّس,لَيْسَ,سِنّ,لِسان,سَنّ,والَس,أَلْسَن,لَسَّن,لَسِن-َ
والسمت	سَمْت
والسلوي	سَلْوَى
والسلطان	سُلْطان
والسلسلة	سِلْسِلَة
والسلالم	سُلَّم
والسقط	سَقْط,سُقْط,سَقَط
والسعيد	سَعِيد
والسعوط	سَعُوط
والسرية	سِرِّيّ,سَرِيّ,سُرِّيَّة,سِرِّيَّة,سَرِيَّة,سُرِّيّ
والسرقة	سَرِقَة,سارِق
والسراويل	سِرْوال
والسدر	سِدْر
والسختيان	سُخْتِيان
والسحور	سِحْر,سَحُور,سَحْر
والسجودوعن	NOTFOUND
والسجدتان	سَجْدَة
والست	أَلَّس,لَيْسَ,سِتّ,والَس
والسبي	سَبْي,سَبِيّ
والسبعة	سَبْع
والسارقة	سارِق
والسارق	سارِق
والساجد	ساجِد
والسائلين	سائِل
والزينة	زَيْنَة,زِينَة
والزيادة	زِيادَة
والزوراء	أَزْوَر
والزور	زَوَر,أَزْوَر,زُور,زَوْر
والزواني	زانِيَة
والزموا	أَلْزَم
والزمهم	لَزِم-َ,أَلْزَم
والزمرة	زُمْرَة
والزمر	زُمْرَة,زَمْر
والزلازل	زَلْزَلَة
والزحام	زِحام
والزبد	زُبْدَة,زُبْد,زَبَد
والزاني	زانِي
والريف	رِيف
والريش	رِيش
والريبة	رِيبَة
والروثة	رَوْث
والرميصاء	NOTFOUND
والركوة	رَكْوَة
والركعتين	رَكْعَة
والركعة	رَكْعَة
والركاز	رِكاز
والرقم	رَقْم
والرقاع	رَقّاع,رُقْعَة
والرفع	رَفْع
والرعد	رَعْد
والرضعتان	NOTFOUND
والرضا	رِضاً
والرشك	NOTFOUND
والرشاء	رِشاء
والرسل	رِسْل,رَسْل,رَسُول
والرجال	رَجُل
والربا	رِبا
والرب	رُبّ,رَبّ
والراهب	راهِب
والراسخون	راسِخ
والراجل	راجِل
والذرية	ذُرِّيّ,ذَرِّيّ,ذُرِّيَّة
والذبيحة	ذَبِيح,ذَبِيحَة
والذام	NOTFOUND
والديوث	دَيُّوث
والديار	دار,دَيّار
والدواء	دَواء,دِواء
والدل	دَلّ
والدقيق	دَقِيق
والدعوة	دَعْوَة
والدرهمين	دِرْهَم
والدرع	دِرْع
والدر	دَرّ,دُرّ
والدثور	NOTFOUND
والدتي	والِد
والدبار	NOTFOUND
والداه	والِد,أَلَدّ
والداعية	داعِي,داعِيَة
والداعي	داعِي
والدات	والِد
والخيبة	خَيْبَة
والخواتم	خاتَم
والخميل	NOTFOUND
والخمسون	خَمْسُون
والخمرة	خَمْرَة
والخليفتين	خَلِيفَة
والخلفاء	خَلِيفَة
والخلة	خَلَّة,خُلَّة
والخلافة	خِلافَة
والخفان	خُفّان,خُفّ
والخفاف	خَفِيف,خَفاف,خُفّ
والخف	خُفّ
والخطفتان	خَطْفَة
والخضر	خَضِر,خُضْرَة,خُضْر
والخصاصية	NOTFOUND
والخزي	خَزَى,خِزْي
والخريت	خِرِّيت
والخرقاء	أَخْرَق
والخرف	خَرَف
والخدم	خَدَم
والخبل	خَبْل
والخبط	خَبْط,لَخْبَط
والخائنة	خائِن
والخائن	خائِن
والحيضة	حَيْضَة
والحيرة	حَيْرَة
والحيتان	حَيّ,حَيَّة,حُوت
والحيات	حَيَّة
والحوائط	حائِط
والحميدات	NOTFOUND
والحمق	حُمْق,أَحْمَق
والحمرة	حُمْرَة
والحمة	حُمَة,حَمَّة,حُمَّة,لَحَم,لَحِم-َ,لَحَّم
والحلواء	حَلْواء
والحلو	حُلْو
والحلقة	حَلْقَة
والحلال	حَلال
والحلاق	حَلّاق
والحقها	أَلْحَق,لَحِق-َ
والحقه	أَلْحَق,حُقَّة,لَحِق-َ
والحقا	أَلْحَق
والحصون	حِصْن
والحصاة	حَصاة
والحشف	حَشَف
والحش	NOTFOUND
والحسرة	حَسِر,حَسْرَة
والحس	لَحَس-َ,لَحِس-َ,حِسّ,حَسّ
والحزب	حِزْب
والحرف	حَرْف,حِرْفَة
والحرج	حَرَج,حَرِج
والحديثان	حَدِيث
والحجم	حَجْم
والحجام	حَجّام
والحجاز	حِجاز
والحبلي	حُبْلَى
والحامل	حامِل
والحامض	حامِض
والحام	NOTFOUND
والحال	حال
والحاقة	لَحَق,إِلْحاق
والحاشر	NOTFOUND
والح	لَحّ-َ,أَلَحّ,لَحا,لاح,لَحَى,أَلاح,لَحْي
والجيف	جِيفَة
والجيب	جِيْب,جَيْب
والجواظ	NOTFOUND
والجواري	جارِيَة
والجوار	جِوار
والجهدمة	NOTFOUND
والجنون	جُنُون
والجناحان	جَناح
والجماجم	جُمْجُمَة
والجعد	جَعْد
والجرس	جَرْس,جَرَس
والجرحي	جَرِيح
والجراح	جُرْح,جَرّاح
والجذوعة	NOTFOUND
والجدي	جَدْي,جِدِّيّ
والجدال	جَدّال,جِدال
والجحفة	NOTFOUND
والجبهة	جَبْهَة
والجبار	جَبّار
والجاهم	NOTFOUND
والجانب	جانِب
والجالس	جالِس
والجافي	جافِي
والجائفة	NOTFOUND
والجؤار	جُؤار
والثوبان	ثَوْب
والثوب	ثَوْب
والثني	ثَنْي,لاث,ثِنْي
والثنتين	ثُنَّة
والثمار	ثَمَر
والثلاثمائة	ثَلاثمائَة
والثريد	ثَرِيد
والثرثار	ثَرْثار
والثبطة	NOTFOUND
والثامنة	ثامِن
والثاقب	ثاقِب
والثاء	ثاء
والتوقيت	تَوْقِيت
والتنور	تَنُّور
والتنعم	NOTFOUND
والتمحيص	تَمْحِيص
والتمتع	تَمَتُّع
والتمادح	NOTFOUND
والتلقي	تَلَقِّي
والتلبية	تَلْبِيَة
والتكلف	تَكَلُّف
والتكافؤ	تَكافُؤ
والتقلع	NOTFOUND
والتفحش	NOTFOUND
والتفت	ٱِلْتَفَت,ٱِلْتَفّ
والتعمق	تَعَمُّق
والتعظيم	تَعْظِيم
والتعطر	NOTFOUND
والتعريس	تَعْرِيس
والتعري	تَعَرِّي
والتعدي	تَعَدِّي
والتطبيق	تَطْبِيق
والتصفيح	تَصْفِيح
والتصرية	NOTFOUND
والتشديد	تَشْدِيد
والتسع	تِسْع,تُسْع
والتسبيد	NOTFOUND
والتساخين	NOTFOUND
والتردي	تَرَدِّي
والترتيل	تَرْتِيل
والتراب	تُراب
والتحول	تَحَوُّل
والتحريج	تَحْرِيج
والتحاسد	NOTFOUND
والتجنح	NOTFOUND
والتجارة	تِجارَة
والتبختر	تَبَخْتُر
والتامين	تَأْمِين,تامّ
والتاسعة	تاسِع
والتابوه	NOTFOUND
والتاء	تاء
والت	والت,والَى,آل,أَلا,لَتّ,آلَى
والبلة	أَبْلَه,بَلَه,بِلَّة
والبلابل	بُلْبُل,بَلْبَلَة
والبقية	بَقِيَّة
والبقل	بَقْل
والبقاع	بِقاع
والبغي	بَغْي,بَغِيّ
والبغض	بُغْض
والبعل	بَعْل
والبعاقيب	NOTFOUND
والبطون	بُطُون
والبطن	بَطْن
والبط	بَطّ,لَبَط-ِ,لَبَط
والبضع	بَضْع,بِضْع
والبشري	بُشْرَى,بَشَرِيّ,بُشْرَة
والبشر	بُشْر,بِشْر,بَشَر
والبسوها	أَلْبَس
والبسها	لَبَّس,لَبِس-َ,أَلْبَس
والبسنا	لَبَّس,لَبِس-َ,أَلْبَس
والبس	لَبَّس,لَبِس-َ,أَلْبَس
والبزر	بِزْر
والبرية	بَرِيَّة,بَرِّيَّة,بَرِّيّ
والبرص	بُرْص,بَرَص
والبرانس	بُرْنُس,بَرانِس
والبراذين	بِرْذَوْن
والبديهة	بَدِيهَة
والبدنة	NOTFOUND
والبة	لاب,أَلَب,لَبّ,أَلَّب,لَبَّى
والايلاء	إِيلاء
والايسر	أَيْسَر
والايدي	يَد
والايتان	آيَة
والاوسق	NOTFOUND
والاوساق	وَسْق
والاوجاع	وَجَع
والاهواء	هَوَى,هَواء
والاهدب	أَهْدَب
والانواء	نَوْء
والانك	آنُك,أَلان
والانثيين	أُنْثَى
والاناء	نَأْي,إِناء,أَنَى
والامير	أَمِير
والامم	أُمَّة
والامرين	أَمْر,أَمَرّ,آمِر
والامثال	مِثْل,مَثَل
والامة	أُمَّة,أَمَة,أَلَم,أَلام
والالوة	أَلْوَة
والاله	إِلٰه,آلَة
والالتفات	ٱِلْتِفات
والاكواب	كوان
والاكلة	آكِل,آكِلَة,أَكْلَة,إِكْلِيل
والاكثر	أَكْثَر
والاكتاف	كَتِف,كِتْف
والاقربين	أَقْرَب
والاقبال	إِقْبال
والافلاس	إِفْلاس
والافاعي	أَفْعَى
والاغر	أَغَرّ
والاغتسال	ٱِغْتِسال
والاعمال	عَمَل
والاعراف	عُرْف
والاعراض	عَرَض,إِعْراض,عِرْض
والاعجمي	أَعْجَمِيّ
والاظفار	ظُفُر
والاصمعي	NOTFOUND
والاصلاح	إِصْلاح
والاصل	أَصْل,أَصَلَة
والاصفر	أَصْفَر
والاصابع	إِصْبَع
والاشقاه	NOTFOUND
والاشعريون	NOTFOUND
والاشعرون	NOTFOUND
والاشتراء	ٱِشْتِراء
والاسنان	سِنّ,آسِن,أَسَنّ
والاسفل	أَسْفَل
والاسفار	سَفَر,سِفْر
والاستسقاء	ٱِسْتِسْقاء
والاساود	NOTFOUND
والاسامات	NOTFOUND
والاسارير	أَسارِير
والازلام	زَلَم
والازر	أَزْر,إِزار
والارواح	رُوح,رِيح
والارش	أَرْش
والارجل	رِجْل
والاربعين	أَرْبَعُون,أَرْبَع
والاربعاء	أَرْبِعاء
والاذنان	آذِن,إِذْن,أُذُن
والادعج	أَدْعَج
والاداء	أَداء
والاخوات	أُخْت
والاخذ	آخِذ,أَخْذ
والاختصار	ٱِخْتِصار
والاختتان	NOTFOUND
والاخت	أُخْت
والاحتلام	NOTFOUND
والاجل	أَجْل,آجِل,أَجَلّ,أَجَل
والاجتهاد	ٱِجْتِهاد
والاجام	أَجَمَة
والاثرة	أَثِر
والابواب	باب
والابواء	NOTFOUND
والابتياع	ٱِبْتِياع
واكون	كان,كَوَّن
واكمل	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
واكلته	آكِل,أَكَّل,آكَل,كَلَت-ِ,أَكَلّ,أَكَل,واكَل,آكِلَة,أَكْلَة,إِكْلِيل
واكفيه	كَفَى-ِ
واكفي	كَفّ,كَفَى-ِ
واكفن	كَفَن-ِ,كَفَّن
واكفر	كَفَر-ِ,كَفَّر,أَكْفَر
واكفالها	NOTFOUND
واكفاء	كَفْء
واكشف	كَشَف-ِ
واكسية	كِساء,أَكْسَى
واكسوهن	أَكْسَى,كَسا
واكسوه	أَكْسَى,كَسا
واكسها	وَكَس-ِ,أَكْسَى,كَسِي-َ,كَسا
واكسروا	NOTFOUND
واكسر	كَسَر-ِ,كَسَّر
واكريه	كِراء,كَرَى-ِ,أَكْرَى
واكرموهم	أَكْرَم
واكرمنا	أَكْرَم,كَرَّم
واكرمتك	أَكْرَم
واكثرها	أَكْثَر,كَثَّر
واكتنفنا	ٱِكْتَنَف
واكتسوا	ٱِكْتَسَى
واكتتبت	ٱِكْتَتَب
واكاويبه	NOTFOUND
واكاسياه	NOTFOUND
واكاثر	كاثَر
واقوي	قَوَّى,قَوِي-َ,أَقْوَى
واقولها	قال
واقوام	قَوْم
واقمنا	قام,قَمّ,أَقام
واقلبنا	قَلَب-ِ,قَلَّب
واقعده	قَعَد,أَقْعَد,قَعَّد,قَعُود
واقعة	واقِعَة,وَقَع-َ,أَقْعَى,واقِع
واقطعكم	قَطَع-َ,قَطَّع,أَقْطَع
واقطان	قُطْن
واقضي	قَضَّى,قَضَى-ِ
واقضوه	NOTFOUND
واقضانا	NOTFOUND
واقصي	قَصِي-َ,أَقْصَى
واقصروا	أَقْصَر
واقسمت	أَقْسَم
واقروا	أَقَرّ
واقرطهن	قَرَط,قَرَّط
واقرصيه	NOTFOUND
واقرت	أَقَرّ,قَرَت-ِ
واقربكم	أَقْرَب,قَرَّب,قَرِب-َ,قَرُب
واقراته	NOTFOUND
واقرئوه	NOTFOUND
واقتلوهم	NOTFOUND
واقتلوها	NOTFOUND
واقتلوه	NOTFOUND
واقتلهم	قَتَّل,قَتَل
واقتلها	قَتَل,قَتَّل
واقتل	قَتَّل,قَتَل
واقتصروا	ٱِقْتَصَر
واقترب	ٱِقْتَرَب
واقتدوا	ٱِقْتَدَى,ٱِقْتَدّ
واقبلا	أَقْبَل
واقبحها	قَبَّح,أَقْبَح
واقباله	إِقْبال
واقاموا	أَقام
واقامته	إِقامَة,أَقام
واقامتك	إِقامَة,أَقام
وافوا	وافَى
وافلتت	أَفْلَت
وافلت	فَلَت-ِ,أَفْلَت,أَفَل
وافك	إِفْك,وَفَى-ِ,أَفْك,أَفَك-ِ,فَكّ
وافقني	أَفاق,فاق,وافَق
وافعله	فَعَل-َ,أَفْعَل
وافظ	NOTFOUND
وافضلوا	أَفْضَل
وافضلها	أَفْضَل,فَضَّل
وافضله	أَفْضَل,فَضَّل
وافشي	أَفْشَى
وافشت	أَفْشَى
وافسر	فَسَّر
وافسح	فَسُح,فَسَّح,فَسَح-َ,أَفْسَح
وافساد	إِفْساد
وافزع	فَزِع-َ,فَزَّع,أَفْزَع
وافرغت	أَفْرَغ
وافرغ	فَرَّغ,فَرِغ-َ,فَرَغ,أَفْرَغ
