واستقوا	ٱِسْتَقَى
واستقرئ	ٱِسْتَقْرَأ
واستقبلونا	ٱِسْتَقْبَل
واستقبلت	ٱِسْتَقْبَل
واستقباله	ٱِسْتِقْبال
واستقاد	ٱِسْتَقاد
واستفتي	ٱِسْتَفْتَى
واستفتته	ٱِسْتَفْتَى
واستغفروا	ٱِسْتَغْفَر
واستغفراه	ٱِسْتَغْفَر
واستعن	ٱِسْتَعان
واستعمله	ٱِسْتَعْمَل
واستعصوا	ٱِسْتَعْصَى
واستعرضها	ٱِسْتَعْرَض
واستعان	ٱِسْتَعان
واستظهره	ٱِسْتَظْهَر
واستصحوا	NOTFOUND
واستشفي	ٱِسْتَشْفَى
واستزاده	ٱِسْتِزادَة,ٱِسْتَزاد
واسترجع	ٱِسْتَرْجَع
واستذكروا	ٱِسْتَذْكَر
واستذفري	NOTFOUND
واستداروا	ٱِسْتَدار
واستخلفني	ٱِسْتَخْلَف
واستخفافا	ٱِسْتِخْفاف
واستحيوا	ٱِسْتَحْيَى
واستحمقت	ٱِسْتَحْمَق
واستحلوا	ٱِسْتَحَلّ,ٱِسْتَحْلَى
واستحلال	NOTFOUND
واستحبوا	ٱِسْتَحَبّ
واستحب	ٱِسْتَحَبّ
واستجب	ٱِسْتَجاب
واستثنوا	ٱِسْتَثْنَى
واستتري	NOTFOUND
واستترت	ٱِسْتَتَر
واستتبعه	ٱِسْتَتْبَع
واستارها	سِتْر
واستئخار	NOTFOUND
واسبغ	أَسْبَغ,سَبَغ-َُ
واسبع	سَبْع,سَبَّع
واسباط	سِبْط
واساليني	NOTFOUND
واسالوا	أَسال
واسالكه	NOTFOUND
واسارير	أَسارِير
واسارقه	سارَق
واساء	أَساء
وازي	آزَى,وازَى-ِ,زَيَّى,أَزّ
وازوي	زَوَى-ِ,زَوَّى
وازواج	زَوْج
وازهد	زَهَّد,زَهُد,زَهَد-َ
وازكيه	زَكَّى,أَزْكَى
وازكيك	زَكَّى,أَزْكَى
وازكاها	أَزْكَى
وازرره	زَرَّر,زَرّ
وازدحم	ٱِزْدَحَم
وازت	آزَى,وازَى-ِ,أَزّ
واريه	آرِيّ,وَرَى-ِ,أَري
واريشها	راش,رَيَّش
واريحا	أَرِيحا
واريته	آرِيّ,وارَى
واريت	وارَى
واروينا	أَرْوَى,رَوَى-ِ,رَوَّى
واروانا	أَرْوَى
وارواك	أَرْوَى
وارهنه	رَهَن-َ,أَرْهَن
وارني	رَنَّى,رَأَى-َ,أَرْنَى,وَرَى-ِ
واركبكم	رَكِب-َ,رَكَّب,أَرْكَب
وارقبه	رَقَب
وارقائنا	رَقِيق
وارفعني	رَفَع-َ,رَفَّع
