لينتعلهما	ٱِنْتَعَل
لينتبه	ٱِنْتاب,ٱِنْتَبَه
لينبه	ناب,نَبا,أَنْبَه,نَبُه,أَناب,نَبَّه,نَبَه,نَبِه-َ
لينبعث	ٱِنْبَعَث
ليمنعني	مَنَع
ليملي	مَلَّى,أَمْلَى
ليمشي	أَمْشَى,مَشَّى,مَشَى-ِ
ليمشط	مَشَط-ُِ,مَشَّط
ليمس	مَسَى,مَسَّى,أَمْسَى,وَمَس-ِ,مَسّ-َ,ماس-ِ
ليمرون	NOTFOUND
ليمر	مار,مار-ِ,أَمَرّ,مَرّ,أَمار
ليماري	مارَى
ليلها	وَلِه-َِ,وَلِي-ِ,لَيْل
ليلقي	لَقِي-َ,أَلْقَى
ليلعننكم	NOTFOUND
ليلطمها	لَطَم-َ
ليلطمنه	لَطَم-َ
ليلدك	وَلَد-ِ,لَدّ
ليلحق	أَلْحَق,لَحِق-َ
ليكن	كَنَى-ِ,كَنا,لَيّ,كَنَّى,كَنّ-ِ,كان,أَكَنّ
ليكلمه	كَلَّم
ليكلمني	كَلَّم
ليكفن	وَكَف-ِ,كَفَن-ِ,كَفَّن
ليكرم	أَكْرَم,كَرَّم,كَرُم
ليكتسبوا	ٱِكْتَسَب
ليكبر	كَبَّر,كَبَر,أَكْبَر
ليقولوا	قال
ليقم	قام,قَمّ,أَقام
ليقفن	وَقَف-ِ
ليقعد	قَعَد,أَقْعَد,قَعَّد
ليقطعها	قَطَع-َ,قَطَّع,أَقْطَع
ليقطعن	قَطَع-َ,قَطَّع,أَقْطَع
ليقضيه	قَضَى-ِ,قَضَّى
ليقرون	قَرا
ليقرهم	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
ليقرا	أَقَرّ,قَرّ-َِ,وَقَر-ِ
ليقتلوهم	قَتَّل,قَتَل
ليقتطعن	ٱِقْتَطَع
ليقتص	ٱِقْتَصّ
ليقترفوا	ٱِقْتَرَف
ليقتدي	ٱِقْتَدَى
ليق	لَيْق,وَقَى-ِ,لِيقَة
ليفي	لِيفِي,وَفَى-ِ,لِيفِيّ,لِيف
ليفوح	فاح
ليفقا	وَفَق-ِ
ليفعل	فَعَل-َ
ليفتح	فَتَح-َ
ليغيث	أَغاث,غاث-ِ
ليغلي	غَلَّى,غَلا,أَغْلَى,غَلَى-ِ
ليغضب	غَضِب-َ,أَغْضَب
ليغشي	غَشِي-َ,أَغْشَى,غَشا,غَشَّى
ليغرب	أَغْرَب,غَرَّب,غَرَب
ليغتسل	ٱِغْتَسَل
ليعيش	عَيَّش,أَعاش,عاش
ليعملوا	عَمِل-َ,أَعْمَل
ليعلمهم	أَعْلَم,عَلِم-َ,عَلَّم
ليعلمنا	أَعْلَم,عَلِم-َ,عَلْمَن,عَلَّم
ليعظم	عَظُم,أَعْظَم,عَظَّم
ليعطي	أَعْطَى
ليعز	عَزَى-ِ,عَزا,عَزَّى,أَعَزّ,عَزّ-ِ,عاز,عَزِي-َ
ليعرها	عار-َ,عَرّ,عَرَّى,عَرا,أَعار,عار-ِ,عَرِي-َ
ليعذر	أَعْذَر,عَذَر-ِ
ليعدلوا	عَدَل-ِ,عَدَّل
ليعد	عَدّ,عَدَّى,أَعْدَى,أَعاد,عَدا,عاد,وَعَد-ِ,أَعَدّ
ليعجب	عَجِب-َ,أَعْجَب,عَجَّب
ليعتمون	NOTFOUND
ليعافيهم	عافَى
ليظهره	أَظْهَر,ظَهَر-َ,ظَهَّر
ليطير	طَيَّر,طار-ِ
ليطيب	طاب-ِ,طَيَّب,أَطاب
ليطول	طال,طَوَّل
ليطلع	أَطْلَع,ٱِطَّلَع,طَلَع
ليطغي	طَغَى-َ,طَغا
ليطعنها	طَعَن-َ,أَطاع,طاع
ليطعمها	أَطْعَم,طَعَّم,طَعِم-َ
ليطعمني	أَطْعَم,طَعَّم,طَعِم-َ
ليطرحها	طَرَّح,طَرَح-َ,ٱِطَّرَح
ليطاطئ	NOTFOUND
ليطا	NOTFOUND
ليضيفه	أَضاف
ليضغطون	NOTFOUND
ليضربني	ضَرَب,أَضْرَب,ضَرَّب
ليضربن	ضَرَب,أَضْرَب,ضَرَّب
ليضحي	أَضْحَى,ضَحَّى,ضَحِي-َ
ليصيبه	أَصاب
ليصيبني	أَصاب
ليصيبن	NOTFOUND
ليصنعوا	صَنَّع,صَنَع-َ
ليصنع	صَنَّع,صَنَع-َ
ليصم	أَصْمَى,صَمّ,وَصَم-ِ,صام,أَصَمّ
ليصلون	NOTFOUND
ليصطلوا	ٱِصْطَلَى
ليصرخون	NOTFOUND
ليصب	صَبّ,وَصَب-ِ,أَصاب,يَصْب,صَبِي-َ,صَبا,صَبّ-َ,صَبَّى
ليشير	أَشار
ليشهدوا	شَهِد-َ,أَشْهَد
ليشرق	شَرِق-َ,أَشْرَق,شَرَق
ليشرف	شَرَّف,أَشْرَف,شَرُف
ليشرب	أَشْرَب,شَرِب-َ,شَرَّب
ليشتري	ٱِشْتَرَى
ليشتد	ٱِشْتَدّ
ليسميها	سَمَّى,أَسْمَى
ليسمعوا	سَمَّع,سَمِع-َ,أَسْمَع
ليسمعنا	سَمَّع,سَمِع-َ,أَسْمَع
ليسقيه	سَقَى-ِ,أَسْقَى
ليسقين	سَقَى-ِ,أَسْقَى
ليسحب	سَحَب-َ
ليستنفرهم	NOTFOUND
ليستنج	ٱِسْتَنْجَى
ليستنثر	NOTFOUND
ليستن	لَيِس-َ,ٱِسْتَنّ
ليستكثر	ٱِسْتَكْثَر
ليستقبل	ٱِسْتَقْبَل
ليستره	سَتَر,سَتَّر
ليستخفوا	ٱِسْتَخَفّ,ٱِسْتَخْفَى
ليستثبت	ٱِسْتَثْبَت
ليستتر	ٱِسْتَتَر
ليستاذنكم	NOTFOUND
ليستاذن	NOTFOUND
ليستاخر	NOTFOUND
ليسبي	سَبَى-ِ
ليسالني	NOTFOUND
ليسالنكم	NOTFOUND
ليسالنا	NOTFOUND
ليسا	لَيِس-َ,لَيْسَ,أَلْيَس
ليزيلوا	أَزال
ليزداد	ٱِزْداد
ليرينا	وَرَى-ِ,ران-ِ
ليريحني	رَيَّح,أَراح
ليرون	NOTFOUND
ليروحني	راح,رَوَّح,أَرْوَح
ليركع	رَكَّع,رَكَع-َ,أَرْكَع
ليرفعن	رَفَع-َ,رَفَّع
ليرعي	أَرْعَى,يَرَع,رَعَى-َ
ليرضيها	أَرْضَى,رَضَّى
ليردوه	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
ليردوا	رَدِي-َ,رَدَّى,رَدّ,أَرْدَى,وَرَد-ِ
ليردني	رَدِي-َ,راد,رَدَّى,رَدَن-ِ,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
ليرد	رَدِي-َ,راد,رَدَّى,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
ليرح	راح,أَراح
ليرجم	رَجَّم,رَجَم
ليرجعها	أَرْجَع,رَجَّع,رَجَع-ِ
ليراهم	رَأَى-َ
ليراها	رَأَى-َ
ليراغم	NOTFOUND
ليذهبن	أَذْهَب,ذَهَب-َ,ذَهَّب
ليذكروا	ذَكَر,أَذْكَر,ذَكَّر
ليذرها	ذَرَى-ِ,ذَرا,أَذْرَى,ذَرّ,ذَرَّى,وَذِر-َ
ليذبحه	ذَبَّح,ذَبَح-َ
ليدور	دَوَّر,دار
ليده	دَهِي-َ,دَهَّى,دَهَى-َ,يَد,وَدَى-ِ
ليدفعوا	دَفَع-َ
ليدفعه	دَفَع-َ
ليدعون	دَعا
ليدعن	وَدَع-َ
ليدخن	داخ,دَخَّن,أَدْخَن,دَخَن
ليدخلوه	أَدْخَل,دَخَل
ليدحضوا	دَحَض-َ,أَدْحَض,دَحَّض
ليخلفكم	خَلَف,أَخْلَف,خَلَّف
ليخفف	خَفّ-ِ,خَفَّف
ليخطفن	خَطَف-ِ,خَطِف-َ
ليخطئه	أَخْطَأ,خَطَّأ
ليختلجن	ٱِخْتَلَج
ليختار	ٱِخْتار
ليخبز	خَبَز-ِ
ليخبرنا	أَخْبَر,خَبُر,خَبَر,خَبَّر
ليخبر	خَبُر,أَخْبَر,خَبَر,خَبَّر
ليخالف	خالَف
ليخالطنكم	خالَط
ليخاف	خاف-َ,أَخاف
ليحمل	حَمَل-ِ,حَمَّل
ليحمد	حَمِد-َ,حَمَّد
ليحللها	أَحَلّ,حَلَّل,حَلّ
ليحلل	أَحَلّ,حَلّ-ِ,حَلَّل,حَلّ
ليحلق	حَلَّق,حَلَق-ِ
ليحفظوا	حَفِظ-َ,أَحْفَظ
ليحزن	حَزَن,حَزَّن,حاز,أَحْزَن,حاز-ِ,حَزِن-َ
ليحرم	حَرِم-َ,حَرُم,حَرَّم,حَرَم-ُِ
ليحد	حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ,حَدا,حَدّ-ِ
ليحجن	حَجَن-ِ
ليحبسوك	حَبَس-ِ
ليحب	أَحَبّ,حَبّ-ِ,حَبا
ليجلسوه	أَجْلَس
ليجعلهما	جَعَل-َ
ليجعلن	جَعَل-َ
ليجعل	جَعَل-َ
ليجر	جار,أَجار,أَجْرَى,جَرَى-ِ,جَرّ,أَجَرّ
ليجدان	NOTFOUND
ليجتمع	ٱِجْتَمَع
ليجتاز	ٱِجْتاز
ليجاري	جارَى
ليثنينهما	ثَنَّى,ثَنَى-ِ,أَثْنَى
ليثن	ثَنَّى,ثَنَى-ِ,أَثْنَى
ليثقل	أَثْقَل,ثَقُل,ثَقَّل
ليثري	ثَرِي-َ,أَثْرَى
ليثبتوك	أَثْبَت,ثَبَّت
ليتيمته	يَتِيم
ليتواعدونني	NOTFOUND
ليتوارثون	NOTFOUND
ليتلقي	تَلَقَّى
ليتكثر	NOTFOUND
ليتقوي	تَقَوَّى
ليتقه	تاق,ٱِتَّقَى,تَقَى-ِ
ليتقاضي	تَقاضَى
ليتفل	تَفَل,تَفَلَّى
ليتفقد	تَفَقَّد
ليتعلق	تَعَلَّق
ليتعرض	تَعَرَّض
ليتعذر	تَعَذَّر
ليتعادون	NOTFOUND
ليتسع	ٱِتَّسَع
ليتركنها	تَرَك,تَرَّك
ليتخذه	ٱِتَّخَذ
ليتخذ	ٱِتَّخَذ
ليتحدثون	NOTFOUND
ليتحدثنه	تَحَدَّث
ليتبع	تَبِع-َ,أَتْبَع,ٱِتَّبَع
ليبيع	باع-ِ,أَباع
ليبيت	بات-ِ,أَبات,بَيَّت
ليبن	بَنَى-ِ,أَبان,بان-ِ
ليبكيان	NOTFOUND
ليبغض	أَبْغَض,بَغَّض,بَغِض-َ,بَغُض
ليبعد	بَعُد,أُبْعِد,أَبْعَد
ليبعثنه	بَعَث-َ
ليبعثن	بَعَث-َ
ليبشر	بَشَر-ِ,أَبْشَر,بَشَر,بَشَّر,بَشِر-َ
ليبركن	أَبَرّ,بَرَى-ِ,بَرَك,أَبْرَك,أَبار,بَرَّك
ليبر	بَرّ-ِ,أَبَرّ,بَرَى-ِ,أَبار,بار
ليبدلن	بَدَل,أَبْدَل,بَدَّل
ليبتلي	ٱِبْتَلَى
ليبايعه	بايَع
ليبايعني	بايَع
ليبايعك	بايَع
ليبايع	بايَع
ليباع	أَباع,بيع
ليامره	أَمَر
ليامرني	NOTFOUND
لياكلون	NOTFOUND
لياكلها	أَكَل
لياخذه	أَخَذ
لياتيه	أَتَى-ِ
ليئط	أَطّ-ِ
ليؤذنوه	أَذَّن,آذَن
ليؤذنه	أَذَّن,آذَن
ليؤجر	آجَر,أَجَّر
لويت	لَوِي-َ,لَوَى-ِ,لَوَّى
لوهب	وَهَب-َ
لونين	وَنَى-ِ,وَنَّى,وَنِي-َ,لَوْن
لونك	لَوْن,وَنّ-ِ,وَنّ,لَوَّن
لوما	لَوْم,لَوَّم,لائِم
لولدت	وَلَد-ِ,وَلَّد
لولاة	وَلَّى,والِي
لوقته	وَقْت,وَقَّت,وَقَى-ِ,وُقَّة
لوفود	وَفْد
لوعد	وَعْد,وَعَد-ِ
لوطي	لُوطِيّ,وَطَّى
لوصيته	وَصَّى,وَصِيَّة
لوصية	وَصِيّ,وَصِيَّة
لوسن	وَسَن,وَسِن,وَسِن-َ
لوحيه	وَحْي,لَوْح
لوجهي	وَجْه,وَجْهِيّ
لوجدنا	وَجَد-ِ
لوجدتني	وَجَد-ِ
لوجدت	وَجَد-ِ
لوجد	وَجَد-ِ
لوجب	وَجَب-ِ,وَجَّب
لوثن	وَثَن,لَوِث-َ,لَوَّث
لوالده	والِد
لوالدك	والِد
لواقف	واقِف
لواصلنا	واصَل
لواسع	واسِع
لهون	هَوَّن,هُون,لَها,هَوْن
لهود	هَوَّد,هُود
لهنيدة	NOTFOUND
لهناك	NOTFOUND
لهمدان	NOTFOUND
لهلكوا	هَلَّك,هَلَك
لهلاك	هَلاك,هالِك,هَلّ-ِ
لهكذا	NOTFOUND
لهفاه	لَهِف-َ,لَهْفان,هَفّ-ِ
لهزة	هَزّ,هَزَّة
لهزال	هُزال,هَزّال
لهرجا	هَرَّج,هَرَج-ِ
لهذيل	NOTFOUND
لهدبة	هَدِب,هُدْب,هَدِب-َ,هَدَّب
لهبط	هَبَط,هَبْط
لنولينك	NOTFOUND
لنور	نُور,نَوَر,أَوْرَى,نَوَّر,وَرَّى
لنهي	وَهَى-ِ,نَهْي,نُهَى,نَهَى-ِ
لنهانا	نَها,نُهَى,نَهَى-ِ
لننصرفن	NOTFOUND
لنمصها	مَصّ-َ,مَصَص
لنلقي	لَقِي-َ,أَلْقَى
لنكلوا	نَكِل-َ,نَكَّل,نَكَل-ُِ
لنكره	نَكِر,نَكَّر,كَرِه-َ,نَكِرَة,كَرُه,كَرَّه,كَرّ,كَرا,أَكْرَه,نُكْر,كَرِي-َ,كَرَى-ِ,أَكْرَى
لنقرض	أَقْرَض,قَرَّض,قَرَض-ِ
لنقرانه	NOTFOUND
لنقتل	قَتَل,قَتَّل
لنفعله	فَعَل-َ
لنفعلن	NOTFOUND
لنفعل	فَعَل-َ
لنفرح	فَرِح-َ,أَفْرَح,فَرَّح
لنفد	نَفِد-َ,أَفاد,وَفَد-ِ,فَدَى-ِ
لنفاقا	NOTFOUND
لنغنم	غَنِم-َ,غَنَّم,أَغْنَم
لنعيمان	نَعِيم
لنعمتك	نَعَّم,نَعَم-َُ,نَعْمَة,نِعْمَة
لنعرف	عَرَّف,عَرَف-ِ
لنطفكم	طاف,طاف-ِ,أَطاف,نَطْف,نَطَف,طَفا,نُطْفَة
لنطعم	أَطْعَم,طَعَّم,طَعِم-َ
لنصاري	نَصْرانِيّ,ناصِر
لنشبر	شَبَّر,شَبَر
لنسيرن	NOTFOUND
لنسوة	نَسِي-َ,سَوَّى,نِسْوَة,سَوِي-َ
لنسفعن	NOTFOUND
لنسفعا	NOTFOUND
لنستحيي	ٱِسْتَحْيَى
لنسالك	NOTFOUND
لنسائكم	نِساء,نَسّاء,نَساء
لنرجع	أَرْجَع,رَجَّع,رَجَع-ِ
لنربين	NOTFOUND
لندفنهم	دَفَن-ِ,نَدَف-ِ
لندب	نَدَب,نَدِب-َ,داب,نَدْب,دَبّ-ِ
لنخلكم	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,أَخَلّ,خَلَّى
لنخل	نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,خَلَّى,أَخال,أَخَلّ
لنخبط	خَبَط-ِ
لنحمل	حَمَل-ِ,حَمَّل
لنحلف	حَلَف-ِ,حَلَّف
لنجهد	أَجْهَد,جَهَد-َ
لنتكلم	تَكَلَّم
لنتفقه	تَفَقَّه,ٱِتَّفَق
لنبلو	بَلا
لناوي	ناوَى,أَوَى-ِ
لناعمة	ناعِم
لناضحه	NOTFOUND
لناصح	ناصَح,ناصِح
لناخذن	NOTFOUND
لناتينهم	NOTFOUND
لنائبتهم	نائِبَة,نائِب
لميمون	مَيْمُون
لميقات	مِيقات
لموليتين	NOTFOUND
لمولي	مَوْلَى
لموصوف	مَوْصُوف
لموثقي	مُوَثِّق,مَوْثِق,مُوَثَّق
لموتك	مَوْت,مَوَّت
لمواليهم	مُوالِي,مَوّال,مَوْلَى
لمواليه	مُوالِي,مَوّال,مُوالِيَة,مَوْلَى
لموالي	مُوالِي,مَوّال,مَوْلَى
لمهاجر	مَهْجَر,مُهاجِر,مَهاجِر
لمنهم	مَنّ,لام
لمنفعة	مَنْفَعَة
لمنصور	مَنْصُور
لمنصب	مَنْصِب,مِنْصَب
لمنزلتي	مُنَزَّل,مَنْزِلَة
لممه	لِمَّة,لَمَم
لممن	لَمّ
لملوكهم	مَلِك
لملك	مَلَك-ِ,مَلِك,مِلْك,مَلَّك,مَلّ,مُلْك
لمكانه	مَكانَة,مَكان
لمكانك	مَكان
لمقيس	NOTFOUND
لمقتل	مَقْتَل
لمعه	لُمْعَة,لَمَع-َ,لَمْع,لَمَّع
لمعني	لَمَع-َ,مَعْنِيّ,مَعْنَى,لَمَّع
لمعنا	لَمَع-َ,ماع-ِ,لَمْع,لَمَّع
لمعرض	مُعَرَّض,مُعَرِّض,مَعْرِض
لمعتبرا	مُعْتَبَر,مُعْتَبِر
لمع	لَمَع-َ,لَمْع,لَمَّع
لمظاهر	مَظْهَر
لمطعم	مَطْعَم,مُطَعَّم
لمطر	مَطِر,مَطَر,مُطْرِي
لمشيت	مَشَّى,مَشَى-ِ
لمشهد	مَشْهَد
لمشركون	مُشْرِك
لمسندته	مُسْنَد
لمسكين	مِسْكِين
لمسخ	مَسْخ,مَسَخ-َ
لمسجد	مَسْجِد
لمست	مَسَى,لَمَس,مَسَّى,ماس-ِ,مَسّ-َ
لمساكينهم	مِسْكِين
لمساكين	مِسْكِين
لمسا	لَمْس,لَمَس,مَسّ-َ
لمزه	لَمَز,مُزّ,مَزّ,مَزَّة,لَمْز,لُمَزَة
لمزجته	مَزَج
لمزج	مَزَج,مَزْج
لمريض	مَرِيض
لمركبك	مَرْكَب,مُرَكَّب
لمرضك	مَرَض,مَرَّض
لمراد	مُراد,مارِد,مَراد,مَرّاد
لمحلم	NOTFOUND
لمحضر	مُحَضَّر,مَحْضَر,مُحَضِّر
لمحسنكم	مُحَسِّن,مُحْسِن
لمحرش	NOTFOUND
لمحارب	مِحْراب,مُحارِب
لمجزيون	NOTFOUND
لمجتمعا	مُجْتَمِع,مُجْتَمَع
لمجبوب	NOTFOUND
لمباركة	مُبارَكَة,مُبارَك
لماشيته	ماشِيَة,ماشَى,ماشِي
لماشطتها	ماشِط,ماشِطَة
لمؤمنا	مُؤَمِّن,مُؤَمَّن,مُؤْمِن
لليف	لِيف,لَيَّف
لليدين	يَد
لليتيم	يَتِيم
