لثواب	ثَوّاب,ثَواب
لثقيف	NOTFOUND
لتوفي	أَوْفَى,وَفَّى,وَفَى-ِ,تَوَفَّى
لتوجد	وَجَد-ِ,أَوْجَد
لتهنك	أَهان,تاه
لتهنئك	هَنَّأ
لتهلكنا	أَهْلَك,هَلَّك,هَلَك
لتهل	أَهال,هال,هال-ِ,أَهَلّ,هَلّ-ِ
لتهدي	تَهَدَّى,هَدَى-ِ,هَدّ,أَهْدَى,هَدّ-ِ
لتهتدواواضل	NOTFOUND
لتنوء	ناء
لتنعتها	نَعَت-َ
لتنظروا	تَنَظَّر,نَظَر
لتنزلنه	أَنْزَل,نَزَل-ِ,نَزَّل,تَنَزَّل,نَزِل-َ
لتنتهن	نات
لتنتقون	NOTFOUND
لتنتظرون	NOTFOUND
لتنبذوا	نَبَذ-ِ,نَبَّذ,أَنْبَذ
لتنبت	نَبَّت,نَبَت,أَنْبَت,ٱِنْبَتّ
لتنبانه	NOTFOUND
لتناشد	ناشَد,تَناشَد
لتمنع	مَنَع,تَمَنُّع
لتملان	NOTFOUND
لتمخرن	مَخَر-َ
لتمام	تَمام,تَمّام
لتلقي	لَقِي-َ,أَلْقَى,تَلَقَّى,تَلَقِّي
لتلعن	لَعَن-َ,لاع
لتلتهب	ٱِلْتَهَب
لتلتعن	ٱِلْتاع
لتكلم	كَلَّم,تَكَلُّم,تَكَلَّم
لتكفا	كَفّ,وَكَف-ِ
لتكسوها	كَسِي-َ,كَسا,وَكَس-ِ,أَكْسَى
لتكسرنها	كَسَر-ِ,كَسَّر
لتكرهنه	أَكْرَه,كَرِه-َ,كَرَّه,تَكَرَّه
لتكثر	أَكْثَر,كَثَّر,كَثُر
لتقول	تَقَوُّل,قال
لتقع	وَقَع-َ,أَقْعَى
لتقرعن	قَرِع-َ,قَرَع-َ,قَرَّع
لتقبل	قَبَّل,تَقَبَّل,تَقَبُّل,قَبِل-َ,أَقْبَل
لتقاتلنه	قاتَل,تَقاتَل
لتقاتل	تَقاتُل,قاتَل,تَقاتَل
لتفعلن	فَعَل-َ
لتفطرن	تَفَطَّر,فَطَر,أَفْطَر
لتفطر	تَفَطَّر,فَطَر,أَفْطَر
لتفسخت	تَفَسَّخ
لتفترقن	ٱِفْتَرَق
لتفارقنهم	فارَق,تَفارَق
لتغرف	غَرَف-ِ
لتغتسل	ٱِغْتَسَل
لتعملون	NOTFOUND
لتعمل	عَمِل-َ,أَعْمَل,تَعَمُّل
لتعقل	تَعَقُّل,عَقَل-ِ,عَقَّل,تَعَقَّل
لتعفي	عَفّ-ِ,عَفا,عَفَّى,أَعْفَى
لتعظيم	تَعْظِيم
لتعطينيه	NOTFOUND
لتعطيني	أَعْطَى
لتعرضوا	أَعْرَض,تَعَرَّض,عَرَض-ِ,عَرَّض
لتعدلن	عَدَل-ِ,عَدَّل,تَعَدَّل
لتعاطيت	تَعاطَى
لتعارفوا	تَعارَف
لتطفئ	أَطْفَأ
لتطف	طاف,طَفا,طاف-ِ,أَطاف
لتضطجع	ٱِضْطَجَع
لتضربوه	ضَرَب,أَضْرَب,ضَرَّب
لتضربونه	NOTFOUND
لتضئ	أَضاء
لتصير	صَيَّر,صار
لتصدقونني	NOTFOUND
لتشفع	تَشَفَّع,شَفَع-َ,تَشَفُّع
لتشرب	تَشَرُّب,شَرِب-َ,أَشْرَب,شَرَّب,تَشَرَّب
لتشديد	تَشْدِيد
لتشتد	ٱِشْتَدّ
لتشتاق	ٱِشْتاق
لتسيل	سَيَّل,سال-ِ,أَسال
لتسمن	وَسَم-ِ,سَمَّن,أَسْمَن,سَمِن-َ,أَسام,سام
لتسمعن	سَمِع-َ,سَمَّع,أَسْمَع,تَسَمَّع
لتسلم	سَلِم-َ,سَلَّم,أَسْلَم,تَسَلَّم,تَسَلُّم
لتسكن	أَسْكَن,سَكَّن,سَكَن,ساك
لتسعة	تُسْع,تِسْع,سَعَى-َ
لتسرج	أَسْرَج,سَرَج-َ,سَرَّج
لتستحيي	ٱِسْتَحْيَى
لتساقط	تَساقُط,تَساقَط
لتزخرفنها	زَخْرَف
لتزخرفت	تَزَخْرَف
لتركبوها	رَكِب-َ,رَكَّب,أَرْكَب
لتركب	تَرَكَّب,رَكِب-َ,رَكَّب,أَرْكَب
لترك	تَرَك,تَرْك,وَرَى-ِ,تُرْكِيّ,لِيتْر,رَأَى-َ,تَرَّك,رَكّ,رَكّ-ِ
لترفع	تَرَفُّع,تَرَفَّع,رَفَع-َ,رَفَّع
لترضي	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ,تَرَضَّى
لترضوا	رَضّ,أَرْضَى,رَضَّى,رَضِي-َ,تَرَضَّى
لترشدني	رَشَّد,أَرْشَد
لترشدنني	رَشَّد,أَرْشَد
لتردنه	راد,رَدَن-ِ,أَراد,وَرَد-ِ
لترد	رَدِي-َ,راد,رَدَّى,تَرَدِّي,أَرْدَى,رَدّ,أَراد,وَرَد-ِ
لترحمنا	رَحَّم,تَرَحَّم,رَحِم-َ
لترجع	أَرْجَع,تَرَجَّع,رَجَّع,رَجَع-ِ
لتراجعن	تَراجَع,راجَع
لتدفنه	دَفَن-ِ,داف
لتدعو	دَعا
لتدع	وَدَع-َ,ٱِدَّعَى,دَعّ-َ,دَعا
لتخرجنه	خَرَّج,أَخْرَج
لتختاره	ٱِخْتار
لتخبز	خَبَز-ِ
لتخبريني	خَبُر,أَخْبَر,خَبَر,خَبَّر
لتحيض	تَحَيَّض,حاض-ِ
لتحول	حَوَّل,تَحَوُّل,تَحَوَّل,ٱِحْوَلّ,حال
لتحملنا	تَحَمُّل,تَحَمَّل,حَمَل-ِ,حَمَّل
لتحكم	حَكَّم,تَحَكُّم,حَكَم,أَحْكَم,تَحَكَّم,وَحَى-ِ
لتحرق	حَرَّق,حَرَق-ِ,حَرَق,تَحَرَّق,تَحَرُّق,أَحْرَق
لتحرث	حَرَث-ُِ
لتحدثوني	حَدَث,تَحَدَّث,أَحْدَث
لتحدثوننا	NOTFOUND
لتجير	أَجار,جَيَّر
لتجاوزوني	تَجاوَز,جاوَز
لتجارتهما	تِجارَة
لتجارة	جارَى,تِجارَة,تاجِر
