فينهزم	ٱِنْهَزَم
فينهاهم	نَهَى-ِ
فينهاها	نَهَى-ِ
فينمي	أَنْمَى,نَمَى-ِ,نَمَّى
فينماز	NOTFOUND
فينكح	أَنْكَح,نَكَح-َُِ
فينقذف	ٱِنْقَذَف
فينفض	نَفَّض,نَفَض,أَنْفَض,ٱِنْفَضّ
فينفذ	نَفَذ,نَفَّذ,أَنْفَذ
فينعل	نَعَّل,نَعَل-َ,أَنْعَل,نَعِل-َ
فينظروا	نَظَر
فينطلقون	ٱِنْطَلَق
فينطلقان	ٱِنْطَلَق
فينصرون	نَصَّر,نَصَر
فينصرفن	ٱِنْصَرَف
فينصبها	أَنْصَب,نَصَّب,نَصَب
فينشفون	نَشِف-َ,نَشَف,نَشَّف
فينسي	نَسِي-َ,أَنْسَى
فينزلوا	أَنْزَل,نَزَل-ِ,نَزَّل,نَزِل-َ
فينحي	أَنْحَى,نَحَّى,نَحَى
فينجيه	نَجَّى,أَنْجَى
فينتهي	ٱِنْتَهَى
فينتهره	ٱِنْتَهَر
فينتقص	ٱِنْتَقَص
فينتفع	ٱِنْتَفَع
فينتفض	ٱِنْتَفَض
فينتظرونه	ٱِنْتَظَر
فينتثر	ٱِنْتَثَر
فينبغي	ٱِنْبَغَى
فينبذه	نَبَذ-ِ,نَبَّذ,أَنْبَذ
فيناولها	ناوَل
فيناولني	ناوَل
فيناديهم	نادَى
فيميط	أَماط,ماط-ِ
فيموتون	مَوَّت,مات
فيمنوا	يَمُن,يَمَن,يَمِن-َ,يَمَّن,مَنَى-ِ,مَنّ,مَنَّى,مَنا,أَمَنّ
فيمنعونكم	مَنَع
فيمنعون	مَنَع
فيمنعنا	مَنَع
فيملا	مَلّ-َ,أَمَلّ
فيملؤها	NOTFOUND
فيمكن	أَمْكَن,مَكَّن
فيمضي	مَضَّى,أَمْضَى,مَضَى-ِ
فيمشي	أَمْشَى,مَشَّى,مَشَى-ِ
فيمسك	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
فيمسحون	مَسَّح,مَسَح-َ
فيمدر	NOTFOUND
فيمد	أَمْدَى,مَدّ,ماد-ِ,أَمَدّ
فيمحو	مَحا
فيمثل	مَثُل,مَثَل,مَثَّل
فيلي	فِيلِي,فِيل,فَيْلِيّ,وَلِي-ِ
فيلهمني	أَلْهَم,لَهِم-َ
فيلقيها	فَيْلَق,أَلْقَى
فيلقين	لَقِي-َ,فَيْلَق,أَلْقَى
فيلقونه	لَقِي-َ,أَلْقَى
فيلقمه	لَقِم-َ,لَقَم,أَلْقَم,لَقَّم
فيلقح	لَقَّح,لَقَح-َ
فيلعبن	لَعِب-َ
فيلصق	لَصِق-َ,لَصَّق,أَلْصَق
فيلزق	لَزَّق,لَزِق-َ,أَلْزَق
فيلتفت	ٱِلْتَفَت
فيلتئم	ٱِلْتَأَم
فيكونون	كان,كَوَّن
فيكملوا	كَمَّل,كَمَل,أَكْمَل,كَمِل-َ
فيكما	فِي,كَمّ
فيكلمه	كَلَّم
فيكفرون	كَفَر-ِ,كَفَّر,أَكْفَر
فيكرهه	كَرِه-َ,كَرَّه,أَكْرَه
فيكره	كَرِه-َ,كَرُه,كَرَّه,كَرّ,أَكْرَه,كَرا,كَرِي-َ,كَرَى-ِ,أَكْرَى
فيكرم	أَكْرَم,كَرَّم,كَرُم
فيكذبون	كَذَب-ِ,أَكْذَب,كَذَّب
فيكثرون	أَكْثَر,كَثُر,كَثَّر
فيكثروا	أَكْثَر,كَثُر,كَثَّر
فيكتبون	أَكْتَب,كَتَب
فيكتاب	NOTFOUND
فيكبرون	كَبَّر,كَبَر,أَكْبَر
فيكافا	NOTFOUND
فيقيمه	قَيَّم,أَقام
فيقولوا	قال
فيقولن	NOTFOUND
فيقنت	يَقِن-َ,قَنَت
فيقعدون	قَعَد,أَقْعَد,قَعَّد
فيقعده	قَعَد,أَقْعَد,قَعَّد
فيقعدني	قَعَد,أَقْعَد,قَعَّد
فيقضيه	قَضَى-ِ,قَضَّى
فيقضونه	قَضَّى,قَضَى-ِ,قَضّ
فيقضمها	قَضَم-ِ,قَضِم-َ
فيقصونها	قَصا,قَصّ,أَقْصَى,وَقَص-ِ
فيقره	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
فيقرقرها	قَرْقَر
فيقرقر	قَرْقَر
فيقرض	أَقْرَض,قَرَّض,قَرَض-ِ
فيقربها	قَرَّب,قَرِب-َ,قَرُب
فيقربه	قَرَّب,قَرِب-َ,قَرُب
فيقرئنا	أَقْرَأ
فيقرءون	NOTFOUND
فيقذفونها	قَذَّف,قَذَف-ِ
فيقذفون	قَذَّف,قَذَف-ِ
فيقذفها	قَذَّف,قَذَف-ِ
فيقذف	قَذَّف,قَذَف-ِ
فيقتلونكم	قَتَّل,قَتَل
