فكمنا	كَمِن-َ,مِنَى,كَمَن,كَمّ
فكمثل	مِثْل,مَثَل
فكلي	أَكَل,كُلِّيّ,كُلْوَة,لَيّ,كُلّ,لِي
فكلوها	أَكَل
فكلميه	NOTFOUND
فكلمها	كَلَّم,كَلْم
فكلماهم	كَلَّم,كَلِيم
فكلتهم	كُلَّة,كِلَّة,لَتّ,كال-ِ,كَلَت-ِ
فكلتاهما	كِلا,كِلَّة,كَلَت-ِ
فكلت	لَتّ,كال-ِ,كَلَت-ِ
فككت	فَكّ,فَكَّك,كَتّ
فكفنوني	فَنّ,كَفَن-ِ,كَفَّن
فكفنوا	كَفَن-ِ,كَفَّن
فكفنه	فَنّ,كَفَن-ِ,كَفْن,كَفَّن,كَفَن
فكفلها	فَلّ,كَفَل,كَفَّل,فُلّ,كَفَل-ِ,كَفْل
فكففنا	كَفَّف,كَفّ,كُفَّة,كِفَّة
فكففت	كَفَّف,كَفّ
فكفرت	كَفَر-ِ,كَفَّر
فكفتني	كَفَت-ِ,كَفّ,فِتْنَة,كَفَّت,فِتْنِي
فكفاناها	NOTFOUND
فكفارتها	فارَة,فارّ,كَفّارَة
فكشفوا	كَشَف-ِ
فكشفه	شِفّ,كَشَف-ِ,شَفَة,كَشْف,كاشِف
فكشطت	كَشَط-ِ
فكسوه	كَسا,كَسِي-َ,كِسْوَة
فكسوته	كَسا,كِسْوَة
فكسهم	سَهْم
فكسرته	كَسْرَة,كِسْرَة,سُرَّة,كَسَر-ِ,كَسَّر
فكسدت	كَسَد
فكسحت	سُحْت,كَسِح-َ,كَسَّح,كَسَح-َ
فكساه	ساهِي,كَسا,كِسْوَة
فكز	كَزّ,كُزّ
فكرهوه	رَهْو,كَرِه-َ,كَرَّه
فكرههن	كَرِه,كَرِه-َ,كَرْه,كَرَّه,كُرْه
فكرهتها	كَرِه,كَرِه-َ,كَرَّه
فكربت	كَرَب,رَبْت
فكر	فَكَّر,كَرّ,فِكْر
فكذبوا	كَذَب-ِ,كَذَّب
فكذبت	كَذَب-ِ,كَذَّب
فكحلت	كَحَّل
فكثيرا	كَثِير
فكثرت	كَثَّر,كَثُر
فكتمت	كَتَم,كَتَّم
فكتبا	كِتاب,كَتَب
فكبكبوا	كَبْكَب
فكبرو	NOTFOUND
فكانتا	كان
فكالته	كالّ,آلَة,كال-ِ
فكاكها	فِكاك
فكاكك	فِكاك
فكاتبه	كاتَب,كاتِب
فكاتبته	كاتَب,كاتِب
فكاتبت	كاتَب
فك	فَكّ,كَ
فقيما	قَيَّم,قِيمَة,قَيِّم
فقيركم	قِير,فَقِير,قَيَّر
فقيراطان	قِيراط
فقومي	قَوْم,قام,قَوْمِيّ,فُقُوم
فقومه	قَوْم,قَوْمَة,قَوَّم,فُقُوم
فقوم	قَوْم,قَوَّم,فُقُوم
فقوضت	قَوَّض
فقوسناه	قَوَّس
فقوتل	NOTFOUND
فقهاؤهم	فَقِيه
فقهاؤنا	فَقِيه
فقنا	قَنا,فاق,قِنّ,قُنّ
فقمل	قَمِل,قَمْل,قَمِل-َ,قَمَل
فقلعنا	قِلْع,قَلَّع,قَلَع-َ
فقلع	قِلْع,قَلَع-َ,قَلَّع
فقلص	قَلَّص,قَلَص-ِ,قَلَص
فقلبت	قَلَّب,قَلَب-ِ
فقفلت	قَفَل-ِ,قَفَل,قَفَّل
فقف	قَفّ
فقطعوه	قَطَع-َ,قَطَّع
فقطعناه	قَطَع-َ,قَطَّع
فقطعنامنه	NOTFOUND
فقضيتيه	قَضِيَّة
فقضمته	قَضَم-ِ,قَضِم-َ,قَضْمَة
فقضته	قَضّ,قاض-ِ,قاض,قَضَّى,قَضَى-ِ
فقضت	قَضّ,قَضّ-َ,قاض-ِ,قاض,قَضَّى,قَضَى-ِ
فقضاهما	قَضّ,قَضَّى,قَضَى-ِ,قَضَى
فقضاها	قَضّ,قَضَى-ِ,قَضَّى,قَضَى
فقضاه	قَضّ,قَضَّى,قَضَى,قاضِي,قَضَى-ِ
فقضاء	قَضاء
فقصها	قَصّ,فَقَص-ِ,فَقَّص
فقصعته	قَصَع-َ,قَصْعَة
فقصصته	قَصّ,قَصَّص
فقصرت	قَصُر,قَصَر-ِ,قَصَّر,قَصَر
فقصته	قَصّ,قَصَّة,قِصَّة,فَقَص-ِ,فَقَّص
فقصتا	قَصا,قَصّ,قِصَّة,قَصَّة,فَقَص-ِ,فَقَّص
فقصت	قَصا,قَصّ,فَقَص-ِ,فَقَّص
فقصا	قَصا,قَصّ,قَصَى,فَقَص-ِ,فَقَّص
فقست	قَسَّى,قاس-ِ,فَقَس-ِ,قَسا,فَقَّس,قَسّ
فقرنتم	قَرَن-ِ
فقرنت	قَرَن-ِ
فقرنا	قِرْن,قَرْن,قَرَن-ِ,قَرّ-َِ,قُرْنَة,قَرّ,فَقُر,فَقْر
فقرانا	قَرْيَة,قِران,قَرّ-َِ,قِرَى,قَرَى-ِ,قَرا
فقراتهما	فَقْرَة
فقرءوها	NOTFOUND
فقرءوا	NOTFOUND
فقرءا	قُرْء
فقذفوا	قَذَّف,قَذَف-ِ
فقذفها	قَذَّف,قَذْف,قَذَف-ِ
