فارمي	أُرَّم,إِرَم,رَمَى-ِ
فارمه	رام-ِ,رَمَى-ِ,أُرَّم,إِرَم,رَمّ,أَرَّم,أَرَم-ِ,رام
فاركعهما	رَكَّع,رَكَع-َ,أَرْكَع
فاركد	رَكَد
فاركبوها	أَرْكَب
فاركب	رَكَّب,رَكِب-َ,أَرْكَب
فارقه	آرِق,رَقَّى,أَراق,فارِق,أَرِق,أَرْقَة,راق-ِ,أَرَق,أَرَّق,فارَق,أَرَقّ,رَقِي-َ,راق
فارقناهم	أَراق,أَرَّق,فارَق
فارفق	أَرْفَق,رَفَق,رَفِق-َ
فارفعني	رَفَع-َ,رَفَّع
فارغة	راغ,أَرْغَى,فارِغ,رَغَّى,رَغا
فارعي	أَرْعَى,فارِع,رَعَى-َ
فارعدها	أَرْعَد,رَعَد-َُ
فارضعت	أَرْضَع
فارض	رَضّ,راض,فارِض,أَرْضَى,أَرَّض,رَضَّى,أَرْض,رَضِي-َ
فارصد	أَرْصَد,رَصَّد,رَصَد
فارسيا	فارِسِيّ,أَرْسَى
فارزقه	رَزَق
فاردك	رَدِي-َ,راد,أَرَدّ,رَدَّى,أَراد,رَدّ,أَرْدَى,وَرَد-ِ
فاردفها	أَرْدَف,رَدِف-َ,رَدَف
فاردفه	أَرْدَف,رَدِف-َ,رَدَف
فارددهم	رَدَّد,رَدّ
فارددها	رَدَّد,رَدّ
فاردتها	أَراد,أَرْدَى
فارحني	راح,أَراح
فارحنا	راح,أَراح,فارِح
فارحم	رَحَّم,رَحِم-َ
فارجوه	رَجا
فارجموهما	NOTFOUND
فارجمه	رَجَّم,رَجَم
فارجل	رَجَّل,رِجْل,رَجِل-َ
فارجعن	أَرْجَع
فارجحوا	NOTFOUND
فارتهن	ٱِرْتَهَن,أَرَتّ,فارّ,رَتا,رَتَّى,فارَة,فار
فارتني	رَتا,رَتَّى,فار
فارتقينا	ٱِرْتَقَى
فارتقي	ٱِرْتَقَى
فارتفعوا	ٱِرْتَفَع
فارتفع	ٱِرْتَفَع
فارتعجت	NOTFOUND
فارتحلا	ٱِرْتَحَل
فارتجز	ٱِرْتَجَز
فارتاح	ٱِرْتاح
فارت	أَرَتّ,رَتَّى,رَتا,فار
فاربعون	أَرْبَعُون
فاربطيه	NOTFOUND
فاراحنا	أَراح
فاذهبوا	أَذْهَب
فاذهبت	أَذْهَب
فاذننا	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
فاذناه	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
فاذكيه	أَذْكَى,ذَكَّى
فاذكروني	أَذْكَر
فاذكرها	ذَكَر,أَذْكَر,ذَكَّر
فاذكرته	أَذْكَر
فاذق	أَذاق,ذاق
فاذروه	ذَرا,أَذْرَى
فاذته	آذَى
فاذبحها	ذَبَّح,ذَبَح-َ
فاذارجل	NOTFOUND
فاديتها	أَدَّى,فادِي,فادِيَة,فادَى
فاده	دَهِي-َ,دَهَّى,دَهَى-َ,أَدّ,آد,إِدّ,وَدَى-ِ
فادنيه	ٱِدَّنَى,أَدْنَى,دَنَّى
فادنيته	ٱِدَّنَى,أَدْنَى
فادناهم	ٱِدَّنَى,أَدان,أَدْنَى,آد
فادناها	ٱِدَّنَى,أَدان,أَدْنَى,آد
فادم	دَمّ,أَدام,دام,آدَم,دَمِي-َ,دَمَّى,أَدْمَى
فادلجنا	أَدْلَج
فادفنوني	NOTFOUND
فادفنوا	NOTFOUND
فادفعوها	NOTFOUND
فادفعوه	NOTFOUND
فادفعا	NOTFOUND
فادعياه	ٱِدَّعَى,أَدْعَى
فادعوهم	ٱِدَّعَى,دَعا
فادعوني	ٱِدَّعَى,دَعا
فادعت	ٱِدَّعَى
فادسه	دَسّ,داس,دَسَّى
فادركوهم	أَدْرَك
فادركوها	أَدْرَك
فادرعهما	دِرْع,دَرَّع
فادرسوها	NOTFOUND
فادرج	دَرَّج,دَرَج,أَدْرَج
فادخلوها	أَدْخَل,دَخَل
فادخلوني	أَدْخَل,دَخَل
فادخلنني	أَدْخَل
فادخلتهم	أَدْخَل
فادخلته	أَدْخَل
فادبهن	آدِب,أَدَب,آدَب,أَدَّب,دَبّ-ِ,أَدْب
فاداويه	داوَى
فاد	أَدّ,فادِي,آد,إِدّ,وَدَى-ِ
فاخلفني	خَلَف,أَخْلَف,خَلَّف
فاخلفك	خَلَف,أَخْلَف,خَلَّف
فاخلعها	خَلَّع,خَلَع-َ
فاخفيت	أَخْفَى
فاخفاه	أَخَفّ,أَخْفَى
فاخطاه	NOTFOUND
فاخضر	خَضَّر,أَخْضَر,ٱِخْضَرّ,خَضِر-َ
فاخشوهم	NOTFOUND
فاخذوني	أَخَذ,آخَذ,أَخَّذ
فاخذونا	آخِذ,أَخَذ,آخَذ,أَخَّذ
فاخذناه	أَخَذ,آخَذ,أَخَّذ
فاخذن	أَخَذ,آخَذ,أَخَّذ
فاخذك	آخِذ,أَخْذ,أَخَذ,آخَذ,أَخَّذ
فاخذتهفجعلته	NOTFOUND
فاخذتنمطا	NOTFOUND
فاخذتا	آخِذ,أَخَذ,آخَذ,أَخَّذ
فاختياله	ٱِخْتِيال
فاختيال	ٱِخْتِيال
فاختنست	NOTFOUND
فاختنثه	NOTFOUND
فاختمرت	ٱِخْتَمَر
فاختلفن	ٱِخْتَلَف
فاختلفت	ٱِخْتَلَف
فاختلع	NOTFOUND
فاختلطت	ٱِخْتَلَط
فاختلط	ٱِخْتَلَط
فاختلست	ٱِخْتَلَس
فاختصمتا	ٱِخْتَصَم
فاخترنا	ٱِخْتار,خَتَر-ِ
فاخترطت	NOTFOUND
فاخترط	NOTFOUND
فاخترته	ٱِخْتار
فاختبينا	NOTFOUND
فاختان	فاخِت,خَتْن,ٱِخْتان,أُخْت
فاخبريه	NOTFOUND
فاخبرينا	NOTFOUND
فاخبرونا	أَخْبَر
فاخبرن	أَخْبَر
فاخبرك	أَخْبَر,خَبُر,خَبَر,خَبَّر
فاخبرتهما	أَخْبَر
فاخبرتك	أَخْبَر
فاخبراني	أَخْبَر
فاخبرا	أَخْبَر
فاحيينا	حَيّا,أَحْيَى
فاحمي	حَمِي-َ,أَحَمّ,أَحْمَى,فاحِم,حَمَى-ِ,حَمَّى
فاحموه	أَحَمّ,أَحْمَى
فاحملوه	NOTFOUND
فاحمرت	ٱِحْمَرّ
فاحمار	NOTFOUND
فاحلوه	أَحَلّ,حَلُو
فاحلها	أَحَلّ,حَلَى,حَلَّى,أَحال,حَلِي-َ,حال,حَلُو,حَلّ
فاحلف	حَلَف-ِ,حَلَّف
فاحلب	حَلَب-ُِ
فاحكه	حَكّ,حاك,حَكَى-ِ,أَحَكّ
فاحقبها	NOTFOUND
فاحفظ	حَفِظ-َ,أَحْفَظ
فاحصت	أَحْصَى,أَحَصّ
فاحصاه	أَحْصَى,فاحِص,أَحَصّ
فاحش	حَشا,حَشَّى,حاش,فاحِش,حَشّ
فاحزنني	أَحْزَن
فاحرمي	NOTFOUND
فاحرمنا	حَرَّم,حَرَم-ُِ
فاحرقوه	أَحْرَق
فاحرقها	حَرَّق,حَرَق-ِ,حَرَق,أَحْرَق
فاحرز	حَرَّز,حَرُز,حَرَز,أَحْرَز,حَرِز
فاحرتها	أَحار,أَحْرَى
فاحذروه	NOTFOUND
فاحذره	حَذَّر
فاحذر	حَذَّر,حَذِر-َ
فاحدي	أَحَد,حَدِي,أَحَدّ,حَدا
فاحدهما	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدا,حَدّ
فاحدقه	أَحْدَق,حَدَّق,حَدَق-ِ
فاحدر	حَدَر-ِ,حَدَّر,حَدُر,حَدَر
فاحجم	أَحْجَم,حَجَم
فاحثو	حَثا
فاحثثنا	حَثّ
فاحتملوه	ٱِحْتَمَل
فاحتمله	ٱِحْتَمَل
فاحتلمت	ٱِحْتَلَم
فاحتلبها	ٱِحْتَلَب
فاحتضنني	ٱِحْتَضَن
فاحتسبت	ٱِحْتَسَب
فاحتجموا	NOTFOUND
فاحتجب	ٱِحْتَجَب
فاحتبست	ٱِحْتَبَس
فاحتاله	ٱِحْتال
فاحبيها	أَحَبّ
فاحبوا	أَحَبّ
فاحبس	حَبَس-ِ
فاحببه	أَحَبّ,حَبّ-ِ,حَبَّب
فاحالوه	أَحال
فاحاطوا	أَحاط
فاحاط	أَحاط
فاجيروه	أَجِير
فاجيبوا	NOTFOUND
فاجهشت	أَجْهَش
فاجهد	أَجْهَد,جَهَد-َ
فاجمعي	أَجْمَع
فاجللت	أَجَلّ
فاجلسها	أَجْلَس
فاجلس	جَلَس-ِ,أَجْلَس
فاجلدوا	أَجْلَد
فاجلاهم	أَجَّل,أَجْلَى,آجِل,أَجَلّ,أَجَل
فاجفت	NOTFOUND
فاجعلوهم	NOTFOUND
فاجعلوها	NOTFOUND
فاجعلهن	جَعَل-َ
فاجعلهما	جَعَل-َ
فاجعلني	جَعَل-َ
فاجزيه	أَجْزَى,جَزَى-ِ
فاجزه	أَجاز,أَجْزَى,جَزّ,جَزَى-ِ
فاجزل	أَجْزَل,جَزُل
فاجرين	فاجِر,أَجْر,أَجْرَى
فاجرهما	آجَر,جار,فاجِر,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
فاجرة	آجَر,جار,فاجِر,أَجَر,أَجار,أَجَّر,فاجِرَة,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,جَرّ,أَجَرّ
فاجرب	أَجْرَب,جَرَّب,جَرِب-َ
فاجج	أَجَّج
فاجتنبه	ٱِجْتَنَب
فاجتنبني	ٱِجْتَنَب
فاجتمعتا	ٱِجْتَمَع
فاجترت	ٱِجْتَرّ
فاجتذبها	ٱِجْتَذَب
فاجتبذتها	NOTFOUND
فاجتالتهم	NOTFOUND
فاجتاحهم	ٱِجْتاح
فاجبه	جَبَى-ِ,جَبَّى,جاب,جَبَه-َ,جَبّ,أَجاب
فاجبت	أَجاب
فاجاف	جافَى
فاجازوا	أَجاز
فاجابوه	أَجاب
فاجابوا	أَجاب
فاجابني	أَجاب
فاجئ	فاجِئ,جاء
فاثرهم	أَثَر,أَثَر-ُِ,أَثِر,ثار,وَثَر-ِ,آثَر,ثَرِي-َ,أَثار,ثَرّ,أَثَّر,إِثْرَ,أَثْر,أَثْرَى
فاثرت	أَثَر-ُِ,آثَر,أَثار,أَثَّر,أَثْرَى
فاثخن	ثَخُن,أَثْخَن,ثَخَّن
فاثبتته	أَثْبَت
فاثاره	إِثارَة,أَثَر,أَثارَة,أَثار
فاتيناهن	آتَى,أَتَى-ِ
فاتياه	آتَى,آتِي,أَتَى-ِ
فاتهم	فات,ٱِتَّهَم
فاتها	فات
فاتلوه	تَلَوَّى,أَتْلَى,تَلا
فاتكلم	تَكَلَّم
فاتقها	تاق,ٱِتَّقَى,تَقَى-ِ
فاتقمح	NOTFOUND
فاتفق	ٱِتَّفَق
فاتعظ	ٱِتَّعَظ
فاتعسهم	أَتْعَس,تَعَس-َِ
فاتخذنه	ٱِتَّخَذ
فاتحه	فاتِحَة,فاتَح,فاتِح,أَتاح
فاتحا	فاتَح,فاتِح
فاتتنا	فات,آتَى,أَتَى-ِ
فاتتك	فات,آتَى,أَتَى-ِ
فاتتابع	تَتابَع
فاتبعوا	أَتْبَع,ٱِتَّبَع
فاتبعناه	أَتْبَع,ٱِتَّبَع
فاتاهما	فات,آتَى,أَتَى-ِ
فابيضت	ٱِبْيَضّ
فابلي	إِبْل,بَلا,إِبْلِيّ,بَلِي-َ,أَبْلَى
فابلغ	بَلُغ,بَلَغ,بَلَّغ,أَبْلَغ
فابكوا	أَبْكَى
فابغينا	بَغَى-ِ
فابغضوه	أَبْغَض
فابغضتهم	أَبْغَض
فابعده	أَبْعَد
فابعثوها	NOTFOUND
فابصرني	أَبْصَر,بَصِر-َ,بَصُر,بَصَّر
فابشره	بَشَر-ِ,أَبْشَر,بَشَر,بَشِر-َ,بَشَّر
فابشر	بَشَر-ِ,بَشَر,أَبْشَر,بَشِر-َ,بَشَّر
فابرمه	أَبْرَم,بَرَّم,بَرَم
فابده	أَباد,أَبَد-ِ,بَدا,أَبْدَى,باد-ِ,أَبَّد,آبِد,أَبَد,بَدّ,بَدَه-َ,آبِدَة
فابدا	أَبَد-ِ,أَبَّد,آبِد,أَبَد
فابدئي	NOTFOUND
فابحتها	أَباح,أَبَحّ
فابتغيا	ٱِبْتَغَى
فابتغوها	ٱِبْتَغَى
فابتعثاني	ٱِبْتَعَث
فابتع	ٱِبْتاع,أَبْتَع
فابايعك	بايَع
فائتوني	NOTFOUND
فائتوا	NOTFOUND
فائتم	ٱِئْتَمّ
فاؤخره	ؤَخِّر
فاء	فاء,فاء-ِ
فا	إِ,آ,أَ
فئتكم	فِئَة
فؤادي	فُؤادِي,فُؤاد
غيورا	غَيُور
غيور	غَيُور
غيلة	غِيل,غِيلَة,غَيْل
غيبا	غَيْب,غَيَّب,غائِب
غيب	غَيْب,غَيَّب,غائِب
غوية	غَوِي-َ
غورث	NOTFOUND
غواث	NOTFOUND
غنيهم	غَنِيّ
غنيمتنا	غَنِيمَة
غنيمتك	غَنِيمَة
غنيمات	NOTFOUND
غنيكم	غَنِيّ
غنمهما	غَنِم-َ,غُنْم,غَنَّم,غَنَم
غنمت	غَنِم-َ,غَنَّم
غنائمنا	غَنِيمَة
غمضت	غَمَّض,غَمُض
غمسات	NOTFOUND
غمري	غَمْر
غمرته	غَمْرَة,غَمَر
غمرة	غَمْرَة,غَمَر,غَمْر
غما	غَمّ
غليظان	غَلِيظ
غليانه	غَلَيان
غلي	غَلَّى,غُلّ,غِلّ,غَلَى-ِ,غَلْي
غلوة	غَلا,غَلَّى,غَلّ-ِ,غَلَى-ِ,غُلُوّ,غَلّ
غلماننا	غُلام
غللته	غَلّ-ِ,غَلَّل,غَلّ
غللتم	غَلّ-ِ,غَلَّل,غَلّ
غلفاء	أَغْلَف
غلف	غَلَّف,غِلاف
غلظه	غِلَظ,غِلْظَة,غَلَّظ
غلس	غَلَس,غَلَّس
غلته	غَلَّى,غَلا,غَلّ-ِ,غَلَى-ِ,غَلّ,غال,غَلَّة
غلة	غِلّ,غُلّ,غَلّ-ِ,غَلّ,غَلَّة
غلبوا	غَلَب-ِ
غلبها	غَلَب-ِ
غلبنني	غَلَب-ِ
غلامنا	غُلام
غلامكم	غُلام
غلاق	NOTFOUND
غلاف	غِلاف
غفلته	غَفَل,غَفْلَة,غَفَّل
غفلت	غَفَل,غَفَّل
غفرها	غَفْر,غَفَّر,غَفَر
غفارا	غَفّار
غطاها	غَطا,غَطّ,غَطَّى
غطاء	غِطاء
غضروف	غُضْرُوف
غضبانا	غَضِب,غَضْبان
غصة	غُصَّة
غشيني	غَشِي-َ
غشيتنا	غَشْي,غَشِي-َ,غَشَّى
غشية	غَشْي,غَشِي-َ
غشوكم	غَشّ,غَشِي-َ,غَشا,غَشَّى
غشوا	غَشّ,غَشِي-َ,غَشا,غَشَّى
غشاء	غِشاء
غسلهما	غَسَل-ِ,غِسْل,غُسْل,غَسَّل
غسلنه	غَسَل-ِ,غَسَّل
غسلناه	غَسَل-ِ,غَسَّل
غسلنا	غَسَل-ِ,غِسْل,غُسْل,غَسَّل
غسلتنها	غَسَل-ِ,غَسَّل
غسلة	غَسْلَة,غَسَل-ِ,غِسْل,غَسَّل,غُسْل
غساق	NOTFOUND
غزير	غَزِير
غزوناها	غَزا
غزوتي	غَزْو
غزل	غَزِل-َ,غَزَل,غَزْل,غَزَل-ِ
غزاهم	غَزا
غزاتهم	غَزاة,غازِي
غزاتكم	غَزاة,غازِي
غريقا	غَرِيق
غرمت	غَرَّم,غَرِم-َ
غرقوا	غَرَّق,غَرِق-َ
غرقت	غَرَّق,غَرِق-َ
غرقا	غَرَق,غَرَّق,غَرِق-َ
غرفوا	غَرَف-ِ
غرفا	غُرْفَة,غَرَف-ِ
غربلت	غَرْبَل
غرامتها	غَرامَة
غراسها	غِراس,غَرْس
غراسا	غِراس,غَرْس
غراس	غِراس,غَرْس
غرارتين	غَرّار,غِرارَة
غذاؤهم	غِذاء
غذاءها	غِذاء
غدير	غَدِير
غدوتهم	غَدْوَة,غُدْوَة,غَدا
غدوات	غَداة
غده	غَد,غُدَّة
غدقا	غَدِق-َ,غَدِق
غدره	غَدْر,غَدِير,غَدَر-ِ
غدركم	غَدْر,غَدِير,غَدَر-ِ
غداه	غَداة,غَدَّى
غدائه	غَداء
غداؤه	غَداء
غثران	NOTFOUND
غثاء	غُثاء
غبي	غِبّ,غَبِي-َ,غَبِيّ
غبنته	غَبَن-ِ
غبطة	غَبَط-ِ,غَبَّط,غِبْطَة
غبارهم	غُبار
غب	غِبّ,غَبّ-َ,غَبّ
غانمين	غانِم
غامضا	غامِض
غامض	غامِض
غالية	غالِي,غالِيّ
غاليا	غالِي,غالَى,غالِيّ
غالبا	غالَب,غالِب
غالا	غال
غال	غالِي,غال
غافلين	غافِل
غافلا	غافَل,غافِل
غافل	غافَل,غافِل
غاضرة	NOTFOUND
غاضب	غاضِب
غاشية	غاشِيَة
غاز	غازِي,غاز
غارمهم	NOTFOUND
غارمنا	NOTFOUND
غارة	غارَة,غار
غاديا	غادِي
غابر	غابِر
غابات	غابَة
غائطهما	غائِط
غائبي	غائِب
غائبكم	غائِب
عيون	عُيُون,عَيْن
عينين	عَيْن
عينيك	عَيْنِيّ,عَيْن
عيشه	عَيْش,عَيَّش,عَيْشَة
عيروه	عَيَّر
عيركم	عَيْر,عَيَّر
عيرات	NOTFOUND
عيدهم	عَيَّد,عِيد
عيبتي	عَيْبَة
عيبته	عَيْبَة,عَيَّب
عيالكم	عِيال
عياضا	NOTFOUND
عوني	عَوْن
عونا	عَوْن
عولت	عَوَّل
عوقبتم	عاقَب
عوضته	عَوَّض
عورتهما	عَوَّر,عَوْرَة
عورتها	عَوَّر,عَوْرَة
عوراء	أَعْوَر
عوذه	عَوْذ,عُوذَة,عَوَّذ,عَوَذ
