صفق	صَفْق,صَفَق-ِ,صَفَّق,صَفَق
صفرتهما	صَفْرَة,صُفْرَة,صَفَّر,صَفَر-ِ
صفحوا	صَفَح-َ,صَفَّح
صفحته	صَفَح-َ,صَفَّح,صَفْحَة
صفحت	صَفَح-َ,صَفَّح
صفحا	صَفْح,صَفَح-َ,صَفَّح
صفتهم	صَفَّى,صِفَة,صُفَّة,صَفّ
صفايا	صَفِيَّة
صفاحها	صَفّاح,صُفّاح
صفائها	صَفاء
صغيره	صَغِيرَة,صَغِير
صغيران	صَغِير
صغروا	صَغَّر,صَغُر
صغارهم	صَغِير
صغاركم	صَغِير
صعوبة	صُعُوبَة
صعقا	صَعَق-َ,صَعَق,صَعِق-َ
صعدها	صَعِيد,صَعِد-َ,صَعَّد
صعده	صَعْدَة,صَعِيد,صَعِد-َ,صَعَّد
صعدا	صَعِد-َ,صَعِيد,صَعَّد
صعاليك	صُعْلُوك
صريعا	صَرِيع
صريع	صَرِيع
صرورة	NOTFOUND
صرمته	صَرْمَة,صَرَم-ِ
صرما	صَرْم,صَرَم-ِ
صرفه	صِرْف,صَرَّف,صَرَف-ِ,صَرْف
صرفنا	صِرْف,صَرَّف,صَرَف-ِ,صَرْف
صرفتها	صِرْف,صَرَّف,صَرَف-ِ
صرحة	صَرْح,صَرَح-َ,صَرَّح
صرتم	صار
صرام	NOTFOUND
صراطا	صِراط
صرار	صَرّار
صديقة	صِدِّيق,صَدِيق
صده	صَدّ
صدنا	صاد-ِ,صَدّ
صدقوك	صَدَّق
صدقهم	صِدْق,صَدَّق
صدقاتكم	صَدَقَة
صدعين	NOTFOUND
صدرهما	صَدْر,صَدَّر
صدرنا	صَدْر,صَدَر,صَدَّر
صددناك	صَدّ
صداعا	صُداع
صدا	صَدَى,صَدّ
صخابا	صَخّاب
صحيفتك	صَحِيفَة
صحيحان	صَحِيح
صحو	صَحْو
صحل	صَحَل
صحفهم	صَحِيفَة,صَحَّف
صحفكم	صَحِيفَة,صَحَّف
صحفك	صَحِيفَة,صَحَّف
صحراء	صَحْراء
صحبوا	صَحِب-َ
صحبهما	صَحِب-َ
صحبني	صَحِب-َ
صحبناه	صَحِب-َ
صحبتهن	صَحِب-َ,صُحْبَة
صحبتهما	صَحِب-َ,صُحْبَة
صحبتما	صَحِب-َ
صحبتاه	صَحِب-َ
صبيته	صَبِيَّة,صَبِيّ,صَبَّى
صبيانها	صَبِيّ
صبوحها	صَبُوح
صبوت	صَبا
صبروا	صَبَر-ِ,صَبَّر
صبرهن	صَبَّر,صَبْر
صبره	صُبْرَة,صَبْرَة,صَبَّر,صَبْر,صَبْرَه
صبرتها	صُبْرَة,صَبْرَة,صَبَّر
صبحها	صَبَّح,صُبْح
صبحنا	صَبَّح,صُبْح
صبة	صَبّ-َ,صَبّ
صببناها	صَبّ-َ,صَبّ
صببته	صَبّ-َ,صَبّ
صانعون	صانِع
صانعة	صانِع,صانَع
صامتا	صامِت,صام
صالحينا	صالِح
صالحيكم	صالِح
صالحي	صالِح,صالِحِيّ
صالحو	صالِح
صالحه	صالِح,صالَح,صالِحَة
صافحه	صافَح
صافحنا	صافَح
صافح	صافَح
صاغيتي	صاغِي
صاغيته	صاغِي
صاغرون	صاغِر
صاعقة	صاعِق,صاعِقَة
صاعان	صاع
صادها	صاد-ِ,صاد
صاده	صاد-ِ,صاد
صادقة	صادَق,صادِق
صادقان	صادِق
صادفني	صادَف
صاد	صاد-ِ,صاد
صاحت	صاح-ِ
صاحبينا	صاحِب
صاحبني	صاحَب
صاحبتنا	صاحَب,صاحِب
صاحبت	صاحَب
صاحباك	صاحَب,صاحِب
صابرة	صابِر,صابَر
صابئة	NOTFOUND
صائغا	صائِغ
صئر	NOTFOUND
شيوخنا	شَيْخ
شيوخا	شَيْخ
شينه	شِين,شَيْن,شَيِّن,شَيَّن
شيمته	شِيمَة
شيعي	شِيعِيّ,شِيعَة
شيعة	شِيعَة,شَيَّع
شيطاني	شَيَّط,شَيْطان,شَيْطانِيّ
شيطانه	شَيْطان
شيخين	شَيْخ
شية	شَيّ,شِيَة
شيبتني	شَيَّب
شيبا	أَشْيَب,شَيْباء,شَيْب,شَيَّب
شيئه	شَيْء
شويكة	NOTFOUND
شوقنا	شَوَّق,شَوْق
شوت	شَوَى-ِ
شواهق	شاهِق
شواء	شَوّاء,شِواء
شهيدي	شَهِيد
شهي	شَهَّى
شهوتي	شَهْوَة
شهقة	شَهَق-َ,شَهْقَة,شَهِق-َ
شهري	شَهْر,شَهْرِيّ
شهرنا	شَهْر,شَهَّر,شَهَر-َ
شهران	شَهْر
شهدتها	شَهِد-َ
شهدتنا	شَهِد-َ
شهدتم	شَهِد-َ
شهدتك	شَهِد-َ
شهداءكم	شَهِيد
شهادتي	شَهادَة
شنيع	شَنِيع
شنناها	شَنّ
شنفوا	شَنَّف
شنبة	شَنَب
شنان	NOTFOUND
شميط	شُمَيْط
شميخ	NOTFOUND
شمطاته	NOTFOUND
شمطات	NOTFOUND
شمسا	شَمَس,شَمْس,شَمَّس,شَمِس-َ
شماتة	شَماتَة,شامِت,شَمات
شلت	شَلْتَة,شال-ِ,شَلّ,شال,شَلَّت,شَلّ-َ
شلاء	أَشَلّ
