تنورا	تَنُّور,تَنَوَّر,أَنْوَر,نَوَّر
تنوحوا	ناح,تَنَوَّح
تنهكي	أَنْهَك,نَهِك-َ,نَهَك-َ
تنهشها	نَهَش-ِ
تنهشه	نَهَش-ِ
تنهش	نَهَش-ِ
تنهسه	NOTFOUND
تنهاني	نَهَى-ِ
تنم	أَنْمَى,نَمّ,نَمَى-ِ,نَما,نَمَّى,أَنام,نام-َ
تنكي	نَكَى-ِ
تنكصون	نَكَّص,نَكَص-ُِ
تنكره	نَكَّر,تَنَكُّر,أَنْكَر
تنكحيه	أَنْكَح,نَكَح-َُِ
تنقيت	NOTFOUND
تنقم	نَقِم-َ,نَقَم-ِ
تنقل	نَقَّل,تَنَقُّل,تَنَقَّل,نَقَل
تنقعونه	نَقَع-َ,أَنْقَع
تنقضه	أَنْقَض,ٱِنْقَضَى,ٱِنْقَضّ,نَقَض
تنقصه	نَقَّص,أَنْقَص,نَقَص
تنقصنا	نَقَّص,أَنْقَص,نَقَص
تنقش	نَقَش,نَقَّش
تنقز	نَقَز,نَقَّز
تنقرونه	نَقَّر,نَقَر
تنفلته	ٱِنْفَلَت,تَنَفَّل
تنفعانك	نَفَّع,نَفَع-َ
تنفرد	ٱِنْفَرَد
تنفذه	نَفَذ,نَفَّذ,أَنْفَذ
تنعله	نَعَّل,نَعَل-َ,أَنْعَل
تنظرن	تَنَظَّر,نَظَر
تنطلقا	ٱِنْطَلَق
تنطلق	ٱِنْطَلَق
تنطق	نَطَق,أَنْطَق,تَنَطَّق,نَطَّق
تنضرج	NOTFOUND
تنضحين	نَضَح-ِ,نَضَح-َ
تنضحه	نَضَح-ِ,نَضَح-َ
تنضح	نَضَح-ِ,نَضَح-َ
تنضج	نَضِج-َ,أَنْضَج
تنض	نَضَّى,نَضا,نَضّ-ِ,أَنْضَى
تنصرونهم	نَصَّر,نَصَر
تنصرون	نَصَّر,نَصَر
تنصرفون	ٱِنْصَرَف
تنشف	تَنَشَّف,نَشِف-َ,نَشَف,نَشَّف
تنسيق	تَنْسِيق
تنسك	ناس,نَسِي-َ,نَسَك,تِنِس,أَنْسَى,تَنَسَّك
تنسف	أَنْسَف,نَسَف-ِ
تنسح	ٱِنْساح
تنزيه	نَزّ-ِ,تَنْزِيه,نَزا
تنزلوهم	أَنْزَل,نَزَل-ِ,نَزَّل,تَنَزَّل,نَزِل-َ
تنزعها	نَزَّع,نَزَع-ِ
تنزعه	نَزَّع,نَزَع-ِ
تنزروا	NOTFOUND
تنذر	أَنْذَر,نَذِر-َ,نَذَر
تندم	تَنَدُّم,تَنَدَّم,نَدِم-َ
تنددون	نَدَّد
تنخلون	نَخَل
تنحوا	نَحَّى,أَنْحَى,نَحا,تَنَحَّى,نَحَى
تنحرها	نَحَر
تنحتون	ٱِنْحَتّ,نَحَت-ُِ
تنحت	ٱِنْحَتّ,نَحَت-ُِ,تَنَحَّى
تنجيهم	نَجَّى,نَجا,أَنْجَى
تنجيه	نَجَّى,نَجا,أَنْجَى,تَنْجِيَة
تنثره	نَثَر,نَثَّر
تنتهون	ٱِنْتَهَى
تنته	نات,ٱِنْتَهَى
تنتقلونها	ٱِنْتَقَل
تنتقلوا	ٱِنْتَقَل
تنتقصه	ٱِنْتَقَص
تنتفوا	ٱِنْتَفَى,نَتَف-ِ,نَتَّف
تنتفخ	ٱِنْتَفَخ
تنتظرني	ٱِنْتَظَر
تنتبذون	ٱِنْتَبَذ
تناوليها	ناوَل
تناهتا	تَناهَى
تناهت	تَناهَى
تنال	نال-َ
تناصرون	ناصَر
تناشده	ناشَد,تَناشَد
تناسوا	تَناسَى
تناسخت	تَناسَخ
