بحلالك	حَلال
بحقو	حَقْو
بحفر	حُفْرَة,حَفْر
بحظاري	حِظار
بحضرته	حَضْرَة
بحضرتكم	حَضْرَة
بحصياته	حَصاة
بحصة	حُصّ,حِصَّة
بحصاد	حَصّاد,حِصاد
بحصاتين	حَصاة
بحشيشة	حَشِيشَة,حَشِيش
بحسنها	حَسَن,حُسْن
بحساب	حِساب
بحريرة	حُرَيْرَة,حَرِير
بحرورية	NOTFOUND
بحرق	حَرْق
بحرف	حَرْف,حِرْفَة
بحربة	حَرْبَة,حَرْب
بحديقة	حَدِيقَة
بحديثهم	حَدِيث
بحديثكم	حَدِيث
بحدودها	حَدّ
بحدود	حَدّ
بحد	حَدّ
بحجتي	حِجَّة,حُجَّة
بحجامة	حِجامَة,حَجّام
بحبيبتيه	حُبَيْبَة,حَبِيب
بحبي	حَبّ,حُبِّيّ,حُبّ
بحبوحة	بُحْبُوحَة,بَحْبُوح
بحبهم	حَبّ,حُبّ
بحبك	حِباك,حُبْكَة,حَبْك,حَبّ,حُبّ
بحال	حال
بحافظ	حافِظ
بحافات	حافَّة,حافّ,حافَة
بحاضر	حاضِر
بحاجتي	حاجَة
بحاجتنا	حاجَة
بحاجة	حاجَة,حاجّ
بجيفة	جِيفَة
بجيش	جَيْش
بجود	NOTFOUND
بجوانب	جانِب
بجوارك	جِوار
بجواد	جَواد
بجواثاء	NOTFOUND
بجواثا	NOTFOUND
بجواب	جَواب,جابِيَة
بجنيبات	NOTFOUND
بجنته	بَجَّن,جِنَّة,جَنَّة,جُنَّة
بجنبتيه	جَنْبَة
بجنبتي	جَنْبَة
بجنباتهم	جَنْبَة
بجناية	جِنايَة
بجنازتها	جِنازَة
بجناح	جُناح,جَناح
بجملك	جُمْلَة,جَمَل
بجملتهم	جُمْلَة
بجمعة	جَمْع,جُمْعَة
بجمر	جَمْر
بجمته	جَمّ
بجماعة	جَماعَة,جِماع
بجليس	جَلِيس
بجلودها	جَلُود
بجلد	جِلْد,جَلَد,جَلْد
بجلب	جَلَب,جَلْب
بجلالي	جَلال
بجلالها	جَلال
بجعبة	جَعْبَة
بجريد	جَرِيد
بجرهد	NOTFOUND
بجرعة	جُرْعَة
بجرانه	NOTFOUND
بجذع	جَذَع,جِذْع
بجبنة	جُبُن,جُبْن,جُبْنَة
بجبلي	جَبَل,جَبَلِيّ
بثيابي	ثَوْب
بثيابه	ثَوْب
بثي	بَثّ
بثور	ثَوْر,بَثْر
بثوبيك	ثَوْب
بثوابه	ثَوّاب,ثَواب
بثواب	ثَوّاب,ثَواب
بثنية	ثَنِيَّة,ثَنْيَة,ثَنْي,ثِنْي
بثمغ	NOTFOUND
بثمانين	ثَمانُون
بثلثيه	ثُلْث
بثقة	ثِقَة,بَثَق-ُِ
بثثته	بَثّ
بثبير	NOTFOUND
بثاري	NOTFOUND
بثارنا	NOTFOUND
بتو	تَوّ
بتنزيل	تَنْزِيل
بتم	بات-ِ
بتلبيبه	تَلْبِيب
بتل	بَتَل-ُِ,تَلّ,بَتَّل
