انفلتت	ٱِنْفَلَت
انفلاتها	ٱِنْفِلات
انفقها	أَنْفَق,نَفَق,نَفَّق
انفقتم	أَنْفَق
انفقال	NOTFOUND
انفردت	ٱِنْفَرَد
انفرجوا	ٱِنْفَرَج
انفذته	أَنْفَذ
انفد	أَنْفَد,نَفِد-َ
انفخ	نَفَخ
انفتق	ٱِنْفَتَق
انفاق	إِنْفاق,نَفَق
انفارنا	نَفَر
انغمس	ٱِنْغَمَس
انغسله	NOTFOUND
انعمنا	نَعَّم,أَنْعَم,نِعْمَة,نَعَم-َُ
انعقل	NOTFOUND
انعطي	NOTFOUND
انعاه	نَعَى-َ
انظف	أَنْظَف,نَظُف,نَظَّف
انظرهم	نَظَر
انظرني	نَظَر
انظركما	نَظَر
انظرا	NOTFOUND
انطلاق	ٱِنْطِلاق
انطاك	NOTFOUND
انضيت	أَنْضَى
انضم	ٱِنْضَمّ
انصفنا	أَنْصَف,نَصَّف
انصرفن	ٱِنْصَرَف
انصرافنا	ٱِنْصِراف
انصدع	ٱِنْصَدَع
انصبوا	أَنْصَب,ٱِنْصَبّ
انصبها	أَنْصَب,نَصَب,نَصَّب
انصباؤهم	نَصِيب
انصب	أَنْصَب,نَصَّب,نَصَب,نَصِب-َ,ٱِنْصَبّ
انصارية	أَنْصارِيّ
انصار	أَنْصار
انصابا	نَصَب,نَصْب,نُصْب
انص	ناص,نَصّ
انشز	أَنْشَز,نَشَز
انشرها	نَشَّر,نَشَر,أَنْشَر
انشرب	NOTFOUND
انشر	نَشَّر,نَشَر,أَنْشَر
انشاناهن	NOTFOUND
انشاء	إِنْشاء
انسمعت	NOTFOUND
انسللت	ٱِنْسَلّ
انسلاخ	ٱِنْسِلاخ
انسكي	NOTFOUND
انسعن	NOTFOUND
انسخوا	NOTFOUND
انسح	ٱِنْساح
انساها	نَسِي-َ,آنَس,أَنَّس,أَنْسَى
انساه	نَسِي-َ,آنَس,أَنَّس,أَنْسَى
انساني	إِنْسانِيّ,نَسِي-َ,آنَس,أَنَّس,أَنْسَى,إِنْسان
انسابكم	نَسَب,ٱِنْساب
انساء	NOTFOUND
