muslim14_328360	 حدثنا محمد بن مهران الرازي حدثنا حاتم بن إسماعيل عن موسى بن عقبة عن نافع عن	عن ابن عمر رضى الله عنهما أن النبي صلى الله عليه وسلم كان يعتكف في العشر الأواخر من رمضان 	 حدثنا محمد بن مهران الرازي حدثنا حاتم بن إسماعيل عن موسى بن عقبة عن نافع عن ابن عمر رضى الله عنهما أن النبي صلى الله عليه وسلم كان يعتكف في العشر الأواخر من رمضان 	 Ibn 'Umar (Allah be pleased with both of them) reported that the Messenger of Allah (SL3M) used to observe i'tikaf in the last ten days of Ramadan. 
muslim14_328370	not identified	 وحدثني أبو الطاهر أخبرنا ابن وهب أخبرني يونس بن يزيد أن نافعا حدثه عن عبد الله بن عمر رضى الله عنهما أن رسول الله صلى الله عليه وسلم كان يعتكف العشر الأواخر من رمضان قال نافع وقد أراني عبد الله رضى الله عنه المكان الذي كان يعتكف فيه رسول الله صلى الله عليه وسلم من المسجد 	 وحدثني أبو الطاهر أخبرنا ابن وهب أخبرني يونس بن يزيد أن نافعا حدثه عن عبد الله بن عمر رضى الله عنهما أن رسول الله صلى الله عليه وسلم كان يعتكف العشر الأواخر من رمضان قال نافع وقد أراني عبد الله رضى الله عنه المكان الذي كان يعتكف فيه رسول الله صلى الله عليه وسلم من المسجد 	 Abdullah b. Umar (Allah be pleased with both of them) reported that the Messenger of Allah (SL3M) used to observe i'tikaf in the last ten days of Ramadan. Nafi' said: Abdullah (Allah be pleased with him) showed me the place in the mosque where the Messenger of Allah (SL3M) used to observe i'tikaf. 
muslim14_328380	not identified	 وحدثنا سهل بن عثمان حدثنا عقبة بن خالد السكوني عن عبيد الله بن عمر عن عبد الرحمن بن القاسم عن أبيه عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم يعتكف العشر الأواخر من رمضان 	 وحدثنا سهل بن عثمان حدثنا عقبة بن خالد السكوني عن عبيد الله بن عمر عن عبد الرحمن بن القاسم عن أبيه عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم يعتكف العشر الأواخر من رمضان 	 'A'isha (Allah be pleased with her) reported that the Messenger of Allah (SL3M) used to observe i'tikaf in the last ten days of Ramadan. 
muslim14_328390	 حدثنا يحيى بن يحيى أخبرنا أبو معاوية ح وحدثنا سهل بن عثمان أخبرنا حفص بن غياث جميعا عن هشام ح وحدثنا أبو بكر بن	عن أبي شيبة وأبو كريب واللفظ لهما قالا حدثنا ابن نمير عن هشام بن عروة عن أبيه عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم يعتكف العشر الأواخر من رمضان 	 حدثنا يحيى بن يحيى أخبرنا أبو معاوية ح وحدثنا سهل بن عثمان أخبرنا حفص بن غياث جميعا عن هشام ح وحدثنا أبو بكر بن أبي شيبة وأبو كريب واللفظ لهما قالا حدثنا ابن نمير عن هشام بن عروة عن أبيه عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم يعتكف العشر الأواخر من رمضان 	 This hadith has been narrated by 'A'isha (Allah be pleased with her) through another chain of transmitters. 
muslim14_328400	not identified	 وحدثنا قتيبة بن سعيد حدثنا ليث عن عقيل عن الزهري عن عروة عن عائشة رضى الله عنها أن النبي صلى الله عليه وسلم كان يعتكف العشر الأواخر من رمضان حتى توفاه الله عز وجل ثم اعتكف أزواجه من بعده 	 وحدثنا قتيبة بن سعيد حدثنا ليث عن عقيل عن الزهري عن عروة عن عائشة رضى الله عنها أن النبي صلى الله عليه وسلم كان يعتكف العشر الأواخر من رمضان حتى توفاه الله عز وجل ثم اعتكف أزواجه من بعده 	 'A'isha (Allah be pleased with her) reported that the Messenger of Allah (may peace he upon him) used to observe i'tikif in the last ten days of Ramadan till Allah called him back (to his heavenly home). Then his wives observed i'tikaf after him. 
muslim14_328420	 حدثنا يحيى بن يحيى أخبرنا أبو معاوية عن يحيى بن	حدثنا سعيد عن عمرة عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم إذا أراد أن يعتكف صلى الفجر ثم دخل معتكفه وإنه أمر بخبائه فضرب أراد الاعتكاف في العشر الأواخر من رمضان فأمرت زينب بخبائها فضرب وأمر غيرها من أزواج النبي صلى الله عليه وسلم بخبائه فضرب فلما صلى رسول الله صلى الله عليه وسلم الفجر نظر فإذا الأخبية فقال آلبر تردن فأمر بخبائه فقوض وترك الاعتكاف في شهر رمضان حتى اعتكف في العشر الأول من شوال 	 حدثنا يحيى بن يحيى أخبرنا أبو معاوية عن يحيى بن سعيد عن عمرة عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم إذا أراد أن يعتكف صلى الفجر ثم دخل معتكفه وإنه أمر بخبائه فضرب أراد الاعتكاف في العشر الأواخر من رمضان فأمرت زينب بخبائها فضرب وأمر غيرها من أزواج النبي صلى الله عليه وسلم بخبائه فضرب فلما صلى رسول الله صلى الله عليه وسلم الفجر نظر فإذا الأخبية فقال آلبر تردن فأمر بخبائه فقوض وترك الاعتكاف في شهر رمضان حتى اعتكف في العشر الأول من شوال 	 'A'isha (Allah be pleased with her) reported that when the Messenger of Allah (SL3M) decided to observe i'tikaf, he prayed in the morning and then went to the place of his i'tikaf, and he commanded that a tent should be pitched for him, and it was pitched. He (once) decided to observe i'tikaf in the last ten days of Ramadan. Zainab (the wife of the Holy Prophet) commanded that a tent should be pitched for her. It was pitched accordingly. And some other wives of Allah's Apostle (SL3M) commanded that tents should be pitched for them too. And they were pitched. When the Messenger of Allah (may peace he upon him) offered the morning prayer, he looked and found (so many) tents. Thereupon he said: What is this virtue that these (ladies) have decided to acquire? He commanded his tent to be struck and abandoned i'tikaf in the month of Ramadan and postponed it to the first ten days of Shawwal. 
muslim14_328430	not identified	 وحدثناه ابن أبي عمر حدثنا سفيان ح وحدثني عمرو بن سواد أخبرنا ابن وهب أخبرنا عمرو بن الحارث ح وحدثني محمد بن رافع حدثنا أبو أحمد حدثنا سفيان ح وحدثني سلمة بن شبيب حدثنا أبو المغيرة حدثنا الأوزاعي ح وحدثني زهير بن حرب حدثنا يعقوب بن إبراهيم بن سعد حدثنا أبي عن ابن إسحاق كل هؤلاء عن يحيى بن سعيد عن عمرة عن عائشة رضى الله عنها عن النبي صلى الله عليه وسلم بمعنى حديث أبي معاوية وفي حديث ابن عيينة وعمرو بن الحارث وابن إسحاق ذكر عائشة وحفصة وزينب رضى الله عنهن أنهن ضربن الأخبية للاعتكاف 	 وحدثناه ابن أبي عمر حدثنا سفيان ح وحدثني عمرو بن سواد أخبرنا ابن وهب أخبرنا عمرو بن الحارث ح وحدثني محمد بن رافع حدثنا أبو أحمد حدثنا سفيان ح وحدثني سلمة بن شبيب حدثنا أبو المغيرة حدثنا الأوزاعي ح وحدثني زهير بن حرب حدثنا يعقوب بن إبراهيم بن سعد حدثنا أبي عن ابن إسحاق كل هؤلاء عن يحيى بن سعيد عن عمرة عن عائشة رضى الله عنها عن النبي صلى الله عليه وسلم بمعنى حديث أبي معاوية وفي حديث ابن عيينة وعمرو بن الحارث وابن إسحاق ذكر عائشة وحفصة وزينب رضى الله عنهن أنهن ضربن الأخبية للاعتكاف 	 This hadith has been reported through another chain of transmitters, and there it is mentioned that. 'A'isha, Hafsa and Zainab (Allah be pleased with them) pitched the tents for i'tikaf. 
muslim14_328450	 حدثنا إسحاق بن إبراهيم الحنظلي وابن أبي عمر جميعا عن ابن عيينة قال إسحاق أخبرنا سفيان بن عيينة عن أبي يعفور عن مسلم بن صبيح عن مسروق عن	عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم إذا دخل العشر أحيا الليل وأيقظ أهله وجد وشد المئزر 	 حدثنا إسحاق بن إبراهيم الحنظلي وابن أبي عمر جميعا عن ابن عيينة قال إسحاق أخبرنا سفيان بن عيينة عن أبي يعفور عن مسلم بن صبيح عن مسروق عن عائشة رضى الله عنها قالت كان رسول الله صلى الله عليه وسلم إذا دخل العشر أحيا الليل وأيقظ أهله وجد وشد المئزر 	 'A'isha (Allah be pleased with her) reported that when the last ten nights began Allah's Messenger (SL3M) kept awake at night (for prayer and devotion), wakened his family, and prepared himself to observe prayer (with more vigour). 
muslim14_328460	 حدثنا قتيبة بن سعيد وأبو كامل الجحدري كلاهما عن عبد الواحد بن زياد قال قتيبة حدثنا عبد الواحد عن الحسن بن	حدثنا عبيد الله قال سمعت إبراهيم يقول سمعت الأسود بن يزيد يقول قالت عائشة رضى الله عنها كان رسول الله صلى الله عليه وسلم يجتهد في العشر الأواخر ما لا يجتهد في غيره 	 حدثنا قتيبة بن سعيد وأبو كامل الجحدري كلاهما عن عبد الواحد بن زياد قال قتيبة حدثنا عبد الواحد عن الحسن بن عبيد الله قال سمعت إبراهيم يقول سمعت الأسود بن يزيد يقول قالت عائشة رضى الله عنها كان رسول الله صلى الله عليه وسلم يجتهد في العشر الأواخر ما لا يجتهد في غيره 	 'A'isha (Allah be pleased with her) reported that Allah's Messenger (SL3M) used to exert himself in devotion during the last ten nights to a greater extent than at any other time. 
muslim14_328480	 حدثنا أبو بكر بن	حدثنا أبي شيبة وأبو كريب وإسحاق قال إسحاق أخبرنا وقال الآخران حدثنا أبو معاوية عن الأعمش عن إبراهيم عن الأسود عن عائشة رضى الله عنها قالت ما رأيت رسول الله صلى الله عليه وسلم صائما في العشر قط 	 حدثنا أبو بكر بن أبي شيبة وأبو كريب وإسحاق قال إسحاق أخبرنا وقال الآخران حدثنا أبو معاوية عن الأعمش عن إبراهيم عن الأسود عن عائشة رضى الله عنها قالت ما رأيت رسول الله صلى الله عليه وسلم صائما في العشر قط 	 'A'isha (Allah be pleased with her) reported: I never saw the Messenger of Allah (SL3M) fasting in the ten days of Dhu'I-Hijja. 
muslim14_328490	not identified	 وحدثني أبو بكر بن نافع العبدي حدثنا عبد الرحمن حدثنا سفيان عن الأعمش عن إبراهيم عن الأسود عن عائشة رضى الله عنها أن النبي صلى الله عليه وسلم لم يصم العشر 	 وحدثني أبو بكر بن نافع العبدي حدثنا عبد الرحمن حدثنا سفيان عن الأعمش عن إبراهيم عن الأسود عن عائشة رضى الله عنها أن النبي صلى الله عليه وسلم لم يصم العشر 	 'A'isha (Allah be pleased with her) reported: The Apostle of Allah (SL3M) did not observe fast in the ten days of Dhul-Hijja. 
